Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	5.631606462946262e-08	2.4657852356840893e-08	0.011188709527892157
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_acinar_cell	8.359492045920192e-08	4.136883104541563e-08	0.02165425872194934
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	5.5116868425339435e-08	2.925435730957563e-08	0.02977865194636513
tabula_muris.ESmuQ1.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	8.663416519121295e-08	4.8298888211816224e-08	0.03642978969826856
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	2.813654140567859e-08	1.5745391875113362e-08	0.03697117649427248
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_ductal_cell	5.155058998755768e-08	3.021824443078209e-08	0.04400938508613808
tabula_muris.ESmuQ1.continuous.190730__Heart.endocardial_cell	5.8430827156769536e-08	3.492217591829743e-08	0.047146663376335086
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.endothelial_cell	6.936699490416237e-08	4.789747443847408e-08	0.0737750975584146
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	3.607154384743391e-08	2.511787304366849e-08	0.07548826723484281
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	3.4573327982908516e-08	2.5833848470508746e-08	0.09040003364325883
tabula_muris.ESmuQ1.continuous.190730__Trachea.epithelial_cell	3.866857681971665e-08	2.897892489023667e-08	0.09104148968800924
tabula_muris.ESmuQ1.continuous.190730__Trachea.endothelial_cell	6.223622842757517e-08	4.895070627850549e-08	0.10179210004361738
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	7.12213432721269e-08	5.695242953613076e-08	0.10555100966383857
tabula_muris.ESmuQ1.continuous.190730__Kidney.endothelial_cell	4.928691357587116e-08	4.054154938531477e-08	0.11204701785920518
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	1.2783065945520962e-07	1.0746061529766039e-07	0.11711003547274995
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	2.6347484721502327e-08	2.260875406362597e-08	0.12193533459239808
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	2.7430064041306632e-08	2.4514010243573546e-08	0.13157975815992112
tabula_muris.ESmuQ1.continuous.190730__Marrow.regulatory_T_cell	9.124389563208053e-08	8.398187627287388e-08	0.13863527287555638
tabula_muris.ESmuQ1.continuous.190730__Lung.epithelial_cell_of_lung	4.182475972436779e-08	4.220299480354151e-08	0.16083358116084157
tabula_muris.ESmuQ1.continuous.190730__Lung.ciliated_columnar_cell_of_tracheobronchial_tree	2.427611166448518e-08	2.550747137759804e-08	0.17061809962942803
tabula_muris.ESmuQ1.continuous.190730__Lung.lung_endothelial_cell	3.136828471079171e-08	3.400710536122973e-08	0.17815898270518216
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	3.619114940986618e-08	3.997016501688422e-08	0.18261243554769668
tabula_muris.ESmuQ1.continuous.190730__Liver.Kupffer_cell	4.2451709039958156e-08	4.816275428306878e-08	0.1890447393949654
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_D_cell	2.5402889432864167e-08	2.9210654554878252e-08	0.1922473147433092
tabula_muris.ESmuQ1.continuous.190730__Pancreas.endothelial_cell	4.3725675722423213e-08	5.2691623325406436e-08	0.20331430924879085
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	3.577763038762182e-08	4.5649759455846386e-08	0.2165957781435628
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enteroendocrine_cell	2.6008182056763604e-08	3.4110432256428105e-08	0.2228897640292286
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte	2.429866355839395e-08	3.5280353092473544e-08	0.24549636510421147
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.endothelial_cell	2.2632240053720104e-08	3.794929773422211e-08	0.27546036587745537
tabula_muris.ESmuQ1.continuous.190730__Kidney.macrophage	3.7615003915750375e-08	6.434017061438775e-08	0.2793992587870501
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	2.1593098167437316e-08	3.78408259512427e-08	0.28412534969464676
tabula_muris.ESmuQ1.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	1.517452175487131e-08	2.7705179197891083e-08	0.2919440591285564
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.astrocyte	1.1642094040718514e-08	2.1778800701806338e-08	0.2964767835771278
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	1.3294627715924016e-08	2.8951974626354175e-08	0.3230467513651668
tabula_muris.ESmuQ1.continuous.190730__Heart.endothelial_cell	1.586868969221185e-08	3.502199988473507e-08	0.3252360902281972
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.T_cell	2.6314919504389444e-08	7.343570730721103e-08	0.3600446058784327
tabula_muris.ESmuQ1.continuous.190730__Heart.myofibroblast_cell	1.0294438396934624e-08	3.0674752381076406e-08	0.3685863665220007
tabula_muris.ESmuQ1.continuous.190730__Liver.natural_killer_cell	2.4191342760711986e-08	7.859274509881792e-08	0.3791148604255963
tabula_muris.ESmuQ1.continuous.190730__Skin.leukocyte	2.1303175613898936e-08	8.178294787374163e-08	0.3972451041635464
tabula_muris.ESmuQ1.continuous.190730__Marrow.B_cell	1.5406979505654427e-08	6.04243419075637e-08	0.3993693959121479
tabula_muris.ESmuQ1.continuous.190730__Fat.endothelial_cell	7.441818494395385e-09	3.50012290010128e-08	0.4158132766140061
tabula_muris.ESmuQ1.continuous.190730__Heart.unknown_cell_type	7.659113420076908e-09	4.167610353337431e-08	0.42709416109774134
tabula_muris.ESmuQ1.continuous.190730__Marrow.pre-natural_killer_cell	7.1673947807137876e-09	4.48754085063379e-08	0.4365517484274365
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_T_cell	7.836112724162837e-09	4.918280930566875e-08	0.4367059189753893
tabula_muris.ESmuQ1.continuous.190730__Heart.leukocyte	3.661782305415208e-09	3.3806227867921886e-08	0.45687219965037384
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocytopoietic_cell	3.146557551763112e-09	3.385679770107707e-08	0.46297670770080684
tabula_muris.ESmuQ1.continuous.190730__Thymus.DN1_thymic_pro-T_cell	4.1368574645805035e-09	5.322897764879331e-08	0.4690261296103587
tabula_muris.ESmuQ1.continuous.190730__Skin.stem_cell_of_epidermis	1.361209781290839e-09	3.549526914800527e-08	0.4847046924267433
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.B_cell	9.403101028734533e-10	5.004873721716359e-08	0.4925051577804628
tabula_muris.ESmuQ1.continuous.190730__Spleen.macrophage	-4.111241316681637e-10	4.088349691587555e-08	0.504011692901847
tabula_muris.ESmuQ1.continuous.190730__Lung.unknown_cell_type	-9.797867359563418e-10	4.006763982577587e-08	0.5097544902743452
tabula_muris.ESmuQ1.continuous.190730__Heart.smooth_muscle_cell	-2.0569914444301343e-09	2.9742208345121562e-08	0.5275691407390293
