Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.macrophage	4.541980046313437e-08	1.4253421287123955e-08	0.000719805070462133
tabula_muris.ESmuQ1.continuous.190730__Trachea.blood_cell	2.181420152187789e-08	7.2182776389012716e-09	0.0012552272575230088
tabula_muris.ESmuQ1.continuous.190730__Kidney.macrophage	4.334638258743599e-08	1.533000773054374e-08	0.0023452753059905493
tabula_muris.ESmuQ1.continuous.190730__Pancreas.leukocyte	5.2665108540626696e-08	2.223794616985773e-08	0.008936126781997606
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	1.0079199938247997e-08	4.395440161373523e-09	0.010921018754470315
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte	1.4207797439229402e-08	6.64397831193315e-09	0.016240228771810104
tabula_muris.ESmuQ1.continuous.190730__Marrow.precursor_B_cell	1.3731833166475055e-08	6.991888576315708e-09	0.0247670031581881
tabula_muris.ESmuQ1.continuous.190730__Lung.leukocyte	4.24293677535894e-08	2.3317645665762884e-08	0.03440807650959199
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	2.167106856301548e-08	1.1986622764663968e-08	0.035308089780655375
tabula_muris.ESmuQ1.continuous.190730__Marrow.naive_B_cell	1.9222180840863758e-08	1.0652820573580467e-08	0.03558261017665536
tabula_muris.ESmuQ1.continuous.190730__Spleen.B_cell	5.6500731528513296e-08	3.336935520908182e-08	0.045209445630692416
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_B_cell	1.4775604046932556e-08	9.010431306348523e-09	0.050519930659993384
tabula_muris.ESmuQ1.continuous.190730__Heart.leukocyte	1.882362258284826e-08	1.1480512199455487e-08	0.05054259781957806
tabula_muris.ESmuQ1.continuous.190730__Fat.myeloid_cell	4.680332715212474e-08	2.917753564244305e-08	0.05434735716085988
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	7.513495767157939e-09	4.984148382030926e-09	0.06584404488367376
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	1.130529489140928e-08	7.510741886906038e-09	0.06613417326699668
tabula_muris.ESmuQ1.continuous.190730__Heart.professional_antigen_presenting_cell	6.151164689365642e-09	4.206909020227092e-09	0.0718489912031044
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.macrophage	2.3939267751282757e-08	1.6491909285072522e-08	0.07330970020500681
tabula_muris.ESmuQ1.continuous.190730__Liver.B_cell	1.727161235971146e-08	1.2006181199451622e-08	0.07513760922170401
tabula_muris.ESmuQ1.continuous.190730__Marrow.monocyte	6.918226962823096e-08	5.01136866064183e-08	0.0837153763013403
tabula_muris.ESmuQ1.continuous.190730__Marrow.basophil	2.8477456759610932e-08	2.0747975475247492e-08	0.08494746914234702
tabula_muris.ESmuQ1.continuous.190730__Lung.monocyte	1.4856841507211097e-07	1.0971204248145921e-07	0.08784157027663703
tabula_muris.ESmuQ1.continuous.190730__Liver.hepatocyte	1.0798590453976526e-08	8.391391921641423e-09	0.09907063395271093
tabula_muris.ESmuQ1.continuous.190730__Liver.Kupffer_cell	3.8340689153089164e-08	3.07089978435276e-08	0.1059209929338516
tabula_muris.ESmuQ1.continuous.190730__Lung.classical_monocyte	1.1581299497569456e-07	9.80530384727355e-08	0.11877633256281328
tabula_muris.ESmuQ1.continuous.190730__Lung.lung_endothelial_cell	2.741826173000749e-08	2.3215662015566218e-08	0.1187965286403182
tabula_muris.ESmuQ1.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	9.727944512194366e-09	8.494837339231974e-09	0.12607152558176876
tabula_muris.ESmuQ1.continuous.190730__Lung.epithelial_cell_of_lung	8.094036983088029e-09	7.137984615487382e-09	0.12841013149285474
tabula_muris.ESmuQ1.continuous.190730__Trachea.mesenchymal_cell	4.123358021696394e-09	3.842979782276247e-09	0.1416448566689582
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.B_cell	2.4138165480660288e-08	2.3039419920355772e-08	0.1473907719382722
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.microglial_cell	1.0567187558599197e-08	1.030508637745428e-08	0.15257918921235475
tabula_muris.ESmuQ1.continuous.190730__Thymus.leukocyte	1.0698512722290746e-08	1.05538094496409e-08	0.15536033703624608
