Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	5.1717928669018654e-08	1.739056620801751e-08	0.00147017030872044
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.stromal_cell	8.70732534295314e-08	3.1150351029342744e-08	0.00259291928477791
tabula_muris.ESmuQ1.continuous.190730__Pancreas.leukocyte	1.0011733358667027e-07	5.304217503141361e-08	0.029546264097804094
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	5.4351123164547305e-08	3.1546724988760236e-08	0.042455395942871406
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	3.8476412034791335e-08	2.3196553695152703e-08	0.04858687634707018
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	3.7643288041762993e-08	2.2781326476448686e-08	0.04922909248232968
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte	4.470942660612862e-08	3.52771792933976e-08	0.10251055903309991
tabula_muris.ESmuQ1.continuous.190730__Liver.hepatocyte	3.2479820961427234e-08	2.680967847164288e-08	0.11285266386732995
tabula_muris.ESmuQ1.continuous.190730__Heart.leukocyte	4.634257308150555e-08	3.979510760888391e-08	0.12210476649838858
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	3.968617396758157e-08	3.43366005899085e-08	0.1238818975660892
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	2.5402128554574708e-08	2.2639643597186188e-08	0.1309270090470484
tabula_muris.ESmuQ1.continuous.190730__Thymus.leukocyte	6.106113341063478e-08	5.796719138404135e-08	0.14608480321965095
tabula_muris.ESmuQ1.continuous.190730__Skin.keratinocyte_stem_cell	2.5647986770047742e-08	2.6227306007713058e-08	0.16405902381723625
tabula_muris.ESmuQ1.continuous.190730__Heart.erythrocyte	2.1765457804497878e-08	2.3652791407160727e-08	0.17873236938368808
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.astrocyte	2.2031764144935797e-08	2.572488076137362e-08	0.19587779041969083
tabula_muris.ESmuQ1.continuous.190730__Kidney.leukocyte	3.8679935490970997e-08	5.142689971712295e-08	0.22598514779080447
tabula_muris.ESmuQ1.continuous.190730__Heart.smooth_muscle_cell	2.0261073415944292e-08	2.7204242379818094e-08	0.22820349969026532
tabula_muris.ESmuQ1.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	2.457110562756706e-08	3.354384167275057e-08	0.23192952407905965
tabula_muris.ESmuQ1.continuous.190730__Marrow.monocyte	2.5869926549657208e-08	3.647426740392965e-08	0.23907997694989186
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.basal_cell	2.0511396582015454e-08	2.9166584342369042e-08	0.24095002340787952
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.B_cell	3.655189433174107e-08	5.327122115314751e-08	0.24631017367280555
tabula_muris.ESmuQ1.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	2.660080855873695e-08	4.159797060123115e-08	0.2612574057540393
tabula_muris.ESmuQ1.continuous.190730__Heart.cardiac_muscle_cell	1.4313359221140147e-08	2.6275269855064347e-08	0.29296396649015954
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	2.542954646156707e-08	4.738895958941502e-08	0.2957673741533837
tabula_muris.ESmuQ1.continuous.190730__Fat.myeloid_cell	1.790739590027184e-08	3.631441986572251e-08	0.3109636161698142
