Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	3.386597676073821e-08	7.51439961440244e-09	3.290464395192087e-06
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_D_cell	3.703522289249488e-08	1.1399903137485572e-08	0.0005796044749083155
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	2.814640750723443e-08	9.07994840433241e-09	0.0009681187463034167
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	3.218709752216116e-08	1.1000349037336562e-08	0.0017167164413995825
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	3.7831808061022744e-08	1.5079149561442075e-08	0.00605569545020266
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	2.8487990748741335e-08	1.1721428100594689e-08	0.007540672021097852
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.astrocyte	1.9314970281050583e-08	9.536100744102838e-09	0.021410185271665362
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.brain_pericyte	2.5993260909857857e-08	1.2959069967233653e-08	0.02243896677733792
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_acinar_cell	3.240044039754443e-08	1.7774851903350223e-08	0.03416496716264658
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	1.5884631334000097e-08	1.0152409805565253e-08	0.05883638912171636
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	7.432441098544446e-08	5.083552278216957e-08	0.07186285182559445
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	1.335131098412668e-08	1.0296538091556529e-08	0.09737072414761477
tabula_muris.ESmuQ1.continuous.190730__Marrow.B_cell	2.377523978852299e-08	1.9037161224282997e-08	0.10585342817644022
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	2.189616468239603e-08	1.768657422040785e-08	0.1078560828389708
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	1.5295933609116773e-08	1.3336647224925475e-08	0.1257094167775502
tabula_muris.ESmuQ1.continuous.190730__Heart.smooth_muscle_cell	1.5883363450614454e-08	1.4281815433416266e-08	0.1330392025460867
tabula_muris.ESmuQ1.continuous.190730__Heart.unknown_cell_type	1.4416933901778958e-08	1.396413322541856e-08	0.1509363037420252
tabula_muris.ESmuQ1.continuous.190730__Spleen.B_cell	2.487557018596863e-08	2.4879403528041127e-08	0.15869253890957552
tabula_muris.ESmuQ1.continuous.190730__Pancreas.leukocyte	2.5745901745376125e-08	2.6267976034344102e-08	0.16351219373391984
tabula_muris.ESmuQ1.continuous.190730__Lung.monocyte	2.5539674084271464e-08	2.755118721524284e-08	0.176965872154088
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	1.627046163300615e-08	1.813718792287158e-08	0.18483880499664201
tabula_muris.ESmuQ1.continuous.190730__Kidney.endothelial_cell	2.8764354507923776e-08	3.385503160971803e-08	0.19776455947741395
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_T_cell	1.3404749445836263e-08	1.682226325432369e-08	0.2127703024570637
tabula_muris.ESmuQ1.continuous.190730__Thymus.leukocyte	2.139275409924682e-08	2.8440286316645768e-08	0.22596570621531525
tabula_muris.ESmuQ1.continuous.190730__Marrow.naive_B_cell	1.5751120805441964e-08	2.139220778102987e-08	0.23077352963542674
tabula_muris.ESmuQ1.continuous.190730__Spleen.T_cell	9.709621899777359e-09	1.3529247675667411e-08	0.23647841598652308
tabula_muris.ESmuQ1.continuous.190730__Lung.classical_monocyte	1.2570964120541448e-08	1.8763832182570727e-08	0.2514425431819602
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	1.2253075777254305e-08	1.941301505507815e-08	0.2639619418368224
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	9.61301653208937e-09	1.5387179400732834e-08	0.26607021635852196
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.large_intestine_goblet_cell	5.011143299509967e-09	8.430345436578887e-09	0.27611651513426294
tabula_muris.ESmuQ1.continuous.190730__Liver.B_cell	1.1164297150400345e-08	1.890207002843294e-08	0.2773812098052252
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enteroendocrine_cell	1.0144731835850906e-08	1.75779013215481e-08	0.28192586510310363
tabula_muris.ESmuQ1.continuous.190730__Marrow.macrophage	1.6427025189577174e-08	2.9447544102485134e-08	0.28847673954838543
tabula_muris.ESmuQ1.continuous.190730__Thymus.immature_T_cell	1.0530267954657946e-08	1.929086890184568e-08	0.29257833943173056
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	8.23332051375043e-09	1.5102017385412472e-08	0.29281480181246466
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_ductal_cell	1.024297982522497e-08	1.885024437631877e-08	0.293431649198116
