Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	4.7549716817378795e-08	9.802260324162711e-09	6.145339479285435e-07
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	3.8332611232236716e-08	1.2304510803641093e-08	0.0009186962288968026
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_D_cell	4.743485651171666e-08	1.627708235408487e-08	0.001782942581783366
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	4.318988073848276e-08	1.525339008707988e-08	0.00231655598296844
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	4.478469019489838e-08	1.928177665442445e-08	0.01009916012028771
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.brain_pericyte	3.7187858421678984e-08	1.7826100344011786e-08	0.018482673330102603
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	3.453627668859644e-08	1.6563332000928647e-08	0.01852991178328453
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.astrocyte	2.663903594513265e-08	1.3817460386835125e-08	0.026932188973754337
tabula_muris.ESmuQ1.continuous.190730__Marrow.B_cell	4.26752425918727e-08	2.5016093282767544e-08	0.04401227402616516
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	1.9974028603817187e-08	1.1752098836183994e-08	0.044601802500334346
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	2.1973541997356455e-08	1.3624866558223543e-08	0.05339910973151928
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_acinar_cell	3.8553362911758696e-08	2.429093245393764e-08	0.05623929382093618
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	8.631024320026571e-08	5.8025617481488434e-08	0.06844791227695073
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	3.002702298213218e-08	2.291956817160312e-08	0.09508029052365002
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	2.212051949951847e-08	1.712862249320189e-08	0.09827626927766325
tabula_muris.ESmuQ1.continuous.190730__Spleen.T_cell	1.926898496970794e-08	1.737424084070916e-08	0.13370327400486237
tabula_muris.ESmuQ1.continuous.190730__Thymus.leukocyte	4.209893251504391e-08	4.0719907775570746e-08	0.15059938093385244
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	2.4201188297209898e-08	2.400513688964718e-08	0.15668713410257262
tabula_muris.ESmuQ1.continuous.190730__Heart.smooth_muscle_cell	1.975844417076498e-08	1.9877038060518395e-08	0.1601032491077492
