Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	3.259120081259139e-08	8.2528646643116e-09	3.922650201772121e-05
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	2.6944117789677826e-08	9.653355848655726e-09	0.0026259271903741836
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	3.373357247063279e-08	1.2539624279972706e-08	0.003570908208642743
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_D_cell	3.128040746507302e-08	1.2024358448395399e-08	0.004641934750956759
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	3.109814885919918e-08	1.2807665614938729e-08	0.0075893141161791685
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.astrocyte	2.142326396196989e-08	1.0297329217232351e-08	0.01874131371689075
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	3.204497292417246e-08	1.631801470947142e-08	0.024777869207248657
tabula_muris.ESmuQ1.continuous.190730__Marrow.B_cell	3.6433428680525424e-08	1.8676730180273062e-08	0.025544042071100954
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_acinar_cell	3.7591251276346954e-08	1.9563546445004985e-08	0.027334683442968934
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	2.0357415397565503e-08	1.081971349039147e-08	0.029951185960691334
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.brain_pericyte	2.4090684703022588e-08	1.3839334992402775e-08	0.040864577213696594
tabula_muris.ESmuQ1.continuous.190730__Marrow.naive_B_cell	3.676485698118023e-08	2.319527180757028e-08	0.056481447265306926
tabula_muris.ESmuQ1.continuous.190730__Liver.B_cell	3.556023447238232e-08	2.2909346359402784e-08	0.06030537625562794
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	6.843382551260203e-08	4.647105123903241e-08	0.07042784998157792
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	3.067781279283982e-08	2.151806518104484e-08	0.07698078462834572
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	1.9988462963413883e-08	1.469196429646174e-08	0.08683538636044225
tabula_muris.ESmuQ1.continuous.190730__Spleen.B_cell	4.20437164373476e-08	3.15873663583306e-08	0.09158965226824295
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	2.439520604135192e-08	1.8870647132722817e-08	0.09804714708572876
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	2.634392834750944e-08	2.0618167835323534e-08	0.10067679740078905
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_T_cell	2.3358396961068073e-08	1.9628189631372657e-08	0.1170146728972159
tabula_muris.ESmuQ1.continuous.190730__Heart.unknown_cell_type	2.0892807003131145e-08	1.770507726549579e-08	0.11899094431770202
tabula_muris.ESmuQ1.continuous.190730__Pancreas.leukocyte	3.110434970801174e-08	2.63879081393002e-08	0.11925186608146798
tabula_muris.ESmuQ1.continuous.190730__Lung.B_cell	3.03167706545784e-08	2.6520411052078855e-08	0.12648845030309225
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	1.1251156316014314e-08	1.1454060028900457e-08	0.16297962444918457
tabula_muris.ESmuQ1.continuous.190730__Thymus.leukocyte	2.9095444390702387e-08	3.0307242722962366e-08	0.16852352754461292
tabula_muris.ESmuQ1.continuous.190730__Lung.monocyte	3.316687844304099e-08	3.462597350277919e-08	0.16906636296973498
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_B_cell	1.3805664677784189e-08	1.4962150722628378e-08	0.17808024640528425
tabula_muris.ESmuQ1.continuous.190730__Spleen.T_cell	1.4948786350137204e-08	1.6338488802815287e-08	0.18011077099622902
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.B_cell	2.1245284431499187e-08	2.5174306276824505e-08	0.19935501471687894
tabula_muris.ESmuQ1.continuous.190730__Marrow.macrophage	3.184819004093498e-08	3.8244444527091124e-08	0.20249191918944753
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	1.4733342394145464e-08	1.9033847129906463e-08	0.219447613518919
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	1.1442230513927093e-08	1.6587258283145414e-08	0.2451535431228944
tabula_muris.ESmuQ1.continuous.190730__Kidney.endothelial_cell	2.287842610155388e-08	3.406985535981782e-08	0.25094618640944505
tabula_muris.ESmuQ1.continuous.190730__Heart.smooth_muscle_cell	8.447895467983292e-09	1.3816630404012652e-08	0.2704576377725768
tabula_muris.ESmuQ1.continuous.190730__Marrow.monocyte	9.692467238960266e-09	1.601619983195484e-08	0.27253419352397024
tabula_muris.ESmuQ1.continuous.190730__Marrow.late_pro-B_cell	1.0755660102419513e-08	1.8318180271287994e-08	0.2785489083276631
tabula_muris.ESmuQ1.continuous.190730__Lung.classical_monocyte	9.56556176068089e-09	1.9532301867368262e-08	0.31216234798424114
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.luminal_epithelial_cell_of_mammary_gland	6.655473495954791e-09	1.4300856666479458e-08	0.3208261518229475
tabula_muris.ESmuQ1.continuous.190730__Marrow.pre-natural_killer_cell	1.4417381181912983e-08	3.116759056136134e-08	0.3218341365927493
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	6.995122715883043e-09	1.5662485508514275e-08	0.3275760302454472
tabula_muris.ESmuQ1.continuous.190730__Kidney.macrophage	1.3495523526504446e-08	3.037153329671381e-08	0.32839557930809415
tabula_muris.ESmuQ1.continuous.190730__Trachea.epithelial_cell	5.788902899660318e-09	1.6844764667151767e-08	0.36555030439700253
tabula_muris.ESmuQ1.continuous.190730__Lung.T_cell	8.296530402301351e-09	2.4855273912435853e-08	0.36926767110310266
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enteroendocrine_cell	5.792042801894711e-09	1.7459860997582427e-08	0.3700447753558961
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_ductal_cell	6.42513732579433e-09	1.9808157290060065e-08	0.3728296269147229
tabula_muris.ESmuQ1.continuous.190730__Marrow.basophil	7.250220787698854e-09	2.4181925929147518e-08	0.38215729641531454
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	3.3538999573903084e-09	1.4536933390912501e-08	0.40876780594512374
tabula_muris.ESmuQ1.continuous.190730__Kidney.leukocyte	4.863653436765259e-09	2.2245777985958435e-08	0.4134681077315461
tabula_muris.ESmuQ1.continuous.190730__Fat.myeloid_cell	3.5934405442947377e-09	1.739086806180237e-08	0.41815018984679203
tabula_muris.ESmuQ1.continuous.190730__Lung.unknown_cell_type	3.943512858738149e-09	2.009865054610397e-08	0.4222237450094467
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_NK_T_cell	2.6137215447655668e-09	1.7635062149460375e-08	0.4410878715517278
tabula_muris.ESmuQ1.continuous.190730__Fat.T_cell	2.0592217191400044e-09	1.759785343041252e-08	0.45342388304508935
tabula_muris.ESmuQ1.continuous.190730__Thymus.immature_T_cell	6.011762892420048e-10	1.9228706468805726e-08	0.4875292925189854
