Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	3.8285116651080404e-08	8.617112677362067e-09	4.43736979691134e-06
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_D_cell	4.358809011498766e-08	1.4390449485180342e-08	0.001226987484354941
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	2.971603216501879e-08	1.018860784692481e-08	0.0017693805614855363
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	3.8242915793231826e-08	1.5236460840107102e-08	0.006037232315718279
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	2.9419092289832824e-08	1.284187941244349e-08	0.010985430734458523
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	2.976105763160451e-08	1.3671549937578534e-08	0.014745487053250897
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.brain_pericyte	2.7579884006028753e-08	1.520618760144364e-08	0.03485982741863637
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	1.6540741622421196e-08	1.0641109908436653e-08	0.060042272170142956
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.astrocyte	1.5116723089181187e-08	1.1136154937592167e-08	0.08731985417725097
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	6.16585768978858e-08	4.5564848642926e-08	0.08799508858898114
tabula_muris.ESmuQ1.continuous.190730__Thymus.immature_T_cell	3.096288882509592e-08	2.5500419849499118e-08	0.11233359146371236
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	1.8496794530423302e-08	1.5831101421975546e-08	0.121326093961651
tabula_muris.ESmuQ1.continuous.190730__Marrow.macrophage	2.9532842808301436e-08	2.62867335237698e-08	0.1306150410694274
tabula_muris.ESmuQ1.continuous.190730__Pancreas.leukocyte	3.896409755047897e-08	3.5432549306867135e-08	0.13573805098834169
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	2.030881587895891e-08	1.861432392698716e-08	0.13762948598002783
tabula_muris.ESmuQ1.continuous.190730__Fat.T_cell	1.970640974821108e-08	1.8736129479212733e-08	0.14644873627948873
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	1.2039542730101179e-08	1.1798813318546037e-08	0.15376872152827503
tabula_muris.ESmuQ1.continuous.190730__Heart.smooth_muscle_cell	1.5771188262888725e-08	1.5951198777077706e-08	0.1614013198248283
tabula_muris.ESmuQ1.continuous.190730__Spleen.macrophage	2.7800762561143292e-08	2.846929220377897e-08	0.16440403555319705
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	1.7817770386447206e-08	1.8488952115954508e-08	0.16759862157428035
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_acinar_cell	1.791141611767619e-08	1.8942709420263585e-08	0.1721872302301486
tabula_muris.ESmuQ1.continuous.190730__Lung.classical_monocyte	2.130543469400224e-08	2.475993353590871e-08	0.19476217296530496
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	1.6555272857041782e-08	2.0129649309827244e-08	0.20541546430082547
tabula_muris.ESmuQ1.continuous.190730__Lung.monocyte	2.3776187400759564e-08	2.9201302142133765e-08	0.2077604146126154
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_T_cell	1.742576051123946e-08	2.273160627915988e-08	0.2216634666010061
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.large_intestine_goblet_cell	7.393683130032125e-09	9.82963719968501e-09	0.22597059545169657
tabula_muris.ESmuQ1.continuous.190730__Kidney.endothelial_cell	2.6191412578195537e-08	3.57712462010962e-08	0.23202575912597395
tabula_muris.ESmuQ1.continuous.190730__Spleen.T_cell	1.177010378888559e-08	1.6149561937535405e-08	0.23305626566523935
tabula_muris.ESmuQ1.continuous.190730__Marrow.B_cell	2.129355098486303e-08	2.921888686757724e-08	0.23307429420794645
tabula_muris.ESmuQ1.continuous.190730__Kidney.leukocyte	1.8088024841217805e-08	2.6762102665119534e-08	0.24955776721281409
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocytopoietic_cell	1.1703606913377332e-08	1.7705687914944485e-08	0.25430349095305904
tabula_muris.ESmuQ1.continuous.190730__Marrow.pre-natural_killer_cell	1.73230925991672e-08	2.6347433734650118e-08	0.2554339448977845
tabula_muris.ESmuQ1.continuous.190730__Spleen.B_cell	1.8334608688736518e-08	2.8079990056882783e-08	0.2568967915680326
tabula_muris.ESmuQ1.continuous.190730__Fat.unknown_cell_type	1.0761514200655626e-08	1.819352216354893e-08	0.2770918837108138
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte	5.19091600514943e-09	1.6196069212452467e-08	0.37429289102049
tabula_muris.ESmuQ1.continuous.190730__Lung.T_cell	6.493446480803411e-09	2.2124720584680517e-08	0.38457274608361736
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.macrophage	6.4444817767869084e-09	2.4306985775618397e-08	0.39545512395976823
tabula_muris.ESmuQ1.continuous.190730__Liver.B_cell	5.022905906665876e-09	2.010848858499046e-08	0.4013747509295553
tabula_muris.ESmuQ1.continuous.190730__Marrow.naive_B_cell	6.0903115659294095e-09	2.4502148106263454e-08	0.40184966662295063
tabula_muris.ESmuQ1.continuous.190730__Marrow.monocyte	4.0713654968793945e-09	1.6909212444627222e-08	0.4048636104027488
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.luminal_epithelial_cell_of_mammary_gland	4.014610874968935e-09	1.668722458531273e-08	0.4049403638509481
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	4.346851730266711e-09	1.934876996471873e-08	0.411122755348939
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_NK_T_cell	4.667575710761205e-09	2.1245735935680565e-08	0.4130544639622023
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enteroendocrine_cell	3.1305839324781228e-09	1.9020379443386066e-08	0.4346329441337954
tabula_muris.ESmuQ1.continuous.190730__Marrow.late_pro-B_cell	2.856357432807015e-09	1.753720853230992e-08	0.43530877339704266
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	2.700828369823539e-09	1.845526184291761e-08	0.44182466977670765
tabula_muris.ESmuQ1.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	2.963020069010352e-09	2.3796111185161732e-08	0.45045297565120906
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_ductal_cell	2.4306282654923746e-09	2.1354501337727794e-08	0.4546891482689393
tabula_muris.ESmuQ1.continuous.190730__Thymus.leukocyte	2.192509592631118e-09	2.2293066510200404e-08	0.4608274285648033
tabula_muris.ESmuQ1.continuous.190730__Trachea.epithelial_cell	1.534858397023578e-09	1.64132814211142e-08	0.4627479335035661
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	1.1049560481065565e-09	2.1691326063477966e-08	0.4796866676045985
