Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Heart.myofibroblast_cell	4.1340968762841217e-08	1.362381357632779e-08	0.001204818461123957
tabula_muris.ESmuQ1.continuous.190730__Lung.lung_endothelial_cell	5.194187701202276e-08	1.8515301126878965e-08	0.0025131081585226915
tabula_muris.ESmuQ1.continuous.190730__Fat.endothelial_cell	3.966731390954423e-08	1.4178081643086204e-08	0.0025726670998673404
tabula_muris.ESmuQ1.continuous.190730__Heart.endothelial_cell	3.0313111529193655e-08	1.2027240436545491e-08	0.005861555119948003
tabula_muris.ESmuQ1.continuous.190730__Kidney.endothelial_cell	4.993562768007592e-08	2.0209561197984997e-08	0.006738840119377488
tabula_muris.ESmuQ1.continuous.190730__Heart.smooth_muscle_cell	3.030691603524332e-08	1.25892950640291e-08	0.008034247052564492
tabula_muris.ESmuQ1.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	4.0325013288669166e-08	1.7087566437122034e-08	0.009139836864926651
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_ductal_cell	3.0362728021353765e-08	1.3043540432843352e-08	0.009961414765254695
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_acinar_cell	3.24973524939606e-08	1.4173706558203436e-08	0.010930008708765964
tabula_muris.ESmuQ1.continuous.190730__Pancreas.endothelial_cell	3.948024778821032e-08	1.7336054496585623e-08	0.011382694075667369
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_stellate_cell	3.5322197594873075e-08	1.6466806409225094e-08	0.015974243889852722
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.brain_pericyte	2.2807351353748285e-08	1.0942667736143955e-08	0.018568317102192842
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.endothelial_cell	1.905849301384003e-08	9.481167720249199e-09	0.02220808336897986
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.endothelial_cell	2.3703583942897712e-08	1.27495485688885e-08	0.03150149100343206
tabula_muris.ESmuQ1.continuous.190730__Spleen.B_cell	3.0970461625728064e-08	1.6854042812659295e-08	0.03306299190135906
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	3.7535916689482356e-08	2.1763100750927232e-08	0.04228623210000692
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	1.5709524459362683e-08	9.242135825468374e-09	0.044586902336485074
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enteroendocrine_cell	2.4063530708386067e-08	1.4183422486761468e-08	0.0448865809673064
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	1.1432346038120268e-08	6.770336222017908e-09	0.04564867432884716
tabula_muris.ESmuQ1.continuous.190730__Pancreas.leukocyte	3.3548570600241924e-08	2.1069648969636132e-08	0.05566202194737069
tabula_muris.ESmuQ1.continuous.190730__Trachea.endothelial_cell	2.9676652402631162e-08	2.042426769500968e-08	0.07311057577219988
tabula_muris.ESmuQ1.continuous.190730__Marrow.late_pro-B_cell	1.6861649062214136e-08	1.2059288477541103e-08	0.0810221281337804
tabula_muris.ESmuQ1.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	2.1288046463361155e-08	1.5278352580411406e-08	0.08175744487394437
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.endothelial_cell	2.329773026995098e-08	1.6827703032873784e-08	0.08310474588954281
tabula_muris.ESmuQ1.continuous.190730__Skin.basal_cell_of_epidermis	1.422663461348633e-08	1.0339427472783264e-08	0.08441706884130279
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_D_cell	1.0818364121633747e-08	8.084344591492038e-09	0.0904177572939373
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	1.599863124715277e-08	1.2786578078997858e-08	0.10542983552430818
tabula_muris.ESmuQ1.continuous.190730__Heart.endocardial_cell	3.751615903427344e-08	3.078006121509008e-08	0.1114512962386564
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	1.300463150313755e-08	1.1537195108694059e-08	0.1298307023482142
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	9.477349952531663e-09	8.466078667093243e-09	0.13147415078381808
tabula_muris.ESmuQ1.continuous.190730__Skin.stem_cell_of_epidermis	1.2261593574158857e-08	1.1367731959214613e-08	0.14037602052377707
