Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Trachea.blood_cell	1.1134236999908285e-06	2.385538491065527e-07	1.5252545036306032e-06
tabula_muris.ESmuQ1.continuous.190730__Fat.T_cell	8.861385275417248e-07	2.6375869055737064e-07	0.0003901975676511388
tabula_muris.ESmuQ1.continuous.190730__Heart.leukocyte	3.823038337545518e-07	1.3865813077108683e-07	0.0029152146971251317
tabula_muris.ESmuQ1.continuous.190730__Kidney.macrophage	7.04949666647512e-07	2.6225027277014426e-07	0.0035932107705677124
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	7.634760595100943e-07	2.865679870448419e-07	0.0038585181073644333
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.lymphocyte	1.5439754621005435e-06	5.915793730607036e-07	0.004528155960749949
tabula_muris.ESmuQ1.continuous.190730__Spleen.T_cell	4.031738314377324e-07	1.5508791986385266e-07	0.004665986255167648
tabula_muris.ESmuQ1.continuous.190730__Marrow.regulatory_T_cell	1.0690736811123083e-06	4.1415625408001805e-07	0.004921032288660703
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.B_cell	1.0435564778406675e-06	4.0951032669300317e-07	0.005412417116585591
tabula_muris.ESmuQ1.continuous.190730__Lung.T_cell	5.599560643926556e-07	2.3242068385248482e-07	0.007992998687758927
tabula_muris.ESmuQ1.continuous.190730__Spleen.B_cell	7.435000561422985e-07	3.1178065765299226e-07	0.008546771255973619
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.T_cell	1.356557359142378e-06	5.731962907908608e-07	0.008974849680007712
tabula_muris.ESmuQ1.continuous.190730__Liver.natural_killer_cell	5.25259860863494e-07	2.439100715252987e-07	0.015639779000350944
tabula_muris.ESmuQ1.continuous.190730__Marrow.naive_B_cell	5.515068310086168e-07	2.668527948321901e-07	0.019380834011934456
tabula_muris.ESmuQ1.continuous.190730__Fat.myeloid_cell	3.483597084750114e-07	1.7291609464979273e-07	0.021972396020434937
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.microglial_cell	3.274075757639393e-07	1.6277813184407482e-07	0.022143024723461
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	2.433392935752067e-07	1.2117909683058683e-07	0.022316530745836848
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_T_cell	4.4443087303288056e-07	2.345522214842564e-07	0.02905907761551415
tabula_muris.ESmuQ1.continuous.190730__Lung.B_cell	4.402429494543138e-07	2.3696531528810344e-07	0.03159607684818442
tabula_muris.ESmuQ1.continuous.190730__Lung.myeloid_cell	8.95767682374026e-07	5.008858354811841e-07	0.03685841105407822
tabula_muris.ESmuQ1.continuous.190730__Fat.natural_killer_cell	4.896571412654832e-07	3.0381858306558023e-07	0.05351622335539443
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.macrophage	2.859567113877112e-07	1.9277675762733168e-07	0.06898982135121895
tabula_muris.ESmuQ1.continuous.190730__Lung.leukocyte	2.596476813683898e-07	1.779751143082272e-07	0.07229648121711521
tabula_muris.ESmuQ1.continuous.190730__Marrow.B_cell	2.8687861781857867e-07	1.968680525145113e-07	0.07252884396898898
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.macrophage	2.512849341711282e-07	1.747169769031079e-07	0.07518299338237101
tabula_muris.ESmuQ1.continuous.190730__Marrow.mature_natural_killer_cell	3.476297757365681e-07	2.4339845949316184e-07	0.07661236490530623
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_NK_T_cell	3.2862780344552633e-07	2.3086516476009926e-07	0.07730112622280079
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	1.8040503586144013e-07	1.2750247766092134e-07	0.07854686187713314
tabula_muris.ESmuQ1.continuous.190730__Kidney.leukocyte	2.3258268506897644e-07	1.693692563715812e-07	0.08484066555737757
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_B_cell	2.0459283682445502e-07	1.5145838897753546e-07	0.0883767447013048
tabula_muris.ESmuQ1.continuous.190730__Lung.stromal_cell	1.0323794355056131e-07	8.17710550499202e-08	0.10338009506429241
tabula_muris.ESmuQ1.continuous.190730__Pancreas.leukocyte	2.802580946468204e-07	2.2347123235658607e-07	0.1049005354000595
tabula_muris.ESmuQ1.continuous.190730__Spleen.macrophage	3.4965106083109427e-07	2.816159607967764e-07	0.10719426426639206
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.endothelial_cell	2.2187794175648356e-07	1.8495645328654257e-07	0.11514297223731401
tabula_muris.ESmuQ1.continuous.190730__Marrow.basophil	4.023437259781001e-07	3.377117428703106e-07	0.11675180803789481
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	1.6268651478129267e-07	1.4171977062753358e-07	0.1254956163464916
tabula_muris.ESmuQ1.continuous.190730__Thymus.DN1_thymic_pro-T_cell	2.8343936619489707e-07	2.563372989004154e-07	0.1344221019257708
tabula_muris.ESmuQ1.continuous.190730__Thymus.immature_T_cell	4.4028083061692254e-07	4.05143031427064e-07	0.13857821544537968
