Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	8.771940963542248e-09	4.469164333365007e-09	0.024836461887448667
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	1.15649976479724e-08	6.5948084661386046e-09	0.03974509581096584
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	1.2626493525388142e-08	8.158925730454729e-09	0.060863153409036086
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	1.560900952138867e-08	1.0210445981269878e-08	0.06316576353842092
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	1.3454728327049178e-08	8.869303882495408e-09	0.06463342261421352
tabula_muris.ESmuQ1.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	1.037305808818788e-08	7.358234498473449e-09	0.07931103281494645
tabula_muris.ESmuQ1.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	1.7313223161351156e-08	1.2614037645210665e-08	0.08494829049632102
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	1.2033569268786256e-08	9.254623373927578e-09	0.09675311006831844
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.macrophage	1.751234833380625e-08	1.3549944816236766e-08	0.09810422392953189
tabula_muris.ESmuQ1.continuous.190730__Kidney.macrophage	2.2070613370681446e-08	1.9467621502435127e-08	0.1284583633087441
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_D_cell	6.75111997129968e-09	6.5263478147153785e-09	0.15046508678014037
tabula_muris.ESmuQ1.continuous.190730__Pancreas.endothelial_cell	1.2408519786777478e-08	1.2161234560196874e-08	0.15378506746276743
tabula_muris.ESmuQ1.continuous.190730__Pancreas.leukocyte	1.5693284061922216e-08	1.558374060795702e-08	0.15696033681317678
tabula_muris.ESmuQ1.continuous.190730__Lung.leukocyte	1.0499171832494707e-08	1.0463216206482469e-08	0.15782517834985982
tabula_muris.ESmuQ1.continuous.190730__Heart.leukocyte	1.1623414468149267e-08	1.1595088209223025e-08	0.15806485279556276
tabula_muris.ESmuQ1.continuous.190730__Heart.endothelial_cell	9.757975833469818e-09	9.950358230413012e-09	0.16337879166207453
tabula_muris.ESmuQ1.continuous.190730__Trachea.endothelial_cell	1.1236180780886978e-08	1.1598165416645834e-08	0.16632511527522226
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.macrophage	1.379494545196643e-08	1.4331876495422193e-08	0.16789024272009784
tabula_muris.ESmuQ1.continuous.190730__Heart.professional_antigen_presenting_cell	8.177804012926192e-09	8.983934819183253e-09	0.181340136382875
tabula_muris.ESmuQ1.continuous.190730__Liver.Kupffer_cell	9.535164685752416e-09	1.0494475506587313e-08	0.18178356562311299
tabula_muris.ESmuQ1.continuous.190730__Fat.myeloid_cell	9.48505532826037e-09	1.064875096103553e-08	0.18653970446472257
tabula_muris.ESmuQ1.continuous.190730__Heart.unknown_cell_type	7.446032108812688e-09	9.622367517411053e-09	0.21951703363123487
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enteroendocrine_cell	7.412501119845202e-09	1.0523477828983983e-08	0.24059885368408618
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.endothelial_cell	7.3733484088231885e-09	1.0779930149657047e-08	0.24699120925293072
