Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	4.042410454095275e-08	7.4610996749093e-09	3.013772322598376e-08
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	3.3391403271298324e-08	8.89791479382916e-09	8.74622979650185e-05
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	4.3643317197905206e-08	1.2556534649646313e-08	0.0002547178617187411
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	2.3606445790490665e-08	7.309130225083217e-09	0.0006195570221830467
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	4.4255342519317996e-08	1.4270466310255127e-08	0.0009637422246208298
tabula_muris.ESmuQ1.continuous.190730__Marrow.naive_B_cell	7.141542542879921e-08	2.3527976793630272e-08	0.0012013205620777104
tabula_muris.ESmuQ1.continuous.190730__Marrow.late_pro-B_cell	3.65851597694155e-08	1.2789577333925147e-08	0.0021145685442956314
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.astrocyte	2.5708084609347814e-08	1.008722696532939e-08	0.00540815497483443
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	4.9139455378664766e-08	2.1045122531671685e-08	0.009772834572046606
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	2.3654459307450688e-08	1.0211869342020335e-08	0.010269060303451065
tabula_muris.ESmuQ1.continuous.190730__Spleen.B_cell	5.06997158373248e-08	2.241919650377223e-08	0.01186594572960082
tabula_muris.ESmuQ1.continuous.190730__Marrow.macrophage	4.079868935649351e-08	1.8592947965272426e-08	0.014106569947750322
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	4.089326148361743e-08	1.8880719667996684e-08	0.015160404957756014
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	2.2842145772221085e-08	1.0847404423994453e-08	0.0176121401026252
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	3.4568574279388166e-08	1.7341657451460617e-08	0.023109733197493616
tabula_muris.ESmuQ1.continuous.190730__Lung.B_cell	4.0493988334594764e-08	2.0672608214571753e-08	0.025066737158192992
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_B_cell	3.382053296820549e-08	1.900705624722744e-08	0.03758978792263002
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.B_cell	3.3380332618262436e-08	1.9958398903176167e-08	0.0472133259322373
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	2.6269471731322764e-08	1.5834630119072666e-08	0.048559039160947566
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.microglial_cell	3.16033176205443e-08	2.021999815262843e-08	0.05902943531087721
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_acinar_cell	1.6839083305677752e-08	1.0858772185874523e-08	0.060482543995244456
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.brain_pericyte	1.8787674542304534e-08	1.2524555814905835e-08	0.0667985067094436
tabula_muris.ESmuQ1.continuous.190730__Marrow.B_cell	2.584271272938153e-08	1.7489279147097603e-08	0.06975319654402516
tabula_muris.ESmuQ1.continuous.190730__Marrow.precursor_B_cell	2.133227983013202e-08	1.4437956011056302e-08	0.06976897555635213
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	1.4584543078136638e-08	1.0242154224031828e-08	0.07722725708905047
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.lymphocyte	3.143902847616811e-08	2.263921544417483e-08	0.08246233311156176
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocytopoietic_cell	2.566649427316026e-08	1.8636998387629944e-08	0.08422836126866401
tabula_muris.ESmuQ1.continuous.190730__Marrow.monocyte	1.7541221540340382e-08	1.4343568559976068e-08	0.1106775251676751
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	2.1173409218491737e-08	1.7886757899696455e-08	0.11825646768942821
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.macrophage	2.8448306155222936e-08	2.4847682508895836e-08	0.126123670946859
tabula_muris.ESmuQ1.continuous.190730__Heart.smooth_muscle_cell	1.1195686064778683e-08	1.1297125809206268e-08	0.1608377247011008
tabula_muris.ESmuQ1.continuous.190730__Trachea.blood_cell	1.5241206298801874e-08	1.597727881534502e-08	0.17005952694048326
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	1.090275169690111e-08	1.288844084473469e-08	0.1987951849986081
tabula_muris.ESmuQ1.continuous.190730__Marrow.pre-natural_killer_cell	1.4140485771241247e-08	1.7025383581509008e-08	0.20311305846642153
tabula_muris.ESmuQ1.continuous.190730__Fat.T_cell	1.4429914892996631e-08	1.8501648366145995e-08	0.2177172439987699
tabula_muris.ESmuQ1.continuous.190730__Heart.professional_antigen_presenting_cell	6.55901641950201e-09	9.344750220345624e-09	0.2413728921733828
tabula_muris.ESmuQ1.continuous.190730__Thymus.immature_T_cell	8.46066912858418e-09	1.4615804172827845e-08	0.2813380184253192
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_D_cell	5.384328028372018e-09	9.91253036256388e-09	0.29350155613445683
tabula_muris.ESmuQ1.continuous.190730__Fat.myeloid_cell	6.795995430928538e-09	1.3184369750771948e-08	0.303116331769222
tabula_muris.ESmuQ1.continuous.190730__Fat.natural_killer_cell	6.691874494337274e-09	1.4899527470810648e-08	0.3266677365242098
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	4.962125030575074e-09	1.128544774878696e-08	0.33007997234590136
tabula_muris.ESmuQ1.continuous.190730__Lung.T_cell	6.495098547517101e-09	1.7365520987360992e-08	0.3541937245450948
tabula_muris.ESmuQ1.continuous.190730__Liver.B_cell	8.582699413072618e-09	2.312544377271846e-08	0.35526788240439033
tabula_muris.ESmuQ1.continuous.190730__Heart.myofibroblast_cell	3.6369771019621943e-09	1.0442747830682409e-08	0.3638157872144854
tabula_muris.ESmuQ1.continuous.190730__Heart.endocardial_cell	5.195005301237967e-09	1.5685282434420145e-08	0.3702457528432757
