Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	3.138316908242756e-08	3.88287426413124e-09	3.173703933434335e-16
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.astrocyte	2.3136018987283516e-08	5.262427672443574e-09	5.501693916309307e-06
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	2.6298165527040984e-08	6.072249686302324e-09	7.425836946249951e-06
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	1.9881365214428225e-08	4.87371046714639e-09	2.258499690516399e-05
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	1.5431723756349418e-08	4.0420059974249455e-09	6.731316062054246e-05
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	2.2901963544558246e-08	7.08074870606182e-09	0.0006094960355814381
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	1.5440357096649013e-08	6.0733113527841535e-09	0.005505819481582664
tabula_muris.ESmuQ1.continuous.190730__Marrow.naive_B_cell	3.226699935404975e-08	1.321018959093505e-08	0.0072912653090743025
tabula_muris.ESmuQ1.continuous.190730__Marrow.macrophage	2.6574526249884675e-08	1.1162271652958627e-08	0.008638825716985757
tabula_muris.ESmuQ1.continuous.190730__Marrow.late_pro-B_cell	1.733966819987561e-08	7.40806867795117e-09	0.009625198492003488
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	1.29855994631656e-08	5.5538835662115924e-09	0.009690730408149039
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocytopoietic_cell	2.321409014240766e-08	1.0540255010664705e-08	0.01381775455392105
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	1.4428517204323434e-08	6.59348885173486e-09	0.014323958219081846
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	1.7896847932931662e-08	8.592940504960836e-09	0.01863753349349299
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	2.087987080201042e-08	1.0532420054117871e-08	0.023715114450487084
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.brain_pericyte	1.4108617422268913e-08	7.2861420485219445e-09	0.02641161589007153
tabula_muris.ESmuQ1.continuous.190730__Spleen.B_cell	2.498514671214503e-08	1.3181238222873182e-08	0.02901254530388198
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	2.178345496880696e-08	1.1918641664786427e-08	0.03379884631110087
tabula_muris.ESmuQ1.continuous.190730__Marrow.B_cell	1.650064775480331e-08	9.724978864591036e-09	0.04487401112396172
tabula_muris.ESmuQ1.continuous.190730__Marrow.pre-natural_killer_cell	1.5414937229418248e-08	9.560666764058415e-09	0.053445217690859
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.B_cell	1.7364959871458145e-08	1.1367159906703751e-08	0.06330062581721092
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_D_cell	9.392034908580356e-09	6.608730320455932e-09	0.07763574689836455
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	1.101684190194092e-08	7.899402066178458e-09	0.08156183505945691
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	1.1395900133592732e-08	8.172533674920944e-09	0.08159622350358597
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_acinar_cell	7.471648919684124e-09	6.062041851571066e-09	0.10887556895261247
tabula_muris.ESmuQ1.continuous.190730__Lung.B_cell	1.2357080829042396e-08	1.0099000620425282e-08	0.11055263240442736
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.lymphocyte	1.2412437366691425e-08	1.080230887020051e-08	0.12526683537625616
tabula_muris.ESmuQ1.continuous.190730__Heart.myofibroblast_cell	6.70374283494803e-09	6.054814622295573e-09	0.13410901370539619
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.large_intestine_goblet_cell	4.683587665358154e-09	4.640650769047701e-09	0.15642681451098522
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	5.7891969296314795e-09	5.8205840699060165e-09	0.15996358416837048
tabula_muris.ESmuQ1.continuous.190730__Lung.T_cell	8.827328261577825e-09	9.55089405360729e-09	0.17768041604821622
tabula_muris.ESmuQ1.continuous.190730__Lung.unknown_cell_type	9.341672727369368e-09	1.0170936174860286e-08	0.17918712412582444
tabula_muris.ESmuQ1.continuous.190730__Marrow.monocyte	8.789243481432045e-09	9.931432143171458e-09	0.18808032409052028
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_B_cell	8.74816668626008e-09	9.947785577257652e-09	0.1895899263117678
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	4.472251998457322e-09	5.5148121160640615e-09	0.2086964055642409
tabula_muris.ESmuQ1.continuous.190730__Heart.smooth_muscle_cell	4.877560777190149e-09	6.302847835958136e-09	0.2195049656479327
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_natural_killer_cell	7.568892549619855e-09	1.0168690088256719e-08	0.22833749255066782
