Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	1.7673161104255516e-07	7.51143127789196e-08	0.009315440620008397
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	1.8505983129834712e-07	8.203598096485469e-08	0.012040409106099999
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	1.7999825469095878e-07	8.204880249627302e-08	0.014125074338276393
tabula_muris.ESmuQ1.continuous.190730__Lung.unknown_cell_type	1.415936371905707e-07	7.17686605130199e-08	0.024252488449464676
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	9.60667837295664e-08	5.0432339570325816e-08	0.028398830012107176
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	9.202638543700228e-08	4.832206450675101e-08	0.028426569215900192
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	7.020485398610449e-08	3.9340788798175035e-08	0.0371687176538417
tabula_muris.ESmuQ1.continuous.190730__Liver.hepatocyte	1.1555898753824373e-07	6.574528017424355e-08	0.039401214905957195
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_D_cell	7.236314447323e-08	4.54701830775762e-08	0.05575510544306528
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enteroendocrine_cell	8.304361705316769e-08	5.3537215358331634e-08	0.06043429049606523
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_stellate_cell	1.3348750037386938e-07	8.778141918544398e-08	0.06417000587340861
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	6.297553584302442e-08	4.191106903159957e-08	0.06647122400655696
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	1.4021506832714622e-07	9.857082901007938e-08	0.07744342454870627
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.brain_pericyte	2.566880993226565e-07	1.8225727025550525e-07	0.07950879785918069
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.large_intestine_goblet_cell	9.17368882260532e-08	6.618555050908523e-08	0.08286488184820295
tabula_muris.ESmuQ1.continuous.190730__Liver.Kupffer_cell	7.409507344243051e-08	6.39989265698528e-08	0.1234820281150571
tabula_muris.ESmuQ1.continuous.190730__Heart.smooth_muscle_cell	2.417045764634924e-07	2.0976372087081174e-07	0.12460493931829042
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_ductal_cell	8.419144459135031e-08	7.429664642104745e-08	0.1285694181304236
tabula_muris.ESmuQ1.continuous.190730__Heart.myofibroblast_cell	1.0835491830662238e-07	1.0136807916028731e-07	0.14255163449118602
tabula_muris.ESmuQ1.continuous.190730__Heart.cardiac_muscle_cell	1.692443450700022e-07	1.5959857816851165e-07	0.14447276512353996
