Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	1.1271414038585602e-07	5.3468632013379463e-08	0.01751366342191318
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	1.3610567737757638e-07	6.697506984777372e-08	0.02106750693396421
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	1.8498512583651752e-07	9.140296274891607e-08	0.02149322199256477
tabula_muris.ESmuQ1.continuous.190730__Liver.hepatocyte	1.1892714898980866e-07	5.967555015203985e-08	0.02313643308787426
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_D_cell	8.108191664750234e-08	4.155733832683352e-08	0.0255234430219447
tabula_muris.ESmuQ1.continuous.190730__Lung.unknown_cell_type	1.0837254280155266e-07	5.960241508177203e-08	0.03451238679711705
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.astrocyte	6.553532602733419e-08	4.607012165695537e-08	0.07743875608276059
tabula_muris.ESmuQ1.continuous.190730__Liver.B_cell	1.2022395052894082e-07	9.605087837804696e-08	0.10534516743836891
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	5.908744804267189e-08	4.745604515437031e-08	0.10654778277234084
tabula_muris.ESmuQ1.continuous.190730__Liver.Kupffer_cell	1.0381494571861314e-07	8.43427451510443e-08	0.10918576472833835
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enteroendocrine_cell	6.531952428132192e-08	5.3309184217400095e-08	0.1102318783366723
tabula_muris.ESmuQ1.continuous.190730__Marrow.pre-natural_killer_cell	1.2663294209001135e-07	1.1443964943667834e-07	0.13424474378623935
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_ductal_cell	7.416526018854423e-08	6.835977704240722e-08	0.13897734296785663
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	4.786302793595771e-08	4.434268443152972e-08	0.1402070650704455
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.large_intestine_goblet_cell	6.157264696057469e-08	5.799640611223053e-08	0.1441943179415181
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	5.648988334653419e-08	5.5884782529870715e-08	0.1560494636314349
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	2.945746866280235e-08	2.9150603218320313e-08	0.1561214594657313
tabula_muris.ESmuQ1.continuous.190730__Heart.cardiac_muscle_cell	1.2345038114928007e-07	1.2328998778820656e-07	0.15834066834872473
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	2.0278211677015084e-08	2.0349577597969614e-08	0.15950533269523676
tabula_muris.ESmuQ1.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	8.55364232652122e-08	9.049163218570532e-08	0.17226786295038504
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	8.242767170163338e-08	9.410916124002263e-08	0.19054954441390137
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.brain_pericyte	8.814526599648853e-08	1.0184542141718346e-07	0.1933874500711103
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.microglial_cell	4.5752120294028856e-08	5.514115089901205e-08	0.20334648087805185
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.endothelial_cell	7.378447308337399e-08	9.011517988855773e-08	0.20645607920861409
tabula_muris.ESmuQ1.continuous.190730__Heart.smooth_muscle_cell	8.868900328866096e-08	1.1392095439686156e-07	0.21813316947605693
tabula_muris.ESmuQ1.continuous.190730__Heart.myofibroblast_cell	5.3414187730446936e-08	7.076542389676744e-08	0.2251826068318808
tabula_muris.ESmuQ1.continuous.190730__Marrow.late_pro-B_cell	4.94719174134238e-08	7.156804369246127e-08	0.2447019971697288
tabula_muris.ESmuQ1.continuous.190730__Marrow.regulatory_T_cell	4.796835423372479e-08	7.424631776602258e-08	0.2591168557215296
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	2.6070640462295978e-08	4.054068006175179e-08	0.2600881768158787
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	1.4679364015562816e-08	2.4934263641649167e-08	0.27802369416826395
tabula_muris.ESmuQ1.continuous.190730__Skin.stem_cell_of_epidermis	3.158707416609781e-08	5.5809889386353144e-08	0.2857049490813423
tabula_muris.ESmuQ1.continuous.190730__Spleen.T_cell	3.18891927475014e-08	5.7556813024817033e-08	0.28977326201947234
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_stellate_cell	3.537751037198983e-08	6.462257546328306e-08	0.29203543629750417
tabula_muris.ESmuQ1.continuous.190730__Lung.T_cell	4.330744175986983e-08	8.492722712965543e-08	0.3050481859679879
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.macrophage	3.58021672556259e-08	8.089536918338451e-08	0.3290370359799018
tabula_muris.ESmuQ1.continuous.190730__Fat.T_cell	4.0674217318803895e-08	9.507071156219229e-08	0.3343870072642942
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	1.379974611480344e-08	3.246835681571626e-08	0.3354105412616117
tabula_muris.ESmuQ1.continuous.190730__Heart.endothelial_cell	2.1866841339871208e-08	6.398499408069277e-08	0.36626969897791145
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocytopoietic_cell	2.028932475800072e-08	6.63926474549976e-08	0.37995614888161344
tabula_muris.ESmuQ1.continuous.190730__Heart.leukocyte	1.629205282523464e-08	6.185935718069421e-08	0.39613174670900075
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	1.0686643894484e-08	5.2281955395538175e-08	0.4190188792681309
tabula_muris.ESmuQ1.continuous.190730__Heart.fibroblast	5.919246416429353e-09	4.3664642746784215e-08	0.44608395384136884
tabula_muris.ESmuQ1.continuous.190730__Lung.lung_endothelial_cell	6.121545900921224e-09	5.8752568470678234e-08	0.45850850281679345
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	2.7181577032715994e-10	4.1280115727287506e-08	0.4973731173533259
tabula_muris.ESmuQ1.continuous.190730__Marrow.basophil	-1.1917818152757054e-09	4.53410009898447e-08	0.510484934222817
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	-6.91341951499212e-09	7.280190139205282e-08	0.5378275241722805
tabula_muris.ESmuQ1.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	-4.6860915553975164e-09	4.372237281592965e-08	0.542676252654248
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_acinar_cell	-4.199270520484624e-09	3.0112443279705345e-08	0.5554539028175501
tabula_muris.ESmuQ1.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	-1.0555048537138126e-08	7.050316811878335e-08	0.559503398523223
tabula_muris.ESmuQ1.continuous.190730__Marrow.mature_natural_killer_cell	-1.5575997050988292e-08	1.0184615826306312e-07	0.560775832183635
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_T_cell	-1.0086079634070864e-08	4.011819239765794e-08	0.5992510931241418
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte	-2.2518053833098028e-08	8.60761128656963e-08	0.6031875086977472
tabula_muris.ESmuQ1.continuous.190730__Thymus.leukocyte	-2.745344782343758e-08	6.498688066427914e-08	0.6636502461881446
tabula_muris.ESmuQ1.continuous.190730__Bladder.bladder_cell	-1.765761380874707e-08	3.915598414584171e-08	0.6739892572315753
tabula_muris.ESmuQ1.continuous.190730__Fat.natural_killer_cell	-2.808769727391661e-08	5.6903657964821386e-08	0.6892059705080964
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	-1.2120399832685839e-08	2.3130305844421784e-08	0.6998625278116489
tabula_muris.ESmuQ1.continuous.190730__Skin.leukocyte	-3.4656720758739325e-08	6.3113535525378e-08	0.7085374500290744
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	-1.7758913366736572e-08	3.2337989535456246e-08	0.7085541158122514
tabula_muris.ESmuQ1.continuous.190730__Trachea.mesenchymal_cell	-1.5649310989436017e-08	2.636796747532159e-08	0.7235757226697722
tabula_muris.ESmuQ1.continuous.190730__Lung.leukocyte	-3.0355998611422094e-08	4.737371538406302e-08	0.7391662889784509
tabula_muris.ESmuQ1.continuous.190730__Heart.unknown_cell_type	-2.15646223096244e-08	3.2013436931235404e-08	0.7497208601969982
tabula_muris.ESmuQ1.continuous.190730__Kidney.macrophage	-7.310312166537551e-08	1.067196013742043e-07	0.7533286152110603
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.luminal_epithelial_cell_of_mammary_gland	-3.584082132875224e-08	5.12079685601745e-08	0.7580073418394513
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.T_cell	-4.09655130700974e-08	5.4365644548754084e-08	0.7744307683290409
tabula_muris.ESmuQ1.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	-4.36665347405569e-08	5.155097870098963e-08	0.8015178777524659
tabula_muris.ESmuQ1.continuous.190730__Lung.epithelial_cell_of_lung	-3.053620717840861e-08	3.596274958363294e-08	0.8020890043376525
tabula_muris.ESmuQ1.continuous.190730__Thymus.DN1_thymic_pro-T_cell	-4.4937859111284016e-08	5.216136377244079e-08	0.8055230944578424
tabula_muris.ESmuQ1.continuous.190730__Fat.unknown_cell_type	-6.824170234743823e-08	7.786216185075316e-08	0.809605219799613
tabula_muris.ESmuQ1.continuous.190730__Pancreas.endothelial_cell	-5.267552341504554e-08	5.959805723000063e-08	0.8116104103232342
tabula_muris.ESmuQ1.continuous.190730__Heart.endocardial_cell	-3.763463366266748e-08	4.173468517819821e-08	0.8164075843086598
tabula_muris.ESmuQ1.continuous.190730__Pancreas.leukocyte	-5.208736469608049e-08	5.1680080168411434e-08	0.8432441742793149
tabula_muris.ESmuQ1.continuous.190730__Skin.keratinocyte_stem_cell	-3.307499330439843e-08	3.216004022655747e-08	0.8481308999735742
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	-4.2956015878304516e-08	4.157728813020772e-08	0.8492356257084099
tabula_muris.ESmuQ1.continuous.190730__Thymus.immature_T_cell	-4.534294682217436e-08	4.215943633141669e-08	0.8589270442981398
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.stromal_cell	-3.7389702835694515e-08	3.4200365294557225e-08	0.8628589602050565
tabula_muris.ESmuQ1.continuous.190730__Skin.epidermal_cell	-4.242849306675257e-08	3.673484416596093e-08	0.8759533824682719
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_B_cell	-5.164137120241189e-08	4.440522342250979e-08	0.8775765518870392
tabula_muris.ESmuQ1.continuous.190730__Bladder.bladder_urothelial_cell	-3.914779980525568e-08	3.100868300599627e-08	0.8966116953640009
tabula_muris.ESmuQ1.continuous.190730__Marrow.monocyte	-5.1989467425051155e-08	4.115462304891829e-08	0.8967542095414652
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.macrophage	-5.604592624724022e-08	4.413291528535011e-08	0.8979460773245599
tabula_muris.ESmuQ1.continuous.190730__Lung.stromal_cell	-3.09569907901333e-08	2.377308859657269e-08	0.9035736500144917
tabula_muris.ESmuQ1.continuous.190730__Kidney.endothelial_cell	-7.543524696026751e-08	5.790024567249988e-08	0.9036867517687561
tabula_muris.ESmuQ1.continuous.190730__Liver.natural_killer_cell	-7.068319338679992e-08	5.257134240480491e-08	0.9106097675092326
tabula_muris.ESmuQ1.continuous.190730__Trachea.epithelial_cell	-4.120745067773189e-08	2.997318615093101e-08	0.915404897129628
tabula_muris.ESmuQ1.continuous.190730__Fat.endothelial_cell	-6.62807573002703e-08	4.796367887145192e-08	0.9164979939942189
tabula_muris.ESmuQ1.continuous.190730__Marrow.precursor_B_cell	-5.382825249079436e-08	3.8718345199170596e-08	0.9177737988956804
tabula_muris.ESmuQ1.continuous.190730__Fat.myeloid_cell	-5.927627834868579e-08	4.1804590420985206e-08	0.9218954304514688
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.basal_cell	-7.773810339670736e-08	5.415001064277309e-08	0.9244428178075031
tabula_muris.ESmuQ1.continuous.190730__Heart.erythrocyte	-3.3550059219923e-08	2.1299241949049246e-08	0.9423921116255555
tabula_muris.ESmuQ1.continuous.190730__Tongue.keratinocyte	-4.8493538389228006e-08	3.074979270197255e-08	0.9426064101570638
tabula_muris.ESmuQ1.continuous.190730__Trachea.blood_cell	-6.166978202713543e-08	3.661171236415352e-08	0.9539504782633724
tabula_muris.ESmuQ1.continuous.190730__Marrow.macrophage	-6.417960184599816e-08	3.755800403204207e-08	0.9562571939303015
