Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_stellate_cell	1.205382116750565e-07	5.5452980126901054e-08	0.014863789734673546
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	4.815863638146362e-08	2.8336041866565805e-08	0.04460741431102599
tabula_muris.ESmuQ1.continuous.190730__Lung.stromal_cell	3.8808241436669817e-08	2.49076945160903e-08	0.0596068534283889
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	4.75474368304138e-08	3.182838602787756e-08	0.06760494096142466
tabula_muris.ESmuQ1.continuous.190730__Heart.professional_antigen_presenting_cell	4.1750217998851195e-08	3.038626262561734e-08	0.0847234304314119
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocytopoietic_cell	4.3012604759759525e-08	3.3628696938503855e-08	0.10044066729385492
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	3.339170032496955e-08	2.6133254499380495e-08	0.10066923739641642
tabula_muris.ESmuQ1.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	3.473445371610733e-08	3.3585753545568354e-08	0.15052086809659126
tabula_muris.ESmuQ1.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	4.2317301048827295e-08	4.11393105427776e-08	0.15182580456658212
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.brain_pericyte	4.954959731865586e-08	5.590462084641814e-08	0.18772152737926034
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	2.7440152634985315e-08	3.166434527236222e-08	0.19308206926193766
tabula_muris.ESmuQ1.continuous.190730__Heart.cardiac_muscle_cell	3.2580738306052904e-08	4.210420765728863e-08	0.21952100744020764
tabula_muris.ESmuQ1.continuous.190730__Heart.unknown_cell_type	2.6509188091923873e-08	3.5129135670216715e-08	0.2252381705276924
tabula_muris.ESmuQ1.continuous.190730__Liver.hepatocyte	1.716578358715446e-08	2.3300877079032606e-08	0.23065204522904798
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	3.177026863598949e-08	4.3716972213944314e-08	0.23369685328756284
tabula_muris.ESmuQ1.continuous.190730__Trachea.epithelial_cell	1.9980824103606098e-08	2.7495537770954186e-08	0.23370691792857534
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	1.0988868387161366e-08	1.6337078410062372e-08	0.2505901999095763
tabula_muris.ESmuQ1.continuous.190730__Lung.epithelial_cell_of_lung	3.155748743026105e-08	4.778146058651825e-08	0.25448105850409747
tabula_muris.ESmuQ1.continuous.190730__Heart.smooth_muscle_cell	2.7605077677338303e-08	4.357128224462622e-08	0.2631835859321783
tabula_muris.ESmuQ1.continuous.190730__Fat.unknown_cell_type	2.5791576606935996e-08	4.1076373956666427e-08	0.26503694721545523
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	1.7201289155861026e-08	2.7834216032181312e-08	0.26829070484362005
tabula_muris.ESmuQ1.continuous.190730__Fat.T_cell	2.56663830962085e-08	4.156297182565317e-08	0.26844259115817176
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.B_cell	2.4319197941042653e-08	4.048465903378276e-08	0.27401938906196444
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	1.0694648671905952e-08	1.8227767396925014e-08	0.2786949103507701
tabula_muris.ESmuQ1.continuous.190730__Marrow.late_pro-B_cell	1.7380619703316225e-08	3.129851674220077e-08	0.289338693962055
tabula_muris.ESmuQ1.continuous.190730__Spleen.T_cell	1.5133765634744252e-08	3.233505874452599e-08	0.31988169980466463
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_ductal_cell	1.2882498561128299e-08	3.24596632361088e-08	0.3457290283540879
tabula_muris.ESmuQ1.continuous.190730__Kidney.endothelial_cell	1.7568008126486614e-08	4.5848685954122394e-08	0.35079550879499977
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.lymphocyte	2.1009702282618146e-08	5.69225538607442e-08	0.3560292941181588
tabula_muris.ESmuQ1.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	1.5561513474708946e-08	4.421092631443375e-08	0.36242534473452587
tabula_muris.ESmuQ1.continuous.190730__Skin.leukocyte	1.9243689895364906e-08	5.915474746054957e-08	0.3724728542247705
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_T_cell	1.728925708324158e-08	6.122260848738269e-08	0.388818454794351
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enteroendocrine_cell	1.045303385042288e-08	3.776364905471789e-08	0.39096627333938117
tabula_muris.ESmuQ1.continuous.190730__Pancreas.endothelial_cell	1.2481095157964896e-08	5.07231472590487e-08	0.40281669116490815
tabula_muris.ESmuQ1.continuous.190730__Bladder.bladder_cell	5.8854218842836725e-09	2.481005443635568e-08	0.40624336128510163
tabula_muris.ESmuQ1.continuous.190730__Lung.T_cell	9.991962846103372e-09	4.605356839140512e-08	0.4141182304271983
tabula_muris.ESmuQ1.continuous.190730__Thymus.immature_T_cell	6.927061668222411e-09	3.7352578624139604e-08	0.42643777451827564
tabula_muris.ESmuQ1.continuous.190730__Trachea.endothelial_cell	8.258721715254169e-09	4.678955346458501e-08	0.4299475058995149
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	6.540533965023711e-09	3.9108438139419124e-08	0.43359021607105086
tabula_muris.ESmuQ1.continuous.190730__Heart.erythrocyte	2.0744697187984045e-09	1.4882495708841604e-08	0.44457102308358365
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	4.9325796986628e-09	3.6156409860283075e-08	0.4457432953262751
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	1.8190121923599801e-09	1.401313761548554e-08	0.4483593127920702
tabula_muris.ESmuQ1.continuous.190730__Skin.keratinocyte_stem_cell	2.992674862083622e-09	2.9089542450918212e-08	0.45902988678170087
tabula_muris.ESmuQ1.continuous.190730__Skin.epidermal_cell	5.27093780311737e-10	3.467250231669064e-08	0.49393548542655613
tabula_muris.ESmuQ1.continuous.190730__Spleen.B_cell	4.141530205343184e-10	3.772141497321725e-08	0.4956199991124327
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	1.7582459483605755e-10	2.7692838790790304e-08	0.49746709269912803
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.endothelial_cell	1.2257416702714376e-10	4.6832338216056016e-08	0.4989558505138683
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.large_intestine_goblet_cell	-2.514832953690317e-10	2.6471968399715983e-08	0.5037898885627883
tabula_muris.ESmuQ1.continuous.190730__Heart.endocardial_cell	-4.768312870416825e-10	2.755822345821044e-08	0.506902428594115
tabula_muris.ESmuQ1.continuous.190730__Fat.myeloid_cell	-8.042187989953942e-10	2.9096117226581593e-08	0.5110253898132361
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	-1.340712760545405e-09	2.7449060926378807e-08	0.5194780583280459
tabula_muris.ESmuQ1.continuous.190730__Tongue.basal_cell_of_epidermis	-2.0130872559792284e-09	2.4149313172809975e-08	0.5332173618207457
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.basal_cell	-4.173937156212425e-09	3.416169822103038e-08	0.548622472797589
tabula_muris.ESmuQ1.continuous.190730__Marrow.naive_B_cell	-6.514024284001479e-09	3.8825062568367093e-08	0.5666213684051122
tabula_muris.ESmuQ1.continuous.190730__Marrow.macrophage	-5.302907264302286e-09	2.8724989544043148e-08	0.5732323507949992
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	-5.881931275252979e-09	2.198562667874983e-08	0.6054714813753395
tabula_muris.ESmuQ1.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	-9.023028952807124e-09	2.8429985936032405e-08	0.6245212922368575
tabula_muris.ESmuQ1.continuous.190730__Heart.myofibroblast_cell	-1.0492347301360104e-08	3.278866449959836e-08	0.6255155418150655
tabula_muris.ESmuQ1.continuous.190730__Liver.natural_killer_cell	-1.5451317549665417e-08	4.450045114943703e-08	0.6357858870393804
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_D_cell	-6.990209310085078e-09	1.9980243946583263e-08	0.6367766355616125
tabula_muris.ESmuQ1.continuous.190730__Lung.myeloid_cell	-1.730506250417907e-08	4.7914510976110285e-08	0.6410120891991158
tabula_muris.ESmuQ1.continuous.190730__Liver.Kupffer_cell	-1.749142572568014e-08	4.610376999792546e-08	0.6478017998236657
tabula_muris.ESmuQ1.continuous.190730__Marrow.mature_natural_killer_cell	-1.3446255043657437e-08	3.5102407009822776e-08	0.6491615906566912
tabula_muris.ESmuQ1.continuous.190730__Marrow.basophil	-1.5685170783063906e-08	3.762205943977691e-08	0.6616294163748084
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.T_cell	-1.9620096445950883e-08	4.4179100938845926e-08	0.6715161472372965
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	-1.6739424238456707e-08	3.76171643499827e-08	0.6718380683281053
tabula_muris.ESmuQ1.continuous.190730__Liver.B_cell	-1.7427727400146538e-08	3.6140414389055015e-08	0.6851761156642466
tabula_muris.ESmuQ1.continuous.190730__Lung.unknown_cell_type	-1.81978028517716e-08	3.58864536280332e-08	0.6939555435449557
tabula_muris.ESmuQ1.continuous.190730__Thymus.DN1_thymic_pro-T_cell	-2.3004460226780988e-08	4.188991932185975e-08	0.7085537475202853
tabula_muris.ESmuQ1.continuous.190730__Lung.classical_monocyte	-2.003225589707126e-08	3.6448422746938527e-08	0.7087050287280597
tabula_muris.ESmuQ1.continuous.190730__Thymus.leukocyte	-2.742207096248057e-08	4.8582490214252486e-08	0.7137738302526557
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.macrophage	-2.1216554604070146e-08	3.721524344090981e-08	0.7156963774451026
tabula_muris.ESmuQ1.continuous.190730__Skin.stem_cell_of_epidermis	-1.4058970426936818e-08	2.4646837057945607e-08	0.7158024880829322
