Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	6.613793793616875e-08	2.1556412212028656e-08	0.0010770039249887108
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.astrocyte	4.486118784617599e-08	2.1316703588036933e-08	0.017667048889507472
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	3.8155170364413176e-08	2.159267489008314e-08	0.03861057044156012
tabula_muris.ESmuQ1.continuous.190730__Heart.fibroblast	4.543589313326023e-08	2.6295027787152678e-08	0.042000640604510114
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	3.963292310699781e-08	2.343026881850102e-08	0.04536813529354079
tabula_muris.ESmuQ1.continuous.190730__Lung.unknown_cell_type	6.527072812661197e-08	4.0049104560055786e-08	0.051575324892092204
tabula_muris.ESmuQ1.continuous.190730__Skin.keratinocyte_stem_cell	4.862619897684102e-08	3.2629085985679116e-08	0.06807642320502724
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	2.7591970652612846e-08	1.9032413603798044e-08	0.07356610941952979
tabula_muris.ESmuQ1.continuous.190730__Kidney.leukocyte	6.74867716292878e-08	4.741143535641735e-08	0.07730603872869357
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	4.549019075845413e-08	3.233794528591371e-08	0.07975633385811781
tabula_muris.ESmuQ1.continuous.190730__Thymus.leukocyte	7.735414212330791e-08	5.6310795652805227e-08	0.08476741256396098
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.large_intestine_goblet_cell	2.9174410624014776e-08	2.2086170990448054e-08	0.09326141085809386
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	3.5519511603259554e-08	2.784846507227003e-08	0.10107381884744127
tabula_muris.ESmuQ1.continuous.190730__Marrow.regulatory_T_cell	8.429730641788663e-08	7.421723530751863e-08	0.12801627337117844
tabula_muris.ESmuQ1.continuous.190730__Kidney.endothelial_cell	1.0814528394526683e-07	9.583779252701425e-08	0.129571287985764
tabula_muris.ESmuQ1.continuous.190730__Trachea.mesenchymal_cell	2.772177083319484e-08	2.566668231207693e-08	0.14005587559374738
tabula_muris.ESmuQ1.continuous.190730__Heart.endocardial_cell	3.3961643245029385e-08	3.215196775361627e-08	0.14541899933692737
tabula_muris.ESmuQ1.continuous.190730__Skin.leukocyte	4.879493208150887e-08	5.283791559805091e-08	0.17787770251160867
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.basal_cell	3.435151417438846e-08	3.99458616011608e-08	0.1949078160701313
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	2.78052703774294e-08	3.2705239539585075e-08	0.19761310604154064
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	4.129654957276818e-08	4.906408343245829e-08	0.19998188293996771
tabula_muris.ESmuQ1.continuous.190730__Lung.T_cell	4.344829950986246e-08	5.392102918469637e-08	0.2101858580694227
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	1.0235586931380923e-08	1.3171719572781488e-08	0.21855338831332422
tabula_muris.ESmuQ1.continuous.190730__Pancreas.endothelial_cell	3.683816230603985e-08	4.76504674960858e-08	0.21973417201800194
