Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_ductal_cell	4.0518971717094084e-08	1.4329222595007459e-08	0.0023440689686372506
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	4.029063574834053e-08	1.9122836435556183e-08	0.017561465763960636
tabula_muris.ESmuQ1.continuous.190730__Thymus.DN1_thymic_pro-T_cell	3.929121525123503e-08	2.2695993589698833e-08	0.04170839868570723
tabula_muris.ESmuQ1.continuous.190730__Liver.hepatocyte	2.208456564325963e-08	1.2875855644696714e-08	0.04315500810118538
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_T_cell	4.236477640330455e-08	2.552287234142732e-08	0.04846980608798195
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	2.0832198990449698e-08	1.3249805328486863e-08	0.05794460734060945
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	3.2148941977154364e-08	2.0563365586064545e-08	0.05897826288983155
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	1.98714114507108e-08	1.2971386357247173e-08	0.06276837502042922
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	7.36538663614349e-08	4.8866999217832244e-08	0.0658757015082321
tabula_muris.ESmuQ1.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	3.698879200127524e-08	2.5913761918399532e-08	0.07673516002577675
tabula_muris.ESmuQ1.continuous.190730__Liver.natural_killer_cell	4.728539822202224e-08	3.3596535074112075e-08	0.07964719561761707
tabula_muris.ESmuQ1.continuous.190730__Marrow.pre-natural_killer_cell	7.555631946462677e-08	5.4314141807220805e-08	0.0820977846810334
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	2.1624093293083318e-08	1.611878674714756e-08	0.08987162854333941
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	1.6400535917599523e-08	1.2667683273546133e-08	0.09771614193270506
tabula_muris.ESmuQ1.continuous.190730__Lung.unknown_cell_type	3.289076382660082e-08	3.006954692199242e-08	0.1370162941798415
tabula_muris.ESmuQ1.continuous.190730__Heart.endothelial_cell	1.4457394515642702e-08	1.4195092667148261e-08	0.1542253429377627
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.T_cell	2.4359593820151176e-08	2.4903287491555646e-08	0.16399567081903565
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.large_intestine_goblet_cell	7.813319408734496e-09	8.578523935810777e-09	0.18120038714541337
tabula_muris.ESmuQ1.continuous.190730__Spleen.T_cell	1.2535436618363374e-08	1.4243982011581555e-08	0.18941572683634
tabula_muris.ESmuQ1.continuous.190730__Kidney.macrophage	2.5439599384296733e-08	2.939923793381873e-08	0.19343298044967344
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_NK_T_cell	1.7953735126337106e-08	2.195920325130413e-08	0.20679423728512725
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	1.4309400500882676e-08	1.8487933539923274e-08	0.21946955481380087
tabula_muris.ESmuQ1.continuous.190730__Lung.lung_endothelial_cell	1.3493175636335553e-08	1.8139700157231066e-08	0.2284842861371737
tabula_muris.ESmuQ1.continuous.190730__Liver.Kupffer_cell	1.8841266791634827e-08	2.5370237433368027e-08	0.22884608864841044
