Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Trachea.mesenchymal_cell	2.743451773733917e-07	7.580320699524994e-08	0.00014777106953965693
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	1.3341837242132582e-07	4.6646925504668947e-08	0.0021170361269149756
tabula_muris.ESmuQ1.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	1.267403668712121e-07	4.6474454662825955e-08	0.003194708286319817
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_stellate_cell	1.518264307502627e-07	5.6878881571680576e-08	0.0038005494736436415
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	9.424972623471211e-08	3.783855634814602e-08	0.00637210486785448
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	1.196746765940584e-07	4.861222575636653e-08	0.006911650793719787
tabula_muris.ESmuQ1.continuous.190730__Bladder.bladder_cell	1.015192551960755e-07	4.2114601608533515e-08	0.007964294581698693
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.stromal_cell	1.207475918965415e-07	5.0252907066126625e-08	0.008135082793832123
tabula_muris.ESmuQ1.continuous.190730__Lung.stromal_cell	1.125823036337949e-07	5.2682815236270675e-08	0.01629966935395703
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocytopoietic_cell	7.870250035296056e-08	3.987296818767386e-08	0.024200481779371882
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	5.7693202474266404e-08	3.206360730994993e-08	0.03598277445998399
tabula_muris.ESmuQ1.continuous.190730__Heart.endocardial_cell	1.4130058961912938e-07	8.399212147382681e-08	0.046254597938865306
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	5.544463827361442e-08	3.298791295708772e-08	0.04640514253786576
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.brain_pericyte	4.829790815701393e-08	3.585653634642295e-08	0.08899391718360078
tabula_muris.ESmuQ1.continuous.190730__Heart.fibroblast	4.2478420804360393e-08	3.5921970023778874e-08	0.11849986733884033
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.endothelial_cell	8.735569213562927e-08	7.451509135876132e-08	0.12053387090277451
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	5.747290830781427e-08	4.908833731007039e-08	0.12083843004548311
tabula_muris.ESmuQ1.continuous.190730__Marrow.late_pro-B_cell	6.009684865091354e-08	5.456348507850596e-08	0.13535880645661108
tabula_muris.ESmuQ1.continuous.190730__Heart.smooth_muscle_cell	3.841767985559603e-08	3.6451628397635635e-08	0.1459561321674247
tabula_muris.ESmuQ1.continuous.190730__Marrow.pre-natural_killer_cell	8.127918735860441e-08	7.808381407864727e-08	0.14895579361996653
tabula_muris.ESmuQ1.continuous.190730__Skin.stem_cell_of_epidermis	4.108834536813938e-08	4.099945483704114e-08	0.15813120819260262
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.endothelial_cell	6.300214549249769e-08	6.694328556805608e-08	0.17331984446783594
tabula_muris.ESmuQ1.continuous.190730__Lung.lung_endothelial_cell	4.490932326003601e-08	5.348816442568775e-08	0.2005628871261239
tabula_muris.ESmuQ1.continuous.190730__Tongue.basal_cell_of_epidermis	2.6534501307569325e-08	3.250818063903511e-08	0.20718123107094816
tabula_muris.ESmuQ1.continuous.190730__Kidney.leukocyte	9.22949131038666e-08	1.1649685941086758e-07	0.21410676862085248
tabula_muris.ESmuQ1.continuous.190730__Trachea.endothelial_cell	4.072334356255068e-08	5.438224925201062e-08	0.22697826452099723
tabula_muris.ESmuQ1.continuous.190730__Trachea.epithelial_cell	2.099115604587537e-08	2.8733203690670267e-08	0.2325258179223177
tabula_muris.ESmuQ1.continuous.190730__Marrow.B_cell	6.768790373178536e-08	9.288454137074157e-08	0.23308291871778702
tabula_muris.ESmuQ1.continuous.190730__Pancreas.endothelial_cell	4.1618551149661023e-08	5.9184189187405695e-08	0.24096435248793407
