Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Trachea.blood_cell	7.964748482578563e-07	1.5130444672214095e-07	7.04563374655943e-08
tabula_muris.ESmuQ1.continuous.190730__Fat.T_cell	6.639440839422594e-07	1.8448219368232782e-07	0.00015974600047415527
tabula_muris.ESmuQ1.continuous.190730__Marrow.regulatory_T_cell	1.2646566784026942e-06	3.550688249538462e-07	0.00018421473367427867
tabula_muris.ESmuQ1.continuous.190730__Lung.leukocyte	3.521657523977824e-07	1.1931486260523088e-07	0.0015808322469249814
tabula_muris.ESmuQ1.continuous.190730__Pancreas.leukocyte	4.1171405839260774e-07	1.4986342861389567e-07	0.0030047580529923472
tabula_muris.ESmuQ1.continuous.190730__Lung.T_cell	4.37205517487399e-07	1.6403303411717866e-07	0.003845406770161033
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.lymphocyte	9.835786623292585e-07	3.706605639032134e-07	0.003982106151680302
tabula_muris.ESmuQ1.continuous.190730__Liver.natural_killer_cell	5.666680196074132e-07	2.144485659911498e-07	0.004115521165467237
tabula_muris.ESmuQ1.continuous.190730__Kidney.macrophage	5.06733931002375e-07	1.9489589340324746e-07	0.004660866875396498
tabula_muris.ESmuQ1.continuous.190730__Spleen.B_cell	4.4697801192341873e-07	1.7214916972229863e-07	0.004709527143690787
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.B_cell	5.583449189272633e-07	2.3022460516072372e-07	0.007649592611079693
tabula_muris.ESmuQ1.continuous.190730__Lung.B_cell	3.1541795501248134e-07	1.3508231362585146e-07	0.009771564825125334
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.macrophage	2.7765081447257555e-07	1.202667030353428e-07	0.01048217727796035
tabula_muris.ESmuQ1.continuous.190730__Heart.leukocyte	2.1523099972448178e-07	9.338170040142655e-08	0.010587431590524997
tabula_muris.ESmuQ1.continuous.190730__Marrow.pre-natural_killer_cell	3.147643865351184e-07	1.3717780349812492e-07	0.01087882394110573
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.T_cell	8.901485832367924e-07	3.9248665675262677e-07	0.011665469449025172
tabula_muris.ESmuQ1.continuous.190730__Fat.natural_killer_cell	6.005993091096578e-07	2.654609692190109e-07	0.011833977420636445
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	3.953653097048179e-07	1.7488591652448786e-07	0.01188879300186154
tabula_muris.ESmuQ1.continuous.190730__Fat.myeloid_cell	2.5480528483597544e-07	1.1344220551055923e-07	0.012348026345836271
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.macrophage	3.1723002588695554e-07	1.4144280865189768e-07	0.01245437955012558
tabula_muris.ESmuQ1.continuous.190730__Spleen.T_cell	2.410414588986027e-07	1.123596710138424e-07	0.015965765300973177
tabula_muris.ESmuQ1.continuous.190730__Spleen.macrophage	4.918365860500025e-07	2.3365322491021335e-07	0.01764629713255277
tabula_muris.ESmuQ1.continuous.190730__Marrow.mature_natural_killer_cell	4.0776258856927635e-07	1.9532176190281702e-07	0.0184149142246191
tabula_muris.ESmuQ1.continuous.190730__Lung.myeloid_cell	6.42752032827027e-07	3.160379546059963e-07	0.020986833261913487
tabula_muris.ESmuQ1.continuous.190730__Kidney.leukocyte	4.4100884650546035e-07	2.2667611738312874e-07	0.025854640733201425
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.stromal_cell	1.6254789363787244e-07	8.374870452045339e-08	0.02613518008459654
tabula_muris.ESmuQ1.continuous.190730__Marrow.B_cell	2.886068361861091e-07	1.5156416915518885e-07	0.028442781545511102
tabula_muris.ESmuQ1.continuous.190730__Thymus.DN1_thymic_pro-T_cell	3.5669008772630767e-07	1.8768052937572487e-07	0.02868263525696173
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	1.355899573878752e-07	7.250322707616585e-08	0.030733364962543072
tabula_muris.ESmuQ1.continuous.190730__Marrow.naive_B_cell	2.8704670115143103e-07	1.548971410209526e-07	0.031930863779826235
tabula_muris.ESmuQ1.continuous.190730__Lung.monocyte	3.016286130506761e-07	1.6339689509680706e-07	0.03244701592443994
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_NK_T_cell	3.2650430059165167e-07	1.8195490816702002e-07	0.036372739175958645
tabula_muris.ESmuQ1.continuous.190730__Marrow.basophil	3.2507519096611616e-07	1.8202073443731e-07	0.03705578540779894
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.microglial_cell	1.6070438218390535e-07	9.05060608859394e-08	0.03789777619556513
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte	1.6585397356252748e-07	9.456847934497065e-08	0.039732595915382675
tabula_muris.ESmuQ1.continuous.190730__Lung.natural_killer_cell	3.9074795291152017e-07	2.2620931594715848e-07	0.042050313234336605
tabula_muris.ESmuQ1.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	1.425332155367192e-07	8.665546236925059e-08	0.050002780366699924
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_T_cell	3.085772930446089e-07	1.89229927505925e-07	0.05147679026382808
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	1.0835741603422832e-07	6.693448932968953e-08	0.052738937818299386
tabula_muris.ESmuQ1.continuous.190730__Lung.stromal_cell	8.056594482213029e-08	5.114797576624419e-08	0.057610437065181486
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_natural_killer_cell	3.007930193337703e-07	1.9136022845709328e-07	0.05799058375359876
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_B_cell	1.9143761284359682e-07	1.2307248235059748e-07	0.059915096552787823
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.endothelial_cell	2.2722315457702963e-07	1.4918978352678266e-07	0.06387338777469649
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	1.404000297183674e-07	9.643002769197151e-08	0.07269930646561763
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	9.516178832868579e-08	6.703667461787258e-08	0.07786963284216013
tabula_muris.ESmuQ1.continuous.190730__Trachea.mesenchymal_cell	7.839009504638058e-08	6.023348831856196e-08	0.09655444450239997
tabula_muris.ESmuQ1.continuous.190730__Marrow.monocyte	1.238088469936552e-07	9.581790732601558e-08	0.09815668852681292
tabula_muris.ESmuQ1.continuous.190730__Heart.myofibroblast_cell	7.76895535487602e-08	6.17578720150262e-08	0.10420129337038125
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.basal_cell	1.4951023233708845e-07	1.1929772806719407e-07	0.1050568285627943
tabula_muris.ESmuQ1.continuous.190730__Lung.classical_monocyte	1.4243436585642577e-07	1.1532443828689387e-07	0.10840123947552954
tabula_muris.ESmuQ1.continuous.190730__Skin.leukocyte	3.743256061272892e-07	3.0863443171517317e-07	0.1125946185659657
tabula_muris.ESmuQ1.continuous.190730__Thymus.immature_T_cell	3.272901335132096e-07	2.7184716951366586e-07	0.11430464156376663
tabula_muris.ESmuQ1.continuous.190730__Marrow.precursor_B_cell	1.2937376494613045e-07	1.1777369105570577e-07	0.13599428476874192
tabula_muris.ESmuQ1.continuous.190730__Skin.basal_cell_of_epidermis	7.428130822460141e-08	6.785866200925168e-08	0.13683556957631954
tabula_muris.ESmuQ1.continuous.190730__Bladder.bladder_cell	6.713916856956342e-08	6.399668400247112e-08	0.14706515860317365
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.brain_pericyte	6.629260346763825e-08	6.443046703244418e-08	0.15176298430553048
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocytopoietic_cell	9.225520099292131e-08	9.280226422745192e-08	0.16008585966036026
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	7.697435460195642e-08	8.054970266718703e-08	0.1696338592371026
tabula_muris.ESmuQ1.continuous.190730__Trachea.endothelial_cell	9.926577339620758e-08	1.1277885177348798e-07	0.18938070226942638
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enteroendocrine_cell	5.8788302219800656e-08	7.319705354141507e-08	0.21094367048323592
tabula_muris.ESmuQ1.continuous.190730__Heart.fibroblast	6.515449032260427e-08	8.158497767889489e-08	0.21225860899145477
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	6.862548206434288e-08	9.006143059868061e-08	0.22303440259453455
tabula_muris.ESmuQ1.continuous.190730__Heart.professional_antigen_presenting_cell	4.8370184293118565e-08	6.645498778234548e-08	0.23334846233310125
tabula_muris.ESmuQ1.continuous.190730__Fat.unknown_cell_type	7.490352662070718e-08	1.0389278568506434e-07	0.2354641494369335
tabula_muris.ESmuQ1.continuous.190730__Marrow.late_pro-B_cell	6.579453943743273e-08	9.603241472479437e-08	0.24663143448962488
tabula_muris.ESmuQ1.continuous.190730__Skin.stem_cell_of_epidermis	5.690486077837545e-08	8.545487911923829e-08	0.2527358018784498
tabula_muris.ESmuQ1.continuous.190730__Skin.epidermal_cell	5.084719417544723e-08	7.79747789402023e-08	0.2571689904276826
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.large_intestine_goblet_cell	5.481586196510055e-08	8.534827368338024e-08	0.2603518874914691
tabula_muris.ESmuQ1.continuous.190730__Tongue.keratinocyte	5.9544695525582395e-08	9.405226021671034e-08	0.26333344360100003
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	2.9213353157908814e-08	4.6263843408402e-08	0.26387281821259967
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	6.322570642392382e-08	1.0342993695430236e-07	0.2705037401903704
tabula_muris.ESmuQ1.continuous.190730__Lung.unknown_cell_type	8.378385236422172e-08	1.3980171106855303e-07	0.2744847859476002
tabula_muris.ESmuQ1.continuous.190730__Pancreas.endothelial_cell	8.761750988484156e-08	1.56760069546703e-07	0.28810560871138247
tabula_muris.ESmuQ1.continuous.190730__Heart.smooth_muscle_cell	3.6939801835848524e-08	6.721713916521337e-08	0.2913108512353322
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.endothelial_cell	3.1088534545312226e-08	6.027082527141994e-08	0.3029921671173236
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	2.6837459398816746e-08	5.212056467352168e-08	0.3033075578183725
tabula_muris.ESmuQ1.continuous.190730__Marrow.macrophage	3.7937579607962524e-08	8.992284135992825e-08	0.3365525245841374
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	1.9479663740726767e-08	7.156205717449082e-08	0.3927315865172645
tabula_muris.ESmuQ1.continuous.190730__Kidney.endothelial_cell	2.1671479412260557e-08	1.0867874320314329e-07	0.42097155470954883
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	9.36597577712938e-09	6.177350016580872e-08	0.4397441099519997
tabula_muris.ESmuQ1.continuous.190730__Heart.unknown_cell_type	8.36835823609981e-09	6.982571811346881e-08	0.45230242781711033
tabula_muris.ESmuQ1.continuous.190730__Lung.lung_endothelial_cell	9.524274608003609e-09	1.0247132784253359e-07	0.4629733291639705
tabula_muris.ESmuQ1.continuous.190730__Thymus.leukocyte	6.7633004803584025e-09	9.541878886437755e-08	0.47174656075708254
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	2.900830441502837e-09	6.174473261396874e-08	0.48126417782698716
tabula_muris.ESmuQ1.continuous.190730__Liver.Kupffer_cell	3.8840908161303845e-09	9.734281527750704e-08	0.48408596491284983
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.luminal_epithelial_cell_of_mammary_gland	-1.7935005881815377e-09	7.238459791933151e-08	0.5098837326136713
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_stellate_cell	-3.705325773633549e-09	9.529789816631662e-08	0.5155075691462396
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.endothelial_cell	-9.064663392336174e-09	9.510451426897939e-08	0.5379667528851395
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	-7.391246269238187e-09	4.5358889841972386e-08	0.564721230365049
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_D_cell	-1.0607036221898207e-08	4.767417725752433e-08	0.5880338410618422
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	-1.4887358391191391e-08	6.469820974101059e-08	0.5909947710650829
