Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Liver.Kupffer_cell	2.853487737642654e-07	1.473729893405763e-07	0.026419448798065584
tabula_muris.ESmuQ1.continuous.190730__Heart.leukocyte	9.446489105340754e-08	6.072353355748279e-08	0.05989503230361523
tabula_muris.ESmuQ1.continuous.190730__Liver.hepatocyte	9.720658629239614e-08	6.802020429047426e-08	0.07649004441319718
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.basal_cell	1.766765479961792e-07	1.2383123110520944e-07	0.07682558925185504
tabula_muris.ESmuQ1.continuous.190730__Lung.lung_endothelial_cell	1.1807508711550992e-07	8.372027968933604e-08	0.07921784467658394
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.macrophage	2.6846285818941827e-07	2.0414044013024514e-07	0.09423998753333057
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.macrophage	1.2977606030398476e-07	1.0549059831361032e-07	0.10930840167979733
tabula_muris.ESmuQ1.continuous.190730__Marrow.precursor_B_cell	2.291955052586996e-07	1.8655318894250204e-07	0.10961467062839408
tabula_muris.ESmuQ1.continuous.190730__Fat.myeloid_cell	1.4650634840195424e-07	1.223741879450861e-07	0.11561435175734008
tabula_muris.ESmuQ1.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	1.2768952821093474e-07	1.0872587530098671e-07	0.12011399769673992
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte	9.034641770120571e-08	7.749623951926374e-08	0.12184426233582185
tabula_muris.ESmuQ1.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	1.5488831950143503e-07	1.4347103691278097e-07	0.14016484705957466
tabula_muris.ESmuQ1.continuous.190730__Trachea.endothelial_cell	6.219423304835565e-08	6.118515090714955e-08	0.15469751289633216
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_stellate_cell	9.899867491236157e-08	9.816944611151423e-08	0.15661998044303932
tabula_muris.ESmuQ1.continuous.190730__Skin.epidermal_cell	8.835177195949362e-08	8.963010193790523e-08	0.16213091827852427
tabula_muris.ESmuQ1.continuous.190730__Heart.professional_antigen_presenting_cell	1.5819867235582285e-07	1.6201172538473233e-07	0.16441720573235885
