Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Liver.hepatocyte	1.7780680975611134e-07	6.660287670536361e-08	0.0037964427902834647
tabula_muris.ESmuQ1.continuous.190730__Liver.Kupffer_cell	3.4365133432816153e-07	1.8488720505644414e-07	0.03153426669171405
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.large_intestine_goblet_cell	1.237553855399755e-07	6.770612041577563e-08	0.033787415511637255
tabula_muris.ESmuQ1.continuous.190730__Lung.leukocyte	1.0671154580008519e-07	6.5098101215529e-08	0.05058142831412067
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	7.806784871429882e-08	4.8047834584897023e-08	0.05210319588514565
tabula_muris.ESmuQ1.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	1.1780234325510455e-07	7.973383744519245e-08	0.06977822279603106
tabula_muris.ESmuQ1.continuous.190730__Fat.myeloid_cell	1.1932734203383734e-07	8.151506607903596e-08	0.07161493322541186
tabula_muris.ESmuQ1.continuous.190730__Heart.leukocyte	1.4522507161180655e-07	1.004200313828047e-07	0.07406387661574312
tabula_muris.ESmuQ1.continuous.190730__Heart.unknown_cell_type	1.258340008146926e-07	8.729991259223787e-08	0.07473600585120073
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_acinar_cell	9.35381554893322e-08	6.597507022249427e-08	0.07812745730122077
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	9.039962684862654e-08	6.595994348475634e-08	0.08526183330024628
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.macrophage	1.6355419472743901e-07	1.19955311658046e-07	0.08636888911516172
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	5.934773454776349e-08	4.5553430471113296e-08	0.09631880670479959
tabula_muris.ESmuQ1.continuous.190730__Lung.monocyte	2.9305969814333213e-07	2.2860377516227384e-07	0.09992925800341629
tabula_muris.ESmuQ1.continuous.190730__Liver.natural_killer_cell	1.2359322157227306e-07	9.860551798473455e-08	0.10502812080120505
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.basal_cell	8.283370611784291e-08	6.858285965392522e-08	0.11356398504158399
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	1.6891803523158905e-07	1.4109121807444977e-07	0.1156092936406064
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.macrophage	1.6564807586722424e-07	1.5164405511713282e-07	0.13734009136599584
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	3.5191664647550503e-07	3.224693010522165e-07	0.1375664260566229
tabula_muris.ESmuQ1.continuous.190730__Marrow.monocyte	1.374881221078292e-07	1.3190792553330651e-07	0.14863544300584974
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	7.097754946399498e-08	7.630468838024826e-08	0.17613740616718904
