Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Liver.hepatocyte	2.563276409505823e-07	1.0003582104095884e-07	0.005198196412056812
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.large_intestine_goblet_cell	1.4775717950038432e-07	6.900793468515058e-08	0.01613048109524525
tabula_muris.ESmuQ1.continuous.190730__Liver.Kupffer_cell	4.045801298451149e-07	2.2896625639230383e-07	0.038615300982264227
tabula_muris.ESmuQ1.continuous.190730__Lung.leukocyte	1.308034443285962e-07	7.642193377729072e-08	0.043485611403391744
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	1.1363398861706163e-07	7.052469432616427e-08	0.05356096164246947
tabula_muris.ESmuQ1.continuous.190730__Fat.myeloid_cell	1.4981406861040604e-07	9.825323433622781e-08	0.0636576223657993
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	8.594247018298383e-08	6.147803289981817e-08	0.08106586307261116
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.basal_cell	1.7688853691191485e-07	1.2683342675580725e-07	0.08156034996714251
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_acinar_cell	8.410558670960174e-08	6.06519304647682e-08	0.0827677500689773
tabula_muris.ESmuQ1.continuous.190730__Heart.leukocyte	1.6236431045349093e-07	1.215896673178963e-07	0.09088151836843977
tabula_muris.ESmuQ1.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	1.0687541141252286e-07	8.182726901636213e-08	0.09575758245503108
tabula_muris.ESmuQ1.continuous.190730__Lung.monocyte	2.495997630272413e-07	1.9722828734821933e-07	0.10283938510579532
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.macrophage	1.568058583889145e-07	1.2662398159081998e-07	0.10779161799681325
tabula_muris.ESmuQ1.continuous.190730__Marrow.precursor_B_cell	9.701846183015303e-08	8.30417426774369e-08	0.12134096031424313
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	1.492446749007825e-07	1.3309623009933333e-07	0.13107390321012247
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	3.1388866335447443e-07	2.813865442300093e-07	0.13231660751508917
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.macrophage	1.942960987288813e-07	1.829909564329515e-07	0.14416783404912092
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	4.81039045348477e-08	4.65634780045913e-08	0.15078269498975905
tabula_muris.ESmuQ1.continuous.190730__Liver.natural_killer_cell	1.3510587691870537e-07	1.385308581266191e-07	0.16471158627624527
tabula_muris.ESmuQ1.continuous.190730__Heart.unknown_cell_type	5.9551783260768724e-08	6.594290294153142e-08	0.18324145142963544
tabula_muris.ESmuQ1.continuous.190730__Liver.B_cell	1.8027448262866938e-07	2.023774647091327e-07	0.1865226957650804
tabula_muris.ESmuQ1.continuous.190730__Marrow.monocyte	1.0320234823755094e-07	1.2506579559329098e-07	0.2046334435787205
tabula_muris.ESmuQ1.continuous.190730__Tongue.keratinocyte	5.0504073874276134e-08	6.403828900972489e-08	0.21515703388674
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	5.586937218802833e-08	7.163165769879432e-08	0.2177090817042276
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	5.31310072640352e-08	7.168482687182104e-08	0.22929364564031068
tabula_muris.ESmuQ1.continuous.190730__Lung.classical_monocyte	2.0062668626452022e-07	2.774235084391927e-07	0.23478514669721773
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	4.894388037052526e-08	7.31039730350185e-08	0.25158493015488725
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.endothelial_cell	5.1276702432918256e-08	8.05958204224658e-08	0.2623164000716508
tabula_muris.ESmuQ1.continuous.190730__Marrow.basophil	3.37005170975149e-08	5.550139232176524e-08	0.2718586676345245
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	5.0461222406549255e-08	8.594469637806105e-08	0.278556196746678
tabula_muris.ESmuQ1.continuous.190730__Lung.unknown_cell_type	4.519295206202232e-08	7.710166848865178e-08	0.27888819120608566
tabula_muris.ESmuQ1.continuous.190730__Kidney.macrophage	5.3774859235536756e-08	9.797238627117892e-08	0.2915446872214114
tabula_muris.ESmuQ1.continuous.190730__Kidney.leukocyte	4.232856658730221e-08	8.082774667932695e-08	0.30024758551222147
tabula_muris.ESmuQ1.continuous.190730__Marrow.pre-natural_killer_cell	5.693046305546361e-08	1.090567058926486e-07	0.3008260274613148
tabula_muris.ESmuQ1.continuous.190730__Heart.cardiac_muscle_cell	3.331691669671115e-08	6.458464989618528e-08	0.3029745867474374
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	2.383425647005121e-08	4.990947593095858e-08	0.3164853608604863
tabula_muris.ESmuQ1.continuous.190730__Bladder.bladder_urothelial_cell	1.895131454364801e-08	4.1423576311513775e-08	0.3236556049713339
tabula_muris.ESmuQ1.continuous.190730__Skin.epidermal_cell	3.259649850845396e-08	7.224584125617658e-08	0.32592681992321665
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte	2.2438706208874115e-08	5.290222336927023e-08	0.3357266387736578
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	2.3292694013825345e-08	5.792811460946065e-08	0.3438064923201515
tabula_muris.ESmuQ1.continuous.190730__Pancreas.leukocyte	5.365610883749943e-08	1.3648463207809655e-07	0.34711198961307965
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_ductal_cell	2.736168095261264e-08	7.101860284285628e-08	0.35001689957524595
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_NK_T_cell	2.529805957578913e-08	7.023126373856587e-08	0.35934475005910627
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.luminal_epithelial_cell_of_mammary_gland	1.7753786132460146e-08	5.274130769225594e-08	0.3682016377043951
