Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Liver.Kupffer_cell	4.0916615315498143e-07	1.8830684059130552e-07	0.014895077780130286
tabula_muris.ESmuQ1.continuous.190730__Liver.hepatocyte	2.147812356228859e-07	1.0682743639311011e-07	0.02218683479794658
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	6.56048201786909e-08	4.06854193249969e-08	0.05342770820760503
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	6.607665123332e-08	4.493584578343618e-08	0.07071774009836616
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_stellate_cell	9.140337357449241e-08	6.320541400681733e-08	0.0740700869231388
tabula_muris.ESmuQ1.continuous.190730__Liver.natural_killer_cell	2.0536124652983039e-07	1.4205884862747006e-07	0.07414375030251519
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	6.852439728651794e-08	5.2592951858312264e-08	0.09630107504498803
tabula_muris.ESmuQ1.continuous.190730__Heart.leukocyte	8.584997187694045e-08	6.628218590532047e-08	0.097622280211411
tabula_muris.ESmuQ1.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	9.003797023782327e-08	7.002145892646752e-08	0.09924552155963151
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_ductal_cell	7.90781155368616e-08	6.511701555935498e-08	0.11229747300881443
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enteroendocrine_cell	5.600921536784356e-08	4.6530165430063095e-08	0.11434922281086579
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.brain_pericyte	6.294135704989514e-08	5.361524151160589e-08	0.12020848200598128
tabula_muris.ESmuQ1.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	1.0879361763236224e-07	9.308962432524017e-08	0.12126275091236544
tabula_muris.ESmuQ1.continuous.190730__Fat.myeloid_cell	7.041995458128597e-08	6.215169368406448e-08	0.12860008073073098
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.macrophage	1.2035218859332933e-07	1.067947101698322e-07	0.1298820286137916
tabula_muris.ESmuQ1.continuous.190730__Heart.fibroblast	4.921057108145081e-08	4.406440092679983e-08	0.13204260254791705
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	7.237792239430927e-08	6.61381274874001e-08	0.13690187036204227
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	3.042935913368999e-08	2.8372449763252295e-08	0.14174849459026495
tabula_muris.ESmuQ1.continuous.190730__Marrow.pre-natural_killer_cell	1.2067748474719275e-07	1.1264509996464603e-07	0.14201570541793895
tabula_muris.ESmuQ1.continuous.190730__Liver.B_cell	2.5888443101465915e-07	2.42887055207107e-07	0.14324269005998136
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.basal_cell	1.6373669590163352e-07	1.5845117618360217e-07	0.15071833658366085
tabula_muris.ESmuQ1.continuous.190730__Heart.endothelial_cell	1.0533296303882896e-07	1.0196751828917222e-07	0.15080076376555868
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	7.782991909880283e-08	7.626071116718875e-08	0.15372747260488656
tabula_muris.ESmuQ1.continuous.190730__Skin.keratinocyte_stem_cell	3.6055329380791394e-08	3.7905862544298724e-08	0.17075629681296783
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.endothelial_cell	7.878309529401505e-08	8.36148659765812e-08	0.1730415500519527
tabula_muris.ESmuQ1.continuous.190730__Heart.cardiac_muscle_cell	1.2959069618068533e-07	1.418669074028584e-07	0.1804985689570074
tabula_muris.ESmuQ1.continuous.190730__Trachea.mesenchymal_cell	6.458282567013706e-08	7.272361523531502e-08	0.18725463845250861
tabula_muris.ESmuQ1.continuous.190730__Lung.lung_endothelial_cell	6.352409330503266e-08	7.256662219143818e-08	0.19068087735937495
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	3.793105306783319e-08	4.366459782527447e-08	0.19250802056739813
tabula_muris.ESmuQ1.continuous.190730__Fat.endothelial_cell	5.772693519460095e-08	7.104203492209057e-08	0.20823107196867197
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	2.862859640081188e-08	3.5791023908065135e-08	0.21188957882033277
tabula_muris.ESmuQ1.continuous.190730__Lung.monocyte	1.2761627612793804e-07	1.699703440858861e-07	0.2263820141424276
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	1.4006642744645804e-08	2.0021918353470425e-08	0.24209935622425777
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	4.1309740399297e-08	5.913629944735558e-08	0.2424162356270692
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.macrophage	7.180526520108322e-08	1.0326080140248068e-07	0.24340929588814403
tabula_muris.ESmuQ1.continuous.190730__Heart.endocardial_cell	8.187071600470938e-08	1.1889529914030242e-07	0.24553906438053014
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.endothelial_cell	5.2070104236212775e-08	7.815684253560465e-08	0.2526333951108649
tabula_muris.ESmuQ1.continuous.190730__Fat.unknown_cell_type	6.426135785177809e-08	9.769447146883118e-08	0.25534012087043667
tabula_muris.ESmuQ1.continuous.190730__Heart.smooth_muscle_cell	2.1593254572590287e-08	3.369112854785008e-08	0.26078794313407394
tabula_muris.ESmuQ1.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	3.361236529681088e-08	5.265100023823432e-08	0.2616068710002897
tabula_muris.ESmuQ1.continuous.190730__Kidney.macrophage	6.6166589666837e-08	1.060179710277491e-07	0.26627855999193684
tabula_muris.ESmuQ1.continuous.190730__Fat.natural_killer_cell	4.069381282832481e-08	6.890794006822994e-08	0.2774098746409469
tabula_muris.ESmuQ1.continuous.190730__Bladder.bladder_cell	2.2258142832148675e-08	4.109041442503285e-08	0.2940170774835923
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte	2.5134857572583536e-08	5.0840613938276644e-08	0.3105170093201216
tabula_muris.ESmuQ1.continuous.190730__Pancreas.leukocyte	3.9844340779703865e-08	8.101934283669974e-08	0.3114346093856014
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.large_intestine_goblet_cell	2.701633449925514e-08	5.7491989643339916e-08	0.3192079593781097
tabula_muris.ESmuQ1.continuous.190730__Heart.unknown_cell_type	2.6853026630033655e-08	5.8460973715591054e-08	0.32299769755888813
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.astrocyte	1.139721711590604e-08	2.514128562121932e-08	0.32515673939554357
tabula_muris.ESmuQ1.continuous.190730__Trachea.endothelial_cell	2.999174989626106e-08	6.979837389110127e-08	0.3337101279004705
tabula_muris.ESmuQ1.continuous.190730__Marrow.monocyte	2.7270746547373332e-08	6.534993354881267e-08	0.3382282672566649
tabula_muris.ESmuQ1.continuous.190730__Lung.classical_monocyte	5.4706878981247034e-08	1.3884039982260294e-07	0.34678051873673976
tabula_muris.ESmuQ1.continuous.190730__Marrow.mature_natural_killer_cell	3.781525208099101e-08	9.719078078523223e-08	0.34860748271347874
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_acinar_cell	2.017495917345616e-08	5.4728777429149387e-08	0.3561997908823524
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	7.918690937935688e-09	2.4484507524540967e-08	0.3731899607600683
tabula_muris.ESmuQ1.continuous.190730__Heart.professional_antigen_presenting_cell	1.2929433739206133e-08	4.7511300366370215e-08	0.39275954613491915
tabula_muris.ESmuQ1.continuous.190730__Kidney.leukocyte	1.0811923666731605e-08	5.476361744482064e-08	0.4217459370461206
tabula_muris.ESmuQ1.continuous.190730__Marrow.precursor_B_cell	1.2468354133636395e-08	6.345931979828642e-08	0.42211806288792164
