Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Lung.B_cell	1.1528421230379158e-06	3.6233861100791064e-07	0.0007321411551568901
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.T_cell	6.880241050302757e-07	2.172820992310152e-07	0.0007714226066872864
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.lymphocyte	1.4985755534249034e-06	4.899393033873953e-07	0.0011115117803103857
tabula_muris.ESmuQ1.continuous.190730__Spleen.B_cell	1.0886409501144072e-06	3.5829937242229936e-07	0.0011893648785914859
tabula_muris.ESmuQ1.continuous.190730__Kidney.macrophage	1.4629249111865618e-06	4.85390533542932e-07	0.0012895081231520755
tabula_muris.ESmuQ1.continuous.190730__Lung.T_cell	6.343344636931227e-07	2.1706003876751042e-07	0.001736771781060658
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	9.314128361520336e-07	3.1922943570993383e-07	0.0017631683081714218
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_B_cell	7.276309414051196e-07	2.5423379058399926e-07	0.0021045232172658837
tabula_muris.ESmuQ1.continuous.190730__Kidney.leukocyte	8.753088951075831e-07	3.25533211386858e-07	0.003584967087614282
tabula_muris.ESmuQ1.continuous.190730__Thymus.DN1_thymic_pro-T_cell	8.854306865763686e-07	3.5983637940373107e-07	0.006934316879153261
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.B_cell	9.755913272966492e-07	4.188621881620111e-07	0.009925657570709212
tabula_muris.ESmuQ1.continuous.190730__Marrow.naive_B_cell	7.813824931274887e-07	3.482207982731741e-07	0.012418508474432837
tabula_muris.ESmuQ1.continuous.190730__Fat.unknown_cell_type	4.0006997373470147e-07	1.8367457587035018e-07	0.014697598401414977
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	3.6372462580105576e-07	1.6848716558655153e-07	0.015434102557081776
