Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	1.1846008702319044e-08	3.144999174238657e-09	8.273713537663463e-05
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	1.1788014860816073e-08	3.868569508297678e-09	0.0011552080470303993
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.astrocyte	1.1191626229487085e-08	3.795411562678003e-09	0.0015954371328703292
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	1.1533657964885658e-08	4.198672543175112e-09	0.0030073653035124497
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	1.472293908478837e-08	5.830124109166199e-09	0.005779620610505615
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.B_cell	1.3977419336282287e-08	8.221664027092818e-09	0.0445587084481731
tabula_muris.ESmuQ1.continuous.190730__Marrow.macrophage	1.0861847690411674e-08	6.721077276150997e-09	0.053037718832465996
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	1.2163742303862945e-08	8.697078743339907e-09	0.08096634563914673
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	6.81306657995534e-09	5.156983590109619e-09	0.0932283368793097
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_D_cell	5.906650882457079e-09	4.559684514044885e-09	0.09758979445155314
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	7.262734865169449e-09	5.640144924810931e-09	0.09892766892486288
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_ductal_cell	7.200422552925492e-09	5.75076682419714e-09	0.10527028039316133
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	5.798610384434508e-09	4.864839935743603e-09	0.11664185941724886
tabula_muris.ESmuQ1.continuous.190730__Marrow.naive_B_cell	1.0591913027042899e-08	9.15124600286817e-09	0.12354866576464124
tabula_muris.ESmuQ1.continuous.190730__Spleen.B_cell	1.1155936033506943e-08	9.770070197097501e-09	0.1267585836401388
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	3.800942762732069e-09	3.8499417705533126e-09	0.16175446245181313
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.basal_cell	4.424482606438819e-09	5.463265455236825e-09	0.20901019318352881
tabula_muris.ESmuQ1.continuous.190730__Lung.B_cell	7.748422963122126e-09	9.605295312957772e-09	0.2099247346813381
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte	4.052226676295928e-09	5.138079707967354e-09	0.21515374158681688
tabula_muris.ESmuQ1.continuous.190730__Lung.unknown_cell_type	4.9200441721009735e-09	6.351681509395372e-09	0.2192865548296578
tabula_muris.ESmuQ1.continuous.190730__Heart.professional_antigen_presenting_cell	3.1620569224059533e-09	4.1759269392248545e-09	0.2244617944543822
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	3.1237502598769544e-09	4.6014548749966424e-09	0.24861283153065067
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enteroendocrine_cell	4.8444890686721885e-09	7.160694878494985e-09	0.24934925928882357
tabula_muris.ESmuQ1.continuous.190730__Heart.endothelial_cell	3.6961486610971928e-09	5.714843552820207e-09	0.2588927107527845
tabula_muris.ESmuQ1.continuous.190730__Lung.myeloid_cell	4.886900201434586e-09	7.660039411097236e-09	0.2617455482174822
tabula_muris.ESmuQ1.continuous.190730__Liver.B_cell	4.788376285309932e-09	7.58864758724894e-09	0.26402286183120194
tabula_muris.ESmuQ1.continuous.190730__Trachea.blood_cell	6.045718858869224e-09	1.0254339487138989e-08	0.27773726361160733
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.T_cell	5.126032616562123e-09	8.89639025387598e-09	0.28224256455628083
tabula_muris.ESmuQ1.continuous.190730__Lung.T_cell	3.8361659860012324e-09	7.154419113800051e-09	0.2959117867170312
