Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Lung.T_cell	7.073419288625271e-07	1.4682883441409604e-07	7.269888063091297e-07
tabula_muris.ESmuQ1.continuous.190730__Spleen.T_cell	4.196287833459193e-07	9.576313237003399e-08	5.881224100346104e-06
tabula_muris.ESmuQ1.continuous.190730__Fat.T_cell	5.329062308129653e-07	1.2549708996585336e-07	1.0863414214977184e-05
tabula_muris.ESmuQ1.continuous.190730__Spleen.B_cell	5.953155115194367e-07	1.5640126434029382e-07	7.052082912913236e-05
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_NK_T_cell	5.672369648010803e-07	1.5059850748472238e-07	8.275912962686458e-05
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	3.16799254795173e-07	8.918194595071969e-08	0.00019095401880411274
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	5.644548573986799e-07	1.5988166369287822e-07	0.00020742358120026978
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	3.2504094418682353e-07	9.284229248359201e-08	0.00023175718940251624
tabula_muris.ESmuQ1.continuous.190730__Marrow.pre-natural_killer_cell	4.256892092634218e-07	1.2555364447284653e-07	0.0003488305533011875
tabula_muris.ESmuQ1.continuous.190730__Marrow.B_cell	5.287287448978134e-07	1.5782177805168654e-07	0.0004038195072792171
tabula_muris.ESmuQ1.continuous.190730__Thymus.immature_T_cell	3.228279629193571e-07	9.736922302682035e-08	0.0004573915965387848
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_B_cell	4.4606622260030885e-07	1.3543585664605694e-07	0.0004946347930682741
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.T_cell	5.552031878897886e-07	1.7063546482868945e-07	0.0005694852841455773
tabula_muris.ESmuQ1.continuous.190730__Marrow.precursor_B_cell	3.513718374868093e-07	1.0816459196034239e-07	0.0005800918692718363
tabula_muris.ESmuQ1.continuous.190730__Lung.B_cell	5.634890198865742e-07	1.7346513795285285e-07	0.0005802227637899974
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_T_cell	6.473058905790911e-07	1.997329301252368e-07	0.0005958544722961589
tabula_muris.ESmuQ1.continuous.190730__Liver.natural_killer_cell	5.031175795185784e-07	1.6070390995900975e-07	0.0008719168895406732
tabula_muris.ESmuQ1.continuous.190730__Marrow.mature_natural_killer_cell	5.039336354358446e-07	1.6407704628616942e-07	0.0010655617342354882
tabula_muris.ESmuQ1.continuous.190730__Trachea.blood_cell	4.3570540399877623e-07	1.454029974871556e-07	0.0013653272737612098
tabula_muris.ESmuQ1.continuous.190730__Thymus.DN1_thymic_pro-T_cell	3.3685862282637026e-07	1.1821032303667673e-07	0.0021883346139330686
tabula_muris.ESmuQ1.continuous.190730__Marrow.naive_B_cell	3.6078889577625276e-07	1.314220616122457e-07	0.003023066909453899
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.lymphocyte	6.293854075561083e-07	2.2965494932253937e-07	0.003066638105708124
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.B_cell	4.6838592676761553e-07	1.7522876351353794e-07	0.003758848211231267
tabula_muris.ESmuQ1.continuous.190730__Fat.myeloid_cell	2.495912430259914e-07	9.458293502713284e-08	0.004159250853441092
tabula_muris.ESmuQ1.continuous.190730__Marrow.regulatory_T_cell	8.182045860741463e-07	3.112507087714335e-07	0.004284793405097896
tabula_muris.ESmuQ1.continuous.190730__Marrow.late_pro-B_cell	2.3575076622232572e-07	9.012541943207857e-08	0.004450833748218881
tabula_muris.ESmuQ1.continuous.190730__Fat.natural_killer_cell	3.885898711786192e-07	1.5231966446872254e-07	0.005368449815229704
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	2.7340380945548683e-07	1.0742359116377318e-07	0.005462318355271531
