Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.lymphocyte	5.660914889978581e-07	1.1864795875652484e-07	9.157212336885623e-07
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_B_cell	2.2265114418156243e-07	5.5739417738586926e-08	3.2415362499355004e-05
tabula_muris.ESmuQ1.continuous.190730__Spleen.B_cell	3.4431383389979217e-07	9.158622160658922e-08	8.514360381554571e-05
tabula_muris.ESmuQ1.continuous.190730__Trachea.blood_cell	1.8560391769981612e-07	4.954295180011562e-08	8.972262727673418e-05
tabula_muris.ESmuQ1.continuous.190730__Spleen.T_cell	2.6264675911377784e-07	7.143036346321933e-08	0.00011801391739972621
tabula_muris.ESmuQ1.continuous.190730__Marrow.precursor_B_cell	1.97236019649351e-07	5.46624293635789e-08	0.0001541313276616991
tabula_muris.ESmuQ1.continuous.190730__Lung.B_cell	2.7250820483282063e-07	7.561540132763038e-08	0.00015675593004134042
tabula_muris.ESmuQ1.continuous.190730__Liver.natural_killer_cell	3.78026409260244e-07	1.051271384735794e-07	0.00016163757029377296
tabula_muris.ESmuQ1.continuous.190730__Fat.T_cell	3.6131935458777405e-07	1.0272020981424187e-07	0.00021780805330815905
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	3.684001446706404e-07	1.0753818877256557e-07	0.0003065396730767111
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_NK_T_cell	2.7626819962616943e-07	8.661964293949991e-08	0.0007127423352280168
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.B_cell	3.536897247818725e-07	1.1357377589415972e-07	0.0009222696535497363
tabula_muris.ESmuQ1.continuous.190730__Marrow.naive_B_cell	2.450516419166926e-07	8.340315519644717e-08	0.0016508439251744164
tabula_muris.ESmuQ1.continuous.190730__Thymus.DN1_thymic_pro-T_cell	2.8249881049697685e-07	9.994512198565927e-08	0.002352698830299449
tabula_muris.ESmuQ1.continuous.190730__Lung.natural_killer_cell	2.3521322287554293e-07	8.439393889107036e-08	0.0026592125578020166
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_T_cell	3.2273760058723324e-07	1.1910527482005044e-07	0.003367371763057414
tabula_muris.ESmuQ1.continuous.190730__Spleen.macrophage	2.121092599369005e-07	8.088776761228845e-08	0.004367358652070946
tabula_muris.ESmuQ1.continuous.190730__Fat.natural_killer_cell	2.3809489880809579e-07	9.156942183740508e-08	0.0046590521322294985
tabula_muris.ESmuQ1.continuous.190730__Marrow.mature_natural_killer_cell	2.0983549163343552e-07	8.167693403021389e-08	0.0050982810790536496
tabula_muris.ESmuQ1.continuous.190730__Marrow.B_cell	2.8690120801373485e-07	1.1278806961711449e-07	0.005483956637838889
tabula_muris.ESmuQ1.continuous.190730__Thymus.leukocyte	1.680754347556362e-07	6.705001051771758e-08	0.006092903027584644
tabula_muris.ESmuQ1.continuous.190730__Thymus.immature_T_cell	2.3965250253301235e-07	9.567951846495758e-08	0.006127038250660339
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_natural_killer_cell	2.1314242955405768e-07	8.521166770761006e-08	0.006186406011530844
tabula_muris.ESmuQ1.continuous.190730__Lung.T_cell	3.923323672843527e-07	1.570816856437877e-07	0.00625128164345926
tabula_muris.ESmuQ1.continuous.190730__Kidney.leukocyte	2.2510008642471446e-07	9.045558671193559e-08	0.006413890877815244
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	8.951447505547777e-08	3.8553254986623126e-08	0.010120786399837689
tabula_muris.ESmuQ1.continuous.190730__Marrow.late_pro-B_cell	9.886850624507493e-08	4.6236454224684784e-08	0.016245239834326394
tabula_muris.ESmuQ1.continuous.190730__Marrow.regulatory_T_cell	6.231540330291923e-07	3.0204209022139703e-07	0.019549834965470816
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.T_cell	4.259029435178201e-07	2.1875254691378914e-07	0.02576963233968954
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	3.6883018326756604e-08	2.080965384690704e-08	0.03816413933397191
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	6.883982303277517e-08	3.894111771059225e-08	0.03854778413857936
