Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	1.0027556048264961e-08	2.7118281553009828e-09	0.00010877630250186804
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	6.20871232849639e-09	4.059675879135112e-09	0.06308741534348378
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.astrocyte	9.37483573071062e-09	6.219971375788328e-09	0.06587774590094894
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	7.016438664752617e-09	4.708937876625484e-09	0.06810873346136684
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	5.0977396934208545e-09	3.921600235277986e-09	0.09681536972592841
tabula_muris.ESmuQ1.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	7.660556469965946e-09	6.117114581918948e-09	0.10522748942118343
tabula_muris.ESmuQ1.continuous.190730__Thymus.leukocyte	8.133276989904821e-09	6.499380787839934e-09	0.10539563880431502
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	7.72588369971072e-09	6.210162156460379e-09	0.10673668528948632
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.B_cell	9.426322302581518e-09	7.664063126282409e-09	0.10936016563805506
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	7.46612670850928e-09	6.375167923360769e-09	0.12077401048740971
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	7.2740585295079254e-09	6.463786587454189e-09	0.13021918572251945
tabula_muris.ESmuQ1.continuous.190730__Heart.unknown_cell_type	1.3036760836519845e-08	1.1769593088702799e-08	0.13400336092972132
tabula_muris.ESmuQ1.continuous.190730__Marrow.macrophage	6.889496497406358e-09	6.553674571799085e-09	0.14657378030239215
tabula_muris.ESmuQ1.continuous.190730__Heart.endothelial_cell	4.93387244060731e-09	4.88188304396452e-09	0.15609211824860714
tabula_muris.ESmuQ1.continuous.190730__Marrow.regulatory_T_cell	1.196987151785985e-08	1.2057980953174255e-08	0.16042982938660566
tabula_muris.ESmuQ1.continuous.190730__Marrow.B_cell	1.1500964115364961e-08	1.1664238140575622e-08	0.16206602405797316
tabula_muris.ESmuQ1.continuous.190730__Marrow.precursor_B_cell	5.163694393435026e-09	5.296111738287559e-09	0.16478081142804546
tabula_muris.ESmuQ1.continuous.190730__Marrow.naive_B_cell	5.419411145262668e-09	6.42574510928488e-09	0.19950509537421196
