Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Thymus.DN1_thymic_pro-T_cell	5.504383173921858e-07	1.5681143630973727e-07	0.00022389125154128673
tabula_muris.ESmuQ1.continuous.190730__Liver.natural_killer_cell	6.47025429699236e-07	2.3684602376104804e-07	0.003149086416983417
tabula_muris.ESmuQ1.continuous.190730__Pancreas.leukocyte	3.046551458667086e-07	1.2001526877974264e-07	0.005566919190477348
tabula_muris.ESmuQ1.continuous.190730__Fat.T_cell	5.427503258379344e-07	2.171057755776401e-07	0.006210804857266285
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.macrophage	2.93153553522094e-07	1.1837730369003828e-07	0.006635111991509409
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enteroendocrine_cell	1.7180445282401395e-07	6.967934388441762e-08	0.006838360360865749
tabula_muris.ESmuQ1.continuous.190730__Fat.natural_killer_cell	4.2473049395429305e-07	1.7564380392137796e-07	0.007800136081068105
tabula_muris.ESmuQ1.continuous.190730__Marrow.B_cell	5.231894339567531e-07	2.168409829136909e-07	0.007915701405732592
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_T_cell	5.546331833893082e-07	2.3597183958584143e-07	0.009376092183227026
tabula_muris.ESmuQ1.continuous.190730__Lung.natural_killer_cell	3.354300324497125e-07	1.4476394516992902e-07	0.010249613700221092
tabula_muris.ESmuQ1.continuous.190730__Kidney.macrophage	3.12625941265189e-07	1.4204430754608182e-07	0.013871396244437128
tabula_muris.ESmuQ1.continuous.190730__Lung.T_cell	6.965998912234106e-07	3.1912755541092146e-07	0.014524317032527913
tabula_muris.ESmuQ1.continuous.190730__Marrow.mature_natural_killer_cell	3.0633148058710605e-07	1.4184485398893315e-07	0.015400913689715235
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	2.462305907483117e-07	1.1435409767124017e-07	0.015650332021476837
tabula_muris.ESmuQ1.continuous.190730__Lung.B_cell	2.8947243927940003e-07	1.3520292435819865e-07	0.016136130863205003
tabula_muris.ESmuQ1.continuous.190730__Spleen.T_cell	2.970151403472008e-07	1.4145785245491491e-07	0.017878837102413638
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.macrophage	1.7226844107951538e-07	8.369781794746246e-08	0.019784556663812923
