Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	6.18320100417655e-08	1.8738223754005784e-08	0.0004838037913395725
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	9.68906170277148e-08	3.0543796032088116e-08	0.0007564790930169226
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_D_cell	5.819536922392925e-08	1.8775942208484676e-08	0.0009693535430927744
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_acinar_cell	7.199681479554611e-08	2.4754607489972058e-08	0.0018162960035566582
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	5.4375660269731786e-08	1.967714220129494e-08	0.0028601996811035363
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	4.725989504136023e-08	2.225688358262953e-08	0.016860872482796083
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_ductal_cell	7.034982786211331e-08	3.4267613524382625e-08	0.020038528568842983
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	6.227274718026169e-08	3.052408811904162e-08	0.020669278069499943
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	5.984472874598371e-08	3.009828709624534e-08	0.023388701269822506
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	3.473520997722933e-08	1.807005635861384e-08	0.02728700044521873
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	5.3838131430296933e-08	3.210789862225853e-08	0.046791995972108355
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	4.072847705482578e-08	2.6981964929863103e-08	0.06558930865247586
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enteroendocrine_cell	3.840868487597109e-08	2.6070709458229745e-08	0.07034175580590332
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	2.2747582171089265e-08	1.7986880492016497e-08	0.10299368756059363
tabula_muris.ESmuQ1.continuous.190730__Marrow.late_pro-B_cell	3.8434833414487555e-08	3.142640786774858e-08	0.11066282548655426
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.brain_pericyte	2.8231318445723625e-08	3.481962883831346e-08	0.20874386835768066
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	1.7728703279851693e-08	2.298778905730259e-08	0.22028748955495836
tabula_muris.ESmuQ1.continuous.190730__Heart.cardiac_muscle_cell	1.1754619173183236e-08	1.578439116259827e-08	0.22822687377796802
tabula_muris.ESmuQ1.continuous.190730__Heart.smooth_muscle_cell	2.4670029898625245e-08	3.4147076704266436e-08	0.23500465902940865
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	1.3817842703237497e-08	2.1068690616041575e-08	0.2559612071897529
tabula_muris.ESmuQ1.continuous.190730__Lung.lung_endothelial_cell	1.4826561133289045e-08	2.4508932673830703e-08	0.2726077050400124
tabula_muris.ESmuQ1.continuous.190730__Lung.unknown_cell_type	1.524153989307349e-08	2.6221127021128735e-08	0.28052943589843626
tabula_muris.ESmuQ1.continuous.190730__Marrow.pre-natural_killer_cell	2.117019248747315e-08	3.7659864748496106e-08	0.2870096300713087
tabula_muris.ESmuQ1.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	1.4059674689159155e-08	2.5811431807604232e-08	0.2929774301918999
