Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	6.783350782270989e-08	2.4401741245883982e-08	0.002719088289398311
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_acinar_cell	6.685256264818436e-08	2.593099208552534e-08	0.004967333161116758
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	9.645615768236596e-08	3.949282798976342e-08	0.007295561440313242
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	5.7416858308730484e-08	2.4005433861393863e-08	0.008382358439756538
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	8.815774854647682e-08	3.784670093798851e-08	0.009920590469693066
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_D_cell	5.35872218722325e-08	2.3394790547193473e-08	0.010994374911128927
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	8.465551462392575e-08	3.716646836494099e-08	0.011371066206677122
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	6.243023470624162e-08	2.7525024828633007e-08	0.011660752708097744
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_ductal_cell	8.381001089118416e-08	3.9776296893822134e-08	0.017557315228638123
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	8.009933192120802e-08	3.8253247067561804e-08	0.01813344556770518
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	6.163321073147954e-08	3.336893241537966e-08	0.03237184901924132
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	3.59710289529264e-08	2.0665993771832418e-08	0.04087770679327485
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	4.44529580341837e-08	2.7657674276186257e-08	0.05399913043461149
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enteroendocrine_cell	3.957559128533696e-08	3.224056908636225e-08	0.10981565566122364
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.brain_pericyte	5.894672118004218e-08	4.892161959582106e-08	0.11411676477230498
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	2.8107384882290252e-08	2.4311298722805637e-08	0.12381093936937432
tabula_muris.ESmuQ1.continuous.190730__Marrow.late_pro-B_cell	3.855154336411236e-08	3.456893516802161e-08	0.1323807093522178
tabula_muris.ESmuQ1.continuous.190730__Heart.cardiac_muscle_cell	2.2937889445883653e-08	2.0856756250044696e-08	0.13571351303382906
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.endothelial_cell	3.972588070303114e-08	4.3290861289006615e-08	0.17940093398399926
tabula_muris.ESmuQ1.continuous.190730__Liver.hepatocyte	1.328686318007858e-08	1.4650519007566984e-08	0.18222429061827
tabula_muris.ESmuQ1.continuous.190730__Heart.smooth_muscle_cell	3.496411798050305e-08	4.202398998750275e-08	0.20270340906980522
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_stellate_cell	3.047193328031502e-08	3.674390091325317e-08	0.20346567071075383
tabula_muris.ESmuQ1.continuous.190730__Marrow.pre-natural_killer_cell	3.440086400502823e-08	4.31574693317933e-08	0.21269617407364344
tabula_muris.ESmuQ1.continuous.190730__Pancreas.endothelial_cell	3.6229488585951806e-08	4.648835956378536e-08	0.2178944766060118
tabula_muris.ESmuQ1.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	2.2997695948207202e-08	3.084200819828676e-08	0.2279359819344155
