Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Trachea.blood_cell	5.600826964989258e-07	1.6136359539674645e-07	0.000259323893853825
tabula_muris.ESmuQ1.continuous.190730__Fat.T_cell	4.846727778414543e-07	1.8062088838228127e-07	0.0036442089436495247
tabula_muris.ESmuQ1.continuous.190730__Marrow.regulatory_T_cell	9.650961683835136e-07	3.642760034868275e-07	0.004032287774355231
tabula_muris.ESmuQ1.continuous.190730__Pancreas.leukocyte	3.8444067086585054e-07	1.550145476429751e-07	0.0065685733168523155
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.macrophage	3.923748089817939e-07	1.6844457829768282e-07	0.009918941234733738
tabula_muris.ESmuQ1.continuous.190730__Spleen.macrophage	4.81051298703152e-07	2.0831696345237965e-07	0.010465475105222914
tabula_muris.ESmuQ1.continuous.190730__Marrow.pre-natural_killer_cell	2.664028739520312e-07	1.173341265077711e-07	0.011589731947904202
tabula_muris.ESmuQ1.continuous.190730__Marrow.mature_natural_killer_cell	4.2201713318158543e-07	1.865246038223301e-07	0.011832401386211768
tabula_muris.ESmuQ1.continuous.190730__Kidney.macrophage	4.1460973826494733e-07	1.870991957987525e-07	0.013346131693052293
tabula_muris.ESmuQ1.continuous.190730__Lung.monocyte	3.369827438419292e-07	1.5569401050038673e-07	0.015217169902514026
tabula_muris.ESmuQ1.continuous.190730__Fat.natural_killer_cell	6.071301579327302e-07	2.8196244949053516e-07	0.015650282234357688
tabula_muris.ESmuQ1.continuous.190730__Spleen.B_cell	2.7005895197817454e-07	1.2606141916445011e-07	0.016085448341402023
tabula_muris.ESmuQ1.continuous.190730__Liver.natural_killer_cell	4.721719927116862e-07	2.2277068615893681e-07	0.017022312456621426
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.T_cell	7.612133367600268e-07	3.647156847292427e-07	0.018437661005816546
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.lymphocyte	7.159594841209077e-07	3.442597122599335e-07	0.01877618773545663
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.macrophage	2.1514437357588885e-07	1.0671506532110983e-07	0.021896655596101263
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	2.7304208967488946e-07	1.3919207775016828e-07	0.024903318221765777
tabula_muris.ESmuQ1.continuous.190730__Lung.natural_killer_cell	4.1787594365169225e-07	2.247042537535448e-07	0.03146605649117101
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.B_cell	3.575769923619767e-07	1.922801018824582e-07	0.031466314998365705
tabula_muris.ESmuQ1.continuous.190730__Marrow.naive_B_cell	1.7602948883153345e-07	9.474050339551785e-08	0.0315832829192274
tabula_muris.ESmuQ1.continuous.190730__Lung.leukocyte	2.386639336065225e-07	1.2958541675714764e-07	0.03275586775562457
tabula_muris.ESmuQ1.continuous.190730__Lung.B_cell	1.7848129030684726e-07	1.0022592512898491e-07	0.037473410298472856
tabula_muris.ESmuQ1.continuous.190730__Kidney.leukocyte	4.653166325088909e-07	2.6294383659419815e-07	0.03839334310231449
