Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	4.2245522057390466e-08	1.783676452673282e-08	0.008931347086717566
tabula_muris.ESmuQ1.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	3.810344651101214e-08	1.6924922863432553e-08	0.012182583940361086
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	3.3684341862232304e-08	1.5739000686158686e-08	0.01616998983536746
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	2.6015457555665603e-08	1.2155859424703055e-08	0.016171007498050376
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	1.5417490358585898e-08	7.525517356429695e-09	0.020245970461339385
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	2.634038387158829e-08	1.4335232956737518e-08	0.03307117934657879
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	1.4653652792023087e-08	8.222290889846815e-09	0.03735944182236298
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.stromal_cell	2.2004446458179556e-08	1.3113323776286924e-08	0.04667139716255221
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	9.993405514658133e-09	6.000350470865763e-09	0.04790948184389194
tabula_muris.ESmuQ1.continuous.190730__Trachea.mesenchymal_cell	1.9773340615174966e-08	1.2429137415059188e-08	0.05581761772764276
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	6.732591934346437e-09	4.447354221186099e-09	0.06503294941774611
tabula_muris.ESmuQ1.continuous.190730__Kidney.endothelial_cell	3.685242745330998e-08	2.630511395870607e-08	0.08061293216341209
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_stellate_cell	3.316054123035884e-08	2.4308395725779226e-08	0.08625860640430466
tabula_muris.ESmuQ1.continuous.190730__Marrow.mature_natural_killer_cell	2.496241833334441e-08	1.8774127069033834e-08	0.09182207300767936
tabula_muris.ESmuQ1.continuous.190730__Marrow.pre-natural_killer_cell	1.4697452067792465e-08	1.2501628668860256e-08	0.11986878509384818
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	1.2246336753744266e-08	1.0453415039093587e-08	0.12069583467308875
tabula_muris.ESmuQ1.continuous.190730__Bladder.bladder_cell	1.2079403845051419e-08	1.0621974815635217e-08	0.12772549250828713
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.brain_pericyte	1.470232512930095e-08	1.299459196249183e-08	0.1289394395155648
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	7.1828426942365265e-09	6.5337174363074e-09	0.1358077011182186
tabula_muris.ESmuQ1.continuous.190730__Lung.classical_monocyte	1.9087721059578606e-08	1.806867327103523e-08	0.14539307378238353
tabula_muris.ESmuQ1.continuous.190730__Trachea.endothelial_cell	1.9007315772891492e-08	1.8275688085691293e-08	0.1491623219524863
tabula_muris.ESmuQ1.continuous.190730__Kidney.leukocyte	4.546041530814158e-08	4.4579861810959156e-08	0.153922982332865
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_D_cell	7.300170871909958e-09	7.2930963916716044e-09	0.15842065030563424
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.astrocyte	6.694331145500891e-09	6.856439954684785e-09	0.16444386345052214
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_acinar_cell	1.51301602515795e-08	1.57281289383092e-08	0.1680295892857689
tabula_muris.ESmuQ1.continuous.190730__Lung.unknown_cell_type	1.4675639180361555e-08	1.57771463239976e-08	0.17613807464984615
tabula_muris.ESmuQ1.continuous.190730__Marrow.monocyte	1.0237824091743365e-08	1.1332294806332602e-08	0.183151460378833
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.endothelial_cell	1.5906323298577675e-08	1.9581595931733545e-08	0.20830692933339368
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	7.847173455461495e-09	1.0836020181524646e-08	0.23447919367181835
