Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	5.990454614790756e-08	1.8447113685511972e-08	0.0005823906742520972
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	2.4289194870956326e-08	8.312646264978448e-09	0.001739197846297043
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	4.916923390490533e-08	1.6865671889576078e-08	0.0017764838966075607
tabula_muris.ESmuQ1.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	6.058416464816787e-08	2.1798296370036927e-08	0.0027237480304881344
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.stromal_cell	5.0822256760738705e-08	1.9519667727743387e-08	0.0046119317319711335
tabula_muris.ESmuQ1.continuous.190730__Trachea.mesenchymal_cell	3.961428544992367e-08	1.6101688996919534e-08	0.006941886948040932
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	5.1189346525641284e-08	2.1898733641882084e-08	0.009705347557011534
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	4.705455164859362e-08	2.0640103539854108e-08	0.011310863805884195
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	2.5447931137807418e-08	1.2913638481737149e-08	0.02438342655940975
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_stellate_cell	6.529302607427898e-08	3.370200756410748e-08	0.026350486561950204
tabula_muris.ESmuQ1.continuous.190730__Bladder.bladder_cell	2.7005721204342636e-08	1.4067993832328098e-08	0.027450626869432337
tabula_muris.ESmuQ1.continuous.190730__Marrow.pre-natural_killer_cell	3.0415047914726335e-08	1.866767124235188e-08	0.051625833308740515
tabula_muris.ESmuQ1.continuous.190730__Lung.epithelial_cell_of_lung	2.6134259787598046e-08	1.7683407619094407e-08	0.069717639012829
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	1.8470960056177175e-08	1.2672386329004354e-08	0.07247879104486514
tabula_muris.ESmuQ1.continuous.190730__Lung.stromal_cell	1.758476820000987e-08	1.2093034769289051e-08	0.0729560099747911
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	1.7036101940811502e-08	1.2125064282469427e-08	0.08000589834350208
tabula_muris.ESmuQ1.continuous.190730__Lung.lung_endothelial_cell	2.6024686413045756e-08	1.875024721297002e-08	0.08257385528182237
tabula_muris.ESmuQ1.continuous.190730__Trachea.endothelial_cell	3.396059646027887e-08	2.537902328213938e-08	0.0904259781182985
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.endothelial_cell	4.0796244378595466e-08	3.063988707557722e-08	0.0915163789040227
tabula_muris.ESmuQ1.continuous.190730__Kidney.endothelial_cell	1.4971603662297152e-08	1.2677437729552838e-08	0.11880841698588235
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.brain_pericyte	2.8828483978342735e-08	2.470373412144147e-08	0.12161150919241132
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	1.4302640323686567e-08	1.3464515822767182e-08	0.14406180453490375
tabula_muris.ESmuQ1.continuous.190730__Kidney.leukocyte	5.831356651699815e-08	5.492927807077193e-08	0.144205990719602
tabula_muris.ESmuQ1.continuous.190730__Marrow.mature_natural_killer_cell	2.7123753122709712e-08	2.603727168333088e-08	0.14876891810846232
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.endothelial_cell	2.2315278493988484e-08	2.372559794872097e-08	0.17346594956837263
tabula_muris.ESmuQ1.continuous.190730__Heart.fibroblast	1.212225252610361e-08	1.3080015905255036e-08	0.17702127121071287
tabula_muris.ESmuQ1.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	1.3951103184832218e-08	1.682614953852521e-08	0.20351478898207054
tabula_muris.ESmuQ1.continuous.190730__Lung.unknown_cell_type	1.812884960345225e-08	2.2262905763387933e-08	0.20773442681646292
tabula_muris.ESmuQ1.continuous.190730__Kidney.macrophage	2.551665439587201e-08	3.18981263779735e-08	0.21187217034164102
tabula_muris.ESmuQ1.continuous.190730__Heart.leukocyte	1.512801087295424e-08	2.1508883435688857e-08	0.2409226279135792
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_acinar_cell	1.3398303566963503e-08	2.0411862083075284e-08	0.2557840681065455
tabula_muris.ESmuQ1.continuous.190730__Pancreas.endothelial_cell	1.2518767355012037e-08	1.9133033790034083e-08	0.2564588799565666
tabula_muris.ESmuQ1.continuous.190730__Marrow.B_cell	1.7362165766450627e-08	2.6791321044518028e-08	0.25847570031701983
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.endothelial_cell	1.1185625957795945e-08	1.7483089579206556e-08	0.26115233449431996
tabula_muris.ESmuQ1.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	7.337739134811075e-09	1.1609767280938637e-08	0.26368313279396427
tabula_muris.ESmuQ1.continuous.190730__Skin.leukocyte	3.207087776464556e-08	5.121385100384635e-08	0.2655869901570276
tabula_muris.ESmuQ1.continuous.190730__Skin.keratinocyte_stem_cell	7.121705957635875e-09	1.3516709889356574e-08	0.2991379003431778
tabula_muris.ESmuQ1.continuous.190730__Heart.myofibroblast_cell	6.976855493549469e-09	1.3754547144453964e-08	0.30599324151403295
tabula_muris.ESmuQ1.continuous.190730__Lung.classical_monocyte	8.835570603600963e-09	1.753687653507533e-08	0.3071911013767584
tabula_muris.ESmuQ1.continuous.190730__Fat.endothelial_cell	7.87911436762798e-09	1.8412701401669222e-08	0.3343556479040166
tabula_muris.ESmuQ1.continuous.190730__Marrow.late_pro-B_cell	5.19289538268014e-09	1.3037122012827045e-08	0.3451986030921882
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.microglial_cell	1.0865217527558902e-08	2.83767814728914e-08	0.35090024936131503
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_ductal_cell	5.586759612827442e-09	1.4945022689647442e-08	0.3542688397650238
tabula_muris.ESmuQ1.continuous.190730__Heart.smooth_muscle_cell	5.357845704494138e-09	1.5549255476227206e-08	0.3652078945206657
tabula_muris.ESmuQ1.continuous.190730__Lung.B_cell	7.565150404078509e-09	2.2056902267377847e-08	0.3658054900558094
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_NK_T_cell	6.715488180977868e-09	2.444595542771477e-08	0.3917704704695856
tabula_muris.ESmuQ1.continuous.190730__Skin.stem_cell_of_epidermis	2.949012847552133e-09	1.1658203171440588e-08	0.40015109379889013
tabula_muris.ESmuQ1.continuous.190730__Marrow.monocyte	2.834215424544331e-09	1.275637860761826e-08	0.4120867829484761
tabula_muris.ESmuQ1.continuous.190730__Heart.endocardial_cell	2.7943092513903068e-09	1.363104586659814e-08	0.4187876430722761
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.basal_cell	2.605319827553566e-09	1.6793535717094403e-08	0.43835616204052363
tabula_muris.ESmuQ1.continuous.190730__Lung.natural_killer_cell	2.2283790261332302e-09	2.710751643263341e-08	0.46724176604842077
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocytopoietic_cell	5.406777203714928e-10	1.140023389953755e-08	0.481086496164324
tabula_muris.ESmuQ1.continuous.190730__Heart.endothelial_cell	7.354367704583386e-10	1.5988620656578055e-08	0.4816561164757678
tabula_muris.ESmuQ1.continuous.190730__Marrow.basophil	5.214730003336038e-10	2.41567241650339e-08	0.49138867215694076
tabula_muris.ESmuQ1.continuous.190730__Thymus.immature_T_cell	-4.851634674786045e-10	1.6456217083773843e-08	0.511759943595652
tabula_muris.ESmuQ1.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	-1.0095502771734973e-09	1.474226941237193e-08	0.5272982208393288
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_B_cell	-1.7431737662319575e-09	1.3127440497275428e-08	0.5528196943486126
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_T_cell	-3.8946330323175445e-09	2.6508185743390516e-08	0.5584031673569856
tabula_muris.ESmuQ1.continuous.190730__Marrow.macrophage	-2.2779859847848103e-09	1.059325542631115e-08	0.5851323877778825
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enteroendocrine_cell	-2.406753103445425e-09	1.1187035528276164e-08	0.5851700195184952
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.macrophage	-5.466788019829026e-09	2.084772199364427e-08	0.6034259011036095
tabula_muris.ESmuQ1.continuous.190730__Liver.natural_killer_cell	-8.117316835105189e-09	2.5133279006710867e-08	0.6266413461162266
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_natural_killer_cell	-6.644920722900135e-09	2.0242824938882687e-08	0.6286426629007926
tabula_muris.ESmuQ1.continuous.190730__Skin.basal_cell_of_epidermis	-5.898856498743184e-09	1.6035243373160374e-08	0.6435142524880819
tabula_muris.ESmuQ1.continuous.190730__Spleen.B_cell	-7.1601311135310375e-09	1.7168989769994212e-08	0.6616749055625749
tabula_muris.ESmuQ1.continuous.190730__Marrow.regulatory_T_cell	-1.247546654737135e-08	2.8648379861751926e-08	0.6683887948735208
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.lymphocyte	-1.095855256801912e-08	2.5064164086882493e-08	0.6690240785530136
tabula_muris.ESmuQ1.continuous.190730__Skin.epidermal_cell	-7.80612587190383e-09	1.7802051638248914e-08	0.6694865632507271
tabula_muris.ESmuQ1.continuous.190730__Trachea.epithelial_cell	-5.044810483753192e-09	1.1159887416157922e-08	0.6743829821608252
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	-6.938839682545258e-09	1.125829967515223e-08	0.7311619756960521
tabula_muris.ESmuQ1.continuous.190730__Pancreas.leukocyte	-1.1686419669693324e-08	1.88089340501653e-08	0.7328063741940594
tabula_muris.ESmuQ1.continuous.190730__Marrow.naive_B_cell	-1.0957122342745057e-08	1.4957713986369882e-08	0.7680804514364092
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.astrocyte	-6.603703622093406e-09	8.657939847575344e-09	0.7771889247463245
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_D_cell	-6.159630113049197e-09	7.667237117935881e-09	0.7891196142297446
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.B_cell	-1.1837758077358113e-08	1.470498862352382e-08	0.7895949130570507
tabula_muris.ESmuQ1.continuous.190730__Heart.unknown_cell_type	-9.681665883843199e-09	1.1910099245921498e-08	0.7918610078544213
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_A_cell	-7.834461941300161e-09	9.027325874178533e-09	0.8072647200745098
tabula_muris.ESmuQ1.continuous.190730__Liver.Kupffer_cell	-1.3014096530664041e-08	1.464477208658414e-08	0.8129047584692627
tabula_muris.ESmuQ1.continuous.190730__Liver.B_cell	-1.201011589981735e-08	1.3433026512923281e-08	0.8143587737311118
tabula_muris.ESmuQ1.continuous.190730__Spleen.T_cell	-1.3665685821832791e-08	1.4735172990881005e-08	0.823145598344377
tabula_muris.ESmuQ1.continuous.190730__Mammary_Gland.luminal_epithelial_cell_of_mammary_gland	-9.572814581628623e-09	1.0041486123244065e-08	0.8297876595892779
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	-7.411069203893937e-09	7.743955562297353e-09	0.8307197529736753
tabula_muris.ESmuQ1.continuous.190730__Fat.natural_killer_cell	-1.715575369683992e-08	1.6533703801864143e-08	0.8502772303379709
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.macrophage	-2.034132978791097e-08	1.9132290461032114e-08	0.8561529299622541
tabula_muris.ESmuQ1.continuous.190730__Fat.unknown_cell_type	-1.578831039452774e-08	1.3597267179682676e-08	0.877207209611764
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	-7.975683712695101e-09	6.806979055054806e-09	0.879339655853703
tabula_muris.ESmuQ1.continuous.190730__Lung.T_cell	-2.3316050131433707e-08	1.9109018944630444e-08	0.8887977831212113
tabula_muris.ESmuQ1.continuous.190730__Spleen.macrophage	-2.2739611494565126e-08	1.8531376991110098e-08	0.8901050502194586
tabula_muris.ESmuQ1.continuous.190730__Pancreas.type_B_pancreatic_cell	-9.546260616007704e-09	7.773620220876297e-09	0.8902826725648174
tabula_muris.ESmuQ1.continuous.190730__Marrow.precursor_B_cell	-1.1942701243869233e-08	9.43733617874712e-09	0.8971492245067318
tabula_muris.ESmuQ1.continuous.190730__Fat.myeloid_cell	-1.629185718749391e-08	1.2784587252029529e-08	0.8987277824307162
tabula_muris.ESmuQ1.continuous.190730__Liver.hepatocyte	-8.898841269408986e-09	6.547988470518394e-09	0.9129297287010941
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	-1.9320134631908324e-08	1.4058695736196285e-08	0.9153176496261378
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	-8.732601120954882e-09	6.030241588749258e-09	0.9262102861108432
tabula_muris.ESmuQ1.continuous.190730__Lung.monocyte	-2.2495565907813463e-08	1.5468626851915488e-08	0.9270643209680087
tabula_muris.ESmuQ1.continuous.190730__Heart.cardiac_muscle_cell	-1.5105740328810603e-08	8.524307186586614e-09	0.9618092250004177
tabula_muris.ESmuQ1.continuous.190730__Thymus.leukocyte	-2.326309717696302e-08	1.2806479380618941e-08	0.9653539082323506
tabula_muris.ESmuQ1.continuous.190730__Fat.T_cell	-3.015977738107765e-08	1.6532593599363223e-08	0.9659437415042784
tabula_muris.ESmuQ1.continuous.190730__Tongue.keratinocyte	-1.538039782199394e-08	8.301826338505494e-09	0.968033895877809
tabula_muris.ESmuQ1.continuous.190730__Heart.professional_antigen_presenting_cell	-1.4286292599506734e-08	7.457183447132292e-09	0.9723031890069146
tabula_muris.ESmuQ1.continuous.190730__Trachea.blood_cell	-2.283547593982145e-08	1.1880863299910926e-08	0.9726995393416626
tabula_muris.ESmuQ1.continuous.190730__Thymus.DN1_thymic_pro-T_cell	-2.806411972520527e-08	1.41791266033823e-08	0.9761063979374194
tabula_muris.ESmuQ1.continuous.190730__Tongue.basal_cell_of_epidermis	-1.5536756071833496e-08	7.746103152514686e-09	0.9775586028142705
tabula_muris.ESmuQ1.continuous.190730__Lung.ciliated_columnar_cell_of_tracheobronchial_tree	-1.2949103688585206e-08	6.390567785128851e-09	0.9786321425017938
tabula_muris.ESmuQ1.continuous.190730__Brain_Non-Myeloid.neuron	-1.1222245558325397e-08	5.184879809713864e-09	0.9847838461441347
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte	-2.7254429416430945e-08	1.2403926597680928e-08	0.9859984189381125
tabula_muris.ESmuQ1.continuous.190730__Lung.leukocyte	-2.446444688267181e-08	1.092691376161421e-08	0.9874193232753585
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.large_intestine_goblet_cell	-1.9478465221525463e-08	8.69555021740744e-09	0.987456153860917
tabula_muris.ESmuQ1.continuous.190730__Lung.myeloid_cell	-3.9529580534438286e-08	1.493625312051974e-08	0.9959341579234171
tabula_muris.ESmuQ1.continuous.190730__Heart.erythrocyte	-1.8154890598287992e-08	6.6415234075459695e-09	0.9968671540421801
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.T_cell	-4.738398894523163e-08	1.697354710063226e-08	0.9973778956655142
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	-3.018003603098312e-08	1.0652557335550303e-08	0.9976952386046839
tabula_muris.ESmuQ1.continuous.190730__Pancreas.pancreatic_PP_cell	-2.1310154350244927e-08	7.357792952594412e-09	0.9981118627596743
tabula_muris.ESmuQ1.continuous.190730__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	-3.233184634043766e-08	1.0730018414641894e-08	0.9987075190193881
tabula_muris.ESmuQ1.continuous.190730__Bladder.bladder_urothelial_cell	-3.357067235759197e-08	1.0949459554701143e-08	0.9989151606174637
