Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ1.continuous.190730__Fat.T_cell	2.9976751837308507e-07	6.760805749144897e-08	4.627129837344317e-06
tabula_muris.ESmuQ1.continuous.190730__Spleen.T_cell	2.2982912730311704e-07	5.480655909139396e-08	1.373656147760854e-05
tabula_muris.ESmuQ1.continuous.190730__Lung.T_cell	3.149615887781937e-07	7.697102395749967e-08	2.13880360708025e-05
tabula_muris.ESmuQ1.continuous.190730__Liver.natural_killer_cell	3.4302531713112904e-07	9.007829359291525e-08	7.002508219839967e-05
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_T_cell	3.140706865649589e-07	8.264146120172703e-08	7.22310808010991e-05
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.T_cell	4.1526310172189966e-07	1.2816046094973723e-07	0.0005972690553909309
tabula_muris.ESmuQ1.continuous.190730__Spleen.B_cell	2.037856103796787e-07	6.502732260426929e-08	0.0008626570921669836
tabula_muris.ESmuQ1.continuous.190730__Marrow.regulatory_T_cell	5.153346778715601e-07	1.6470342541821666e-07	0.0008774164689314927
tabula_muris.ESmuQ1.continuous.190730__Marrow.hematopoietic_precursor_cell	1.3483987204121302e-07	4.335171457689315e-08	0.0009342656557577445
tabula_muris.ESmuQ1.continuous.190730__Marrow.B_cell	2.4847597239481816e-07	8.416778922877431e-08	0.0015778459381061622
tabula_muris.ESmuQ1.continuous.190730__Trachea.blood_cell	1.814292753411194e-07	6.621308952496905e-08	0.003071195622612075
tabula_muris.ESmuQ1.continuous.190730__Fat.B_cell	1.6702235611748804e-07	6.208892084117411e-08	0.0035720562939643347
tabula_muris.ESmuQ1.continuous.190730__Pancreas.leukocyte	2.434182829434444e-07	9.344350903459754e-08	0.004594008303023228
tabula_muris.ESmuQ1.continuous.190730__Heart.leukocyte	1.632459242785525e-07	6.591564878953754e-08	0.006632240565789877
tabula_muris.ESmuQ1.continuous.190730__Marrow.common_lymphoid_progenitor	6.991822790788636e-08	2.8607824271387957e-08	0.0072622169164093895
tabula_muris.ESmuQ1.continuous.190730__Liver.B_cell	1.4287670110945388e-07	5.851212346100648e-08	0.00730649825489262
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_NK_T_cell	1.929679447321787e-07	7.957505352211408e-08	0.00765460673215411
tabula_muris.ESmuQ1.continuous.190730__Thymus.DN1_thymic_pro-T_cell	2.0311170827594107e-07	8.445602423960142e-08	0.008087550830780194
tabula_muris.ESmuQ1.continuous.190730__Fat.myeloid_cell	1.290284821856205e-07	5.496851312310008e-08	0.009454599601138248
tabula_muris.ESmuQ1.continuous.190730__Marrow.late_pro-B_cell	1.22917917013997e-07	5.285747202279984e-08	0.010023698240497087
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	7.994119671029451e-08	3.524201854676672e-08	0.01165397249914213
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.lymphocyte	2.5326968466342173e-07	1.1356145541878279e-07	0.012865644750313038
tabula_muris.ESmuQ1.continuous.190730__Thymus.immature_T_cell	1.3585875000286585e-07	6.107634677857316e-08	0.013060483449970175
tabula_muris.ESmuQ1.continuous.190730__Kidney.macrophage	2.794728183007553e-07	1.3089474585104726e-07	0.016376594011481005
tabula_muris.ESmuQ1.continuous.190730__Marrow.naive_B_cell	1.6210210516945433e-07	7.593133286256991e-08	0.016386578922068105
tabula_muris.ESmuQ1.continuous.190730__Brain_Myeloid.macrophage	2.0420948593836026e-07	9.652081843819544e-08	0.01718499319642415
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_B_cell	1.3644752252359298e-07	6.758283342589232e-08	0.02174531548607959
tabula_muris.ESmuQ1.continuous.190730__Marrow.precursor_B_cell	1.216458447484674e-07	6.058607638771956e-08	0.022331291334583094
tabula_muris.ESmuQ1.continuous.190730__Limb_Muscle.macrophage	1.8481974711703022e-07	9.618703792272756e-08	0.027336738518013545
tabula_muris.ESmuQ1.continuous.190730__Lung.leukocyte	1.1915244747060783e-07	6.358520466291561e-08	0.03047196115403206
tabula_muris.ESmuQ1.continuous.190730__Fat.natural_killer_cell	1.5933433707134336e-07	8.605990341960258e-08	0.032053482360412604
tabula_muris.ESmuQ1.continuous.190730__Marrow.pre-natural_killer_cell	1.0782847212193159e-07	5.924360392535292e-08	0.03437293147001018
tabula_muris.ESmuQ1.continuous.190730__Lung.B_cell	1.3330393586403212e-07	7.383022614550158e-08	0.03549457176646523
tabula_muris.ESmuQ1.continuous.190730__Marrow.immature_natural_killer_cell	1.6206759567271082e-07	9.06877608385528e-08	0.03696111076274558
tabula_muris.ESmuQ1.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	6.252556871643031e-08	3.534845562180376e-08	0.03846074664759614
tabula_muris.ESmuQ1.continuous.190730__Spleen.macrophage	1.656551588084511e-07	9.695925656891913e-08	0.0437715460573199
tabula_muris.ESmuQ1.continuous.190730__Lung.monocyte	1.0986691732148657e-07	6.437504265854736e-08	0.043941756197403196
tabula_muris.ESmuQ1.continuous.190730__Fat.unknown_cell_type	9.559379798406015e-08	5.6124479161000804e-08	0.04426101516280899
tabula_muris.ESmuQ1.continuous.190730__Lung.natural_killer_cell	1.4252089844660848e-07	8.563226307925606e-08	0.0480226040674001
tabula_muris.ESmuQ1.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	1.377786372230254e-07	8.315985556366345e-08	0.048780702065675065
tabula_muris.ESmuQ1.continuous.190730__Skin.basal_cell_of_epidermis	5.218273463426074e-08	3.194783529794323e-08	0.051195275986833974
tabula_muris.ESmuQ1.continuous.190730__Marrow.mature_natural_killer_cell	1.4025800089436257e-07	8.676446018651513e-08	0.05298907953473476
tabula_muris.ESmuQ1.continuous.190730__Marrow.granulocyte	9.33307084591479e-08	5.8342718153713085e-08	0.0548328379933597
tabula_muris.ESmuQ1.continuous.190730__Kidney.leukocyte	1.0388887875199574e-07	6.531046138608811e-08	0.055839367384315095
