Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte	1.0889166810485824e-07	3.867983004084033e-08	0.0024373030238203407
tabula_muris.ESmuQ2.continuous.190730__Marrow.monocyte	2.05028686037442e-07	8.599411184082447e-08	0.008557736333136792
tabula_muris.ESmuQ2.continuous.190730__Lung.monocyte	3.525138608694655e-07	1.6056049034246893e-07	0.01406313814538282
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	7.568315560249223e-08	3.6803363210145164e-08	0.019871046751097656
tabula_muris.ESmuQ2.continuous.190730__Fat.myeloid_cell	7.350873014061447e-08	3.575975931376652e-08	0.019909237051699686
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	5.797702220344523e-08	2.8209239440090475e-08	0.019927461349714803
tabula_muris.ESmuQ2.continuous.190730__Trachea.epithelial_cell	6.377363156248911e-08	3.330204207157396e-08	0.027745828657657685
tabula_muris.ESmuQ2.continuous.190730__Spleen.B_cell	1.147905596766012e-07	6.080870385510814e-08	0.02953094307528782
tabula_muris.ESmuQ2.continuous.190730__Lung.classical_monocyte	4.655572381360417e-07	2.6575215757497475e-07	0.03990002177315538
tabula_muris.ESmuQ2.continuous.190730__Pancreas.leukocyte	1.7243449015990568e-07	1.0173667637681087e-07	0.045046266253845606
tabula_muris.ESmuQ2.continuous.190730__Lung.leukocyte	1.9052932691357492e-07	1.146301283492088e-07	0.048244097552528786
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.endothelial_cell	1.2148906094262315e-07	7.638450384027483e-08	0.05586179879035468
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_NK_T_cell	6.785961897094805e-08	4.562411525769868e-08	0.06845948748817132
tabula_muris.ESmuQ2.continuous.190730__Marrow.precursor_B_cell	4.699882687549392e-08	3.3611785765430803e-08	0.08101387964621215
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	8.420385748112987e-08	6.341310476067329e-08	0.09211183615086244
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	6.489990889960938e-08	4.9265485191509964e-08	0.09386059151695447
tabula_muris.ESmuQ2.continuous.190730__Skin.stem_cell_of_epidermis	2.7712368412975332e-08	2.219202963743987e-08	0.10587767483147748
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	8.415770633702032e-08	6.74108318440354e-08	0.10593681000412908
tabula_muris.ESmuQ2.continuous.190730__Liver.Kupffer_cell	9.221007172018394e-08	7.446357534565988e-08	0.10779787644732713
tabula_muris.ESmuQ2.continuous.190730__Kidney.macrophage	8.83105627350203e-08	7.637155876513193e-08	0.12377353406857933
tabula_muris.ESmuQ2.continuous.190730__Heart.unknown_cell_type	3.1847924708765265e-08	2.806231983504683e-08	0.12820862543945588
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	3.865001312992697e-08	3.452293706216576e-08	0.13145365734630143
tabula_muris.ESmuQ2.continuous.190730__Skin.leukocyte	2.566014217511459e-07	2.3042389407539502e-07	0.13272413423547125
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_ductal_cell	6.569158738997933e-08	5.9502851739845794e-08	0.13479496839913724
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocytopoietic_cell	8.47014829396644e-08	7.995985052196773e-08	0.1447315496701822
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	1.9346894197123093e-08	1.8274817054300765e-08	0.14487637346504978
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.macrophage	5.12088743724197e-08	4.8400505715317136e-08	0.14502235538514552
tabula_muris.ESmuQ2.continuous.190730__Spleen.T_cell	4.156120300819768e-08	4.058307859637231e-08	0.1528936019980236
tabula_muris.ESmuQ2.continuous.190730__Trachea.blood_cell	3.99526745574494e-08	3.917253592918406e-08	0.15388428106108937
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.macrophage	4.298373921716825e-08	4.4470152810463434e-08	0.16687826150623314
tabula_muris.ESmuQ2.continuous.190730__Marrow.hematopoietic_precursor_cell	3.689631189838705e-08	3.94057172032255e-08	0.17455454841410228
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_urothelial_cell	2.8453627828061647e-08	3.0503985871382555e-08	0.17546576996886698
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.luminal_epithelial_cell_of_mammary_gland	4.7132699877478365e-08	5.0992543334146e-08	0.17766358072579375
tabula_muris.ESmuQ2.continuous.190730__Marrow.basophil	1.5199217903187942e-07	1.708791495441392e-07	0.18687479508456573
tabula_muris.ESmuQ2.continuous.190730__Tongue.keratinocyte	5.041795881176398e-08	5.782302959928852e-08	0.19162175178856833
tabula_muris.ESmuQ2.continuous.190730__Fat.natural_killer_cell	4.377999617825789e-08	5.061214895323535e-08	0.19351675195467666
tabula_muris.ESmuQ2.continuous.190730__Fat.endothelial_cell	2.348841699144801e-08	2.8588801594199133e-08	0.20565371253102488
tabula_muris.ESmuQ2.continuous.190730__Trachea.endothelial_cell	8.234742598411423e-08	1.0451619866860837e-07	0.21538008271072945
tabula_muris.ESmuQ2.continuous.190730__Kidney.leukocyte	6.867638776079737e-08	8.763358064850412e-08	0.21661494404855647
tabula_muris.ESmuQ2.continuous.190730__Marrow.pre-natural_killer_cell	3.919306294909155e-08	5.00159621859468e-08	0.2166341714717963
tabula_muris.ESmuQ2.continuous.190730__Heart.endothelial_cell	1.993687600219416e-08	2.59192389848136e-08	0.22088961529630946
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.large_intestine_goblet_cell	3.0966696758585295e-08	4.143662575921694e-08	0.22743318989931155
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	2.300000024472632e-08	3.116744624466502e-08	0.23027257966609593
tabula_muris.ESmuQ2.continuous.190730__Skin.epidermal_cell	4.829963106045833e-08	6.700292135625314e-08	0.2354982631066589
tabula_muris.ESmuQ2.continuous.190730__Lung.unknown_cell_type	3.348849952311808e-08	4.7140894800029935e-08	0.23873064010909079
tabula_muris.ESmuQ2.continuous.190730__Lung.epithelial_cell_of_lung	4.073154696710454e-08	5.9097548383024155e-08	0.24534063476521412
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	1.1551497762851752e-08	2.2557976988675052e-08	0.30429737247397626
tabula_muris.ESmuQ2.continuous.190730__Heart.professional_antigen_presenting_cell	1.5266425202574367e-08	3.014123806445837e-08	0.3062541473576478
tabula_muris.ESmuQ2.continuous.190730__Marrow.regulatory_T_cell	2.9892532143345965e-08	6.194760652503694e-08	0.3147092800572536
tabula_muris.ESmuQ2.continuous.190730__Marrow.mature_natural_killer_cell	2.4288415796520748e-08	5.045000802829178e-08	0.31510356922618915
tabula_muris.ESmuQ2.continuous.190730__Spleen.macrophage	2.4551542493012314e-08	5.121301496990603e-08	0.3158268862156667
tabula_muris.ESmuQ2.continuous.190730__Fat.B_cell	1.3991977316642325e-08	3.055260122729633e-08	0.3234893190487086
tabula_muris.ESmuQ2.continuous.190730__Pancreas.endothelial_cell	3.439675807589104e-08	7.746532451446389e-08	0.3285112403261933
tabula_muris.ESmuQ2.continuous.190730__Tongue.basal_cell_of_epidermis	1.1934595469012124e-08	2.744991507182316e-08	0.3318621010662871
tabula_muris.ESmuQ2.continuous.190730__Liver.hepatocyte	9.475791531779409e-09	2.18923286492531e-08	0.3325668996779271
tabula_muris.ESmuQ2.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	2.8590734195431742e-08	6.623393909037208e-08	0.3329932178822823
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	1.7263395354629164e-08	4.109135737461584e-08	0.3371980582881938
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_natural_killer_cell	2.7207410191052406e-08	6.515790065017635e-08	0.3381339905264956
tabula_muris.ESmuQ2.continuous.190730__Kidney.endothelial_cell	2.258371067379666e-08	6.050317414512105e-08	0.3544756522528673
tabula_muris.ESmuQ2.continuous.190730__Liver.B_cell	1.1973666188022315e-08	3.773231030010668e-08	0.3754958825457724
tabula_muris.ESmuQ2.continuous.190730__Thymus.immature_T_cell	9.118971349119475e-09	2.993644067428064e-08	0.3803311923507086
tabula_muris.ESmuQ2.continuous.190730__Lung.natural_killer_cell	1.6370730886734342e-08	5.6367234289832916e-08	0.38574368150542215
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.endothelial_cell	1.4016324786962928e-08	4.8601504205103246e-08	0.38652303212040495
tabula_muris.ESmuQ2.continuous.190730__Heart.leukocyte	8.281091195143253e-09	3.4807164238827214e-08	0.4059741265636641
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	4.329917287352325e-09	1.941049693668089e-08	0.41174015774565564
