Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Skin.basal_cell_of_epidermis	1.5015871662810997e-07	6.919514265548839e-08	0.015000545459908353
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	1.732394801693205e-07	9.185852810375989e-08	0.029651661323270375
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_NK_T_cell	1.8526310405253726e-07	1.0196928495528448e-07	0.03461988548611322
tabula_muris.ESmuQ2.continuous.190730__Skin.stem_cell_of_epidermis	1.0597143434159972e-07	5.874185751300196e-08	0.03561415449101253
tabula_muris.ESmuQ2.continuous.190730__Trachea.blood_cell	1.4712810263436517e-07	8.93424721501806e-08	0.04980082402759001
tabula_muris.ESmuQ2.continuous.190730__Marrow.pre-natural_killer_cell	2.0700408133462902e-07	1.2574222639322225e-07	0.04985537932523044
tabula_muris.ESmuQ2.continuous.190730__Skin.keratinocyte_stem_cell	1.078861408283503e-07	7.063101623589165e-08	0.06332317708102769
tabula_muris.ESmuQ2.continuous.190730__Marrow.naive_B_cell	1.4780544411715002e-07	9.763863530643928e-08	0.06503818499193612
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	8.739738102374201e-08	6.432129821857318e-08	0.08711089777260977
tabula_muris.ESmuQ2.continuous.190730__Heart.smooth_muscle_cell	1.3823131568995232e-07	1.0406520851350046e-07	0.09203713119680879
tabula_muris.ESmuQ2.continuous.190730__Skin.leukocyte	1.8317557130822113e-07	1.4414713297835779e-07	0.10190805760784766
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	4.813662098908861e-08	4.1048619694628605e-08	0.12046341795736315
tabula_muris.ESmuQ2.continuous.190730__Fat.T_cell	9.2494801617923e-08	8.772851616589287e-08	0.14586594175298506
tabula_muris.ESmuQ2.continuous.190730__Fat.B_cell	1.007241366467779e-07	1.0553231601124538e-07	0.16993078801317518
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	6.82232029280393e-08	7.368340276479302e-08	0.17724989154308712
tabula_muris.ESmuQ2.continuous.190730__Lung.leukocyte	8.036273386205644e-08	8.898980425201207e-08	0.18324821495671617
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_cell	5.8767319425310845e-08	6.584935255876032e-08	0.1860756273169631
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	4.91329419238884e-08	6.394257411523251e-08	0.22112726101863484
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_stellate_cell	9.71926529443969e-08	1.3719241477195774e-07	0.2393358972689245
tabula_muris.ESmuQ2.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	4.769772162336806e-08	6.781530619606196e-08	0.24091962828650254
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	5.228815741939593e-08	7.702192292986338e-08	0.24860894712162362
tabula_muris.ESmuQ2.continuous.190730__Trachea.epithelial_cell	4.656494705417874e-08	7.244933139123159e-08	0.2602014996285713
tabula_muris.ESmuQ2.continuous.190730__Lung.myeloid_cell	1.2129975061693306e-07	1.919557564547865e-07	0.26372116160892956
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_natural_killer_cell	8.904826997890534e-08	1.4501863103298335e-07	0.2695921014235494
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	1.0106914785779505e-07	1.6595344758113545e-07	0.27125523326707673
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	3.335910100130818e-08	5.483095822867705e-08	0.27146143216438456
tabula_muris.ESmuQ2.continuous.190730__Spleen.macrophage	8.545520002868792e-08	1.5487035606946616e-07	0.29054769865398855
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.T_cell	7.901255426690144e-08	1.4655699128990468e-07	0.29490026476259557
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.microglial_cell	5.13061854119961e-08	1.0530290264621863e-07	0.313049517072299
tabula_muris.ESmuQ2.continuous.190730__Thymus.DN1_thymic_pro-T_cell	4.298679681782208e-08	8.999204194075424e-08	0.31644137077176193
tabula_muris.ESmuQ2.continuous.190730__Thymus.leukocyte	7.19852484270895e-08	1.556074061213196e-07	0.32182264634450913
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.macrophage	6.163616728554261e-08	1.366328081455107e-07	0.3259558179063107
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	2.1753083068045498e-08	5.239383511906619e-08	0.3390035981769204
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	2.7548706904312074e-08	7.766236872553803e-08	0.3613981806829175
tabula_muris.ESmuQ2.continuous.190730__Fat.natural_killer_cell	4.8125522071682675e-08	1.3823905594378874e-07	0.3638703010000527
tabula_muris.ESmuQ2.continuous.190730__Trachea.mesenchymal_cell	1.551429912103814e-08	5.379474255283872e-08	0.38652102820275513
tabula_muris.ESmuQ2.continuous.190730__Heart.cardiac_muscle_cell	1.7218736792044497e-08	6.090570418965593e-08	0.3886990390150185
tabula_muris.ESmuQ2.continuous.190730__Marrow.basophil	4.1615419050926907e-08	1.6002680173613712e-07	0.39741152000163127
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	2.099800765375631e-08	8.249646863548662e-08	0.39954221550969415
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	1.7435968604849814e-08	7.335351991178104e-08	0.4060577540507596
tabula_muris.ESmuQ2.continuous.190730__Liver.hepatocyte	1.7472302773119194e-08	7.7643950236645e-08	0.41097754397427566
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	1.7174886258576726e-08	7.905538796481062e-08	0.41400625158566684
tabula_muris.ESmuQ2.continuous.190730__Marrow.mature_natural_killer_cell	2.430444984472366e-08	1.2190136442338396e-07	0.42098353548564194
tabula_muris.ESmuQ2.continuous.190730__Lung.epithelial_cell_of_lung	1.6948863924003693e-08	9.319701617887878e-08	0.4278460684397059
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte	1.492296339554477e-08	8.268055022424281e-08	0.42838418531550954
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	1.6090822303521327e-08	9.367654232220049e-08	0.43180916470320896
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.astrocyte	1.028666729506668e-08	6.47164701767229e-08	0.4368542287523769
tabula_muris.ESmuQ2.continuous.190730__Lung.monocyte	1.0549646357563545e-08	1.2039915872188556e-07	0.46508845475654
tabula_muris.ESmuQ2.continuous.190730__Pancreas.leukocyte	9.067439327734686e-09	1.2571691843644363e-07	0.47125087810196603
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_T_cell	9.734440868034439e-09	1.5641081195878244e-07	0.47518730052799935
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.endothelial_cell	6.6059358960652e-09	1.0973347561007247e-07	0.4759982430268849
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.basal_cell	-1.8291634274125016e-09	7.79661554879886e-08	0.5093587235010233
tabula_muris.ESmuQ2.continuous.190730__Marrow.precursor_B_cell	-1.998382892694526e-09	7.949613152957952e-08	0.5100276007781723
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	-2.7835226361520274e-09	1.0792168346729896e-07	0.5102884028997777
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	-3.853740686741628e-09	6.988973022767428e-08	0.5219866548677902
tabula_muris.ESmuQ2.continuous.190730__Lung.ciliated_columnar_cell_of_tracheobronchial_tree	-3.2070045475823244e-09	5.350579336318942e-08	0.523897301428999
tabula_muris.ESmuQ2.continuous.190730__Heart.endocardial_cell	-6.6730072350990165e-09	8.268257330369922e-08	0.5321622495933291
tabula_muris.ESmuQ2.continuous.190730__Tongue.keratinocyte	-5.271369596933143e-09	6.389827988158567e-08	0.5328739568823125
tabula_muris.ESmuQ2.continuous.190730__Marrow.regulatory_T_cell	-2.6288233356113958e-08	1.999839891175406e-07	0.5522909996951249
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	-9.23096704148107e-09	6.615431432284114e-08	0.5554870450411444
tabula_muris.ESmuQ2.continuous.190730__Heart.erythrocyte	-6.06036192762967e-09	4.043057270099844e-08	0.5595764788833222
tabula_muris.ESmuQ2.continuous.190730__Heart.leukocyte	-1.7542216783893988e-08	8.971602079627425e-08	0.5775111614756712
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocytopoietic_cell	-1.9137116773893295e-08	9.621236465612446e-08	0.5788314561761241
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	-1.3064816539797199e-08	5.742605717382102e-08	0.5899851455877467
tabula_muris.ESmuQ2.continuous.190730__Lung.unknown_cell_type	-3.007882597468913e-08	1.1708968081135574e-07	0.6013670269297494
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.lymphocyte	-3.4568146920030104e-08	1.1684248849370253e-07	0.6163286512846784
tabula_muris.ESmuQ2.continuous.190730__Kidney.leukocyte	-7.779864285634805e-08	2.0193664343227873e-07	0.6499785781568094
tabula_muris.ESmuQ2.continuous.190730__Skin.epidermal_cell	-3.0013941109674155e-08	7.58362141645512e-08	0.6538638251649798
tabula_muris.ESmuQ2.continuous.190730__Lung.natural_killer_cell	-5.926168667318569e-08	1.4965849905062789e-07	0.6539398972995748
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.stromal_cell	-3.0706469427036535e-08	7.6119173807287e-08	0.6566729810795674
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.endothelial_cell	-3.764850292009381e-08	8.837737353641836e-08	0.6649450125354118
tabula_muris.ESmuQ2.continuous.190730__Heart.fibroblast	-2.6400773270162485e-08	6.184380634266491e-08	0.6652718698791965
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.large_intestine_goblet_cell	-2.2539871507332998e-08	4.9693810679873384e-08	0.6749326342910555
tabula_muris.ESmuQ2.continuous.190730__Lung.T_cell	-5.6740238114407754e-08	1.1778786805264257e-07	0.6849959572182731
tabula_muris.ESmuQ2.continuous.190730__Lung.classical_monocyte	-5.316985261923698e-08	1.0323121845129213e-07	0.6967430361220031
tabula_muris.ESmuQ2.continuous.190730__Heart.unknown_cell_type	-6.823267938542358e-08	1.2611688806034743e-07	0.7057556168930789
tabula_muris.ESmuQ2.continuous.190730__Liver.natural_killer_cell	-6.95485540560628e-08	1.279367176054622e-07	0.7066474152618587
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	-2.1952337361587812e-08	3.8269780547509174e-08	0.7168877411552812
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_ductal_cell	-4.0794699809637577e-08	6.894213066169964e-08	0.7229822230622527
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.endothelial_cell	-4.935236878516248e-08	7.612646013442323e-08	0.7416027690081767
tabula_muris.ESmuQ2.continuous.190730__Thymus.immature_T_cell	-5.592585351906836e-08	8.609131614449675e-08	0.7420281903356077
tabula_muris.ESmuQ2.continuous.190730__Spleen.T_cell	-5.507239396402257e-08	8.253794059831356e-08	0.7476897206065805
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	-4.3724114343488964e-08	6.342953235532567e-08	0.7546933529348261
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	-5.916423645975051e-08	8.227395463634898e-08	0.7639642241201334
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	-4.8140612572947653e-08	6.010548401574729e-08	0.7884154904501517
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_urothelial_cell	-4.944906872272286e-08	5.949760135505295e-08	0.7970443364146065
tabula_muris.ESmuQ2.continuous.190730__Tongue.basal_cell_of_epidermis	-4.0765887996450694e-08	4.773681335594042e-08	0.8034396669920476
tabula_muris.ESmuQ2.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	-8.026920530756084e-08	8.854952893306621e-08	0.8176615514659613
tabula_muris.ESmuQ2.continuous.190730__Fat.myeloid_cell	-6.873003306746556e-08	7.56322161826859e-08	0.8182563528572404
tabula_muris.ESmuQ2.continuous.190730__Liver.Kupffer_cell	-1.0567598111632846e-07	1.1473511493694682e-07	0.8214860263681288
tabula_muris.ESmuQ2.continuous.190730__Kidney.macrophage	-1.773435314603758e-07	1.9016461655030645e-07	0.8244813146968181
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.macrophage	-9.195913061707124e-08	9.47709020561566e-08	0.8340591994344599
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	-7.353285876565411e-08	7.510707221601186e-08	0.8362199933597776
tabula_muris.ESmuQ2.continuous.190730__Heart.myofibroblast_cell	-7.926677123074626e-08	7.693923790887004e-08	0.8485540382737677
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	-6.800145269909913e-08	6.532410726349427e-08	0.8510588761063225
tabula_muris.ESmuQ2.continuous.190730__Marrow.monocyte	-8.623333886602678e-08	8.139867957814786e-08	0.855289994336463
tabula_muris.ESmuQ2.continuous.190730__Lung.stromal_cell	-5.9490975620679143e-08	5.6140188539154774e-08	0.8553562783396351
tabula_muris.ESmuQ2.continuous.190730__Fat.endothelial_cell	-9.69892584733317e-08	8.69958662283896e-08	0.8675473691504674
tabula_muris.ESmuQ2.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	-7.682159134214336e-08	6.768076948984511e-08	0.8718244679192078
tabula_muris.ESmuQ2.continuous.190730__Trachea.endothelial_cell	-9.79679121787721e-08	8.366423562140468e-08	0.8791936263260072
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	-6.275486157426831e-08	5.2380571321371404e-08	0.8845524058615979
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enteroendocrine_cell	-1.2853118120296333e-07	1.0593208205720373e-07	0.8874992581662848
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.B_cell	-1.0530344315912056e-07	8.496211111777507e-08	0.8924043546459545
tabula_muris.ESmuQ2.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	-1.4588256813103203e-07	1.1625591538941568e-07	0.8952315682940144
tabula_muris.ESmuQ2.continuous.190730__Pancreas.endothelial_cell	-1.3678431488040257e-07	1.0573020287546039e-07	0.9021173488539019
tabula_muris.ESmuQ2.continuous.190730__Lung.B_cell	-1.2743461538419197e-07	9.198250177727787e-08	0.9170383222705283
tabula_muris.ESmuQ2.continuous.190730__Heart.professional_antigen_presenting_cell	-9.63404744701718e-08	6.036847819609244e-08	0.9447415172147092
tabula_muris.ESmuQ2.continuous.190730__Kidney.endothelial_cell	-1.7182510156298144e-07	1.0610134837838294e-07	0.9473240252132316
tabula_muris.ESmuQ2.continuous.190730__Fat.unknown_cell_type	-1.1859913327692854e-07	7.048389789407166e-08	0.9537777458090714
tabula_muris.ESmuQ2.continuous.190730__Liver.B_cell	-1.6530868129927754e-07	9.610553731821955e-08	0.9572905472538977
tabula_muris.ESmuQ2.continuous.190730__Spleen.B_cell	-1.4304900912495793e-07	8.266994286108914e-08	0.9582172786370006
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.luminal_epithelial_cell_of_mammary_gland	-1.2695855305179504e-07	7.154230736150586e-08	0.9620175299013073
tabula_muris.ESmuQ2.continuous.190730__Lung.lung_endothelial_cell	-1.648389828616482e-07	8.469494510778317e-08	0.9741886666300099
tabula_muris.ESmuQ2.continuous.190730__Marrow.hematopoietic_precursor_cell	-1.6498099102891043e-07	7.046166651778705e-08	0.9903949609211661
tabula_muris.ESmuQ2.continuous.190730__Heart.endothelial_cell	-1.6837221717044782e-07	6.403800903008557e-08	0.9957213841094699
