Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	1.2913865367899753e-07	2.0433240137467868e-08	1.3075779616510012e-10
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	1.1311059504139168e-07	2.9629136502007977e-08	6.739279880647502e-05
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	1.1544149391058927e-07	3.194812392404698e-08	0.00015110136214247977
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	1.1600803867758274e-07	3.8137841263498714e-08	0.00117580429094423
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	7.883392247269939e-08	2.6977004373952568e-08	0.001737485577337133
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	1.1399911351583884e-07	4.201783217651491e-08	0.0033327218070551066
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	9.349408448201736e-08	3.537269846958422e-08	0.0041073651762172795
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	1.3606784493621698e-07	5.371824649109897e-08	0.0056546898142251206
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_natural_killer_cell	1.6184436610284074e-07	6.6745885463471e-08	0.0076587452022403735
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	1.2840204176262882e-07	5.339512861892248e-08	0.008091722293941984
tabula_muris.ESmuQ2.continuous.190730__Marrow.pre-natural_killer_cell	1.2170670268888943e-07	5.245570621103615e-08	0.010165559558018707
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	1.4016296463434296e-07	6.116458902819661e-08	0.010965221215216564
tabula_muris.ESmuQ2.continuous.190730__Lung.T_cell	1.4835632107560829e-07	6.839890507245809e-08	0.01504184367878403
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	9.274528866643157e-08	4.366856347461437e-08	0.01684152608888394
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	5.561901203161107e-08	3.090985206602918e-08	0.03597816424977241
