Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	2.007502432442628e-08	6.904995883709277e-09	0.0018227073813178794
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	1.9331006651366286e-08	7.361364729392801e-09	0.004319632480830089
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	2.371805901493936e-08	1.0038938366206074e-08	0.009073468188624938
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	1.8040690104327304e-08	8.404546918012353e-09	0.015914989134100124
tabula_muris.ESmuQ2.continuous.190730__Skin.keratinocyte_stem_cell	2.7457867428009438e-08	1.366456446816965e-08	0.022246234545969048
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	1.1062853094965356e-08	7.133692393588432e-09	0.06047610523537435
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	4.4382549959876555e-08	3.032672725548543e-08	0.07166808102999209
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	1.7652872936573847e-08	1.307500343624492e-08	0.08848814239655639
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	1.5166250336758183e-08	1.185615731371206e-08	0.1004154870731811
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	1.580214554291324e-08	1.2532835426285251e-08	0.10367972261736819
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	1.0499519008868692e-08	8.715395986202145e-09	0.11415776316766507
tabula_muris.ESmuQ2.continuous.190730__Lung.monocyte	1.4407936934959434e-08	1.407474192591869e-08	0.15299481503202556
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	8.879236890179481e-09	9.839188927643425e-09	0.1834126903566266
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.astrocyte	6.5842262313073475e-09	7.348008627926575e-09	0.18511146349359742
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	6.712738736554929e-09	7.9041462523601e-09	0.1978660823105547
tabula_muris.ESmuQ2.continuous.190730__Liver.Kupffer_cell	2.4669904128292614e-08	2.913272964372645e-08	0.19855035083630074
tabula_muris.ESmuQ2.continuous.190730__Lung.unknown_cell_type	1.1500178931363605e-08	1.611439874557011e-08	0.23771916221566247
tabula_muris.ESmuQ2.continuous.190730__Pancreas.leukocyte	9.93763328551611e-09	1.726714816068559e-08	0.282468969340092
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	9.935659619449709e-09	1.776461509548683e-08	0.2879802185663445
tabula_muris.ESmuQ2.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	8.786369382391453e-09	1.6344569330477124e-08	0.2954365665351524
tabula_muris.ESmuQ2.continuous.190730__Trachea.epithelial_cell	6.5004591411520405e-09	1.2121276132660545e-08	0.29588078164827036
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	5.890014574920049e-09	1.122782264383783e-08	0.29993377642156194
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	4.909851772111662e-09	9.757811485806495e-09	0.307421881585625
tabula_muris.ESmuQ2.continuous.190730__Lung.ciliated_columnar_cell_of_tracheobronchial_tree	4.823884684643678e-09	1.0138647541915064e-08	0.3171113800182688
tabula_muris.ESmuQ2.continuous.190730__Heart.unknown_cell_type	5.972122573328994e-09	1.3002457335361322e-08	0.3230067807227518
tabula_muris.ESmuQ2.continuous.190730__Heart.myofibroblast_cell	5.205887498075752e-09	1.1649641432210712e-08	0.3274840838613737
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enteroendocrine_cell	4.585888493421815e-09	1.0598514887256613e-08	0.3326194121264495
tabula_muris.ESmuQ2.continuous.190730__Marrow.monocyte	5.275126379595811e-09	1.2449389588169284e-08	0.3358829332207853
tabula_muris.ESmuQ2.continuous.190730__Skin.leukocyte	7.589917037388695e-09	1.9605820121990822e-08	0.34933157239116375
tabula_muris.ESmuQ2.continuous.190730__Heart.smooth_muscle_cell	3.6649492770990234e-09	9.608853764672387e-09	0.3514481171533787
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_ductal_cell	4.3056724186198e-09	1.1784458186843322e-08	0.35741809325288515
tabula_muris.ESmuQ2.continuous.190730__Fat.unknown_cell_type	4.656811632418813e-09	1.2945589798132706e-08	0.35952757173071326
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocytopoietic_cell	9.358327463505192e-09	2.748113698447958e-08	0.3667263077620086
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	2.7795490640409303e-09	9.707097213892454e-09	0.3873081187521919
tabula_muris.ESmuQ2.continuous.190730__Tongue.basal_cell_of_epidermis	2.1583670975239368e-09	7.762742503247338e-09	0.390490125938314
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.basal_cell	3.086502162255476e-09	1.6919764037562473e-08	0.42762659337674447
