Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	3.486583796874271e-08	7.911775387243056e-09	5.244756602121106e-06
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	3.33941070938057e-08	1.1167334988642407e-08	0.0013933441325710383
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	4.1626815066406665e-08	1.562509089460329e-08	0.0038597229129641807
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	2.4061767307780558e-08	9.25334878914827e-09	0.0046566975185666085
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	2.5149060854105892e-08	1.2145493854699173e-08	0.019195781067362822
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	2.22743477529185e-08	1.0985209432799863e-08	0.021297117815169294
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	9.382550312652497e-08	6.949954593401636e-08	0.0885054158177882
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.astrocyte	1.1766228439164745e-08	9.350011468484614e-09	0.10412020245188336
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	1.2672853333673734e-08	1.0373999558571747e-08	0.11092991158215043
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	1.501677029784216e-08	1.2448487945644036e-08	0.11384845284346978
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	4.2773374742058985e-08	3.888448507439043e-08	0.1356635893406375
tabula_muris.ESmuQ2.continuous.190730__Liver.Kupffer_cell	6.547751605270676e-08	6.982284630804509e-08	0.17418224760233808
tabula_muris.ESmuQ2.continuous.190730__Kidney.endothelial_cell	2.729674548420384e-08	3.094743673944808e-08	0.1888787382410929
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	7.1861123920084584e-09	8.77427126843782e-09	0.20639371973237142
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	1.5646126801800885e-08	2.0138203239736734e-08	0.21859780038750898
tabula_muris.ESmuQ2.continuous.190730__Heart.smooth_muscle_cell	1.0360076787452715e-08	1.3800525642040715e-08	0.2264161276128327
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	9.307201375729694e-09	1.2529997528667371e-08	0.22880333982720025
