Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	2.7214772944984813e-08	6.100248270414343e-09	4.07402250160936e-06
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	2.6837740892619753e-08	9.453087504572138e-09	0.002262438702923953
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	2.105345628673529e-08	7.57626028626512e-09	0.0027274021750709324
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	3.1984052273405156e-08	1.2204729896244697e-08	0.00438840362803015
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	1.9554067216504132e-08	9.222405900964307e-09	0.0169912907745469
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	2.026000942221648e-08	1.0848014545190988e-08	0.030907267974334275
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.astrocyte	1.216925826858742e-08	8.413348196673793e-09	0.07402933180504408
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	1.1476589356529787e-08	8.175900918089371e-09	0.08020269408438557
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	6.974220251329104e-08	5.036179499004428e-08	0.08305320555492718
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	1.3721054790523908e-08	1.0327020944299441e-08	0.09198080048639462
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	1.4373700044775252e-08	1.0853608904089684e-08	0.09269765070821967
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	3.338594677898492e-08	2.847905253160505e-08	0.12053864348793147
tabula_muris.ESmuQ2.continuous.190730__Liver.Kupffer_cell	4.967933334995047e-08	5.0566174707312494e-08	0.16293620482074994
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	6.014392681069431e-09	6.590100986315574e-09	0.18071583836421679
tabula_muris.ESmuQ2.continuous.190730__Kidney.endothelial_cell	2.012429008194398e-08	2.326594786128916e-08	0.19352829793326903
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	1.503793551362902e-08	1.744518350939121e-08	0.19434080439922513
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	7.560234944664411e-09	9.575712105468473e-09	0.21490350138660297
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	6.575442602361533e-09	9.852521472987737e-09	0.2522625533071156
tabula_muris.ESmuQ2.continuous.190730__Heart.smooth_muscle_cell	6.721118575202624e-09	1.0927687637647693e-08	0.26925951199364007
tabula_muris.ESmuQ2.continuous.190730__Skin.keratinocyte_stem_cell	7.245524731228501e-09	1.2065500571314981e-08	0.27408123940205864
tabula_muris.ESmuQ2.continuous.190730__Heart.unknown_cell_type	8.072675560459256e-09	1.3782917729582656e-08	0.27903806363901473
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	5.124783219078127e-09	9.114089181683194e-09	0.28695840257101957
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	8.143326186852735e-09	1.4846021065919149e-08	0.2916677573484884
