Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	5.928246782476474e-08	1.9563424544296897e-08	0.001221674094008913
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	6.552634982752202e-08	2.4179458802066226e-08	0.003364153496175796
tabula_muris.ESmuQ2.continuous.190730__Skin.basal_cell_of_epidermis	3.054120013275827e-08	1.6537922170955846e-08	0.032392600981670294
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_ductal_cell	3.603457438374789e-08	1.983755690867752e-08	0.03464819725948695
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	2.350838173582048e-08	1.4332712884682299e-08	0.05048276585862331
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.endothelial_cell	3.505533037934565e-08	2.267943883467591e-08	0.06109000072800481
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	6.822458816732349e-08	4.4318635664081633e-08	0.061852014628861904
tabula_muris.ESmuQ2.continuous.190730__Tongue.basal_cell_of_epidermis	2.1291258407801195e-08	1.4296843673691327e-08	0.06821368381394004
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	1.3309905997684612e-08	9.058567571508917e-09	0.07087343388086799
tabula_muris.ESmuQ2.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	3.9136524570408843e-08	2.7066851606482762e-08	0.07409970422716584
tabula_muris.ESmuQ2.continuous.190730__Pancreas.endothelial_cell	4.087247727822091e-08	2.8915568485708035e-08	0.07875274866598592
tabula_muris.ESmuQ2.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	2.7165195254128765e-08	2.1026502292840397e-08	0.09818718404599713
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_cell	2.5024644383603282e-08	1.9757992443400074e-08	0.10265668015023821
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_urothelial_cell	2.7069701604173183e-08	2.144266814883684e-08	0.10339844158292716
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.luminal_epithelial_cell_of_mammary_gland	2.6707447014786336e-08	2.1482662372282405e-08	0.10689534657150268
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	2.4320372801031592e-08	2.0775231297161733e-08	0.12087121365487286
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	2.5759383671753358e-08	2.214100787239874e-08	0.12232872423981112
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	1.785865623235477e-08	1.6259777715790906e-08	0.13602947574599578
tabula_muris.ESmuQ2.continuous.190730__Marrow.hematopoietic_precursor_cell	2.308416178058712e-08	2.1139195589963465e-08	0.1374148851376878
tabula_muris.ESmuQ2.continuous.190730__Lung.stromal_cell	2.2680652588136336e-08	2.0847243508947005e-08	0.1383097128779186
tabula_muris.ESmuQ2.continuous.190730__Kidney.endothelial_cell	2.6397139107832958e-08	2.4314356770776675e-08	0.1388145895825194
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	1.445665198367615e-08	1.3404461036870674e-08	0.14040632655487328
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.endothelial_cell	2.7885206911878736e-08	2.617231044659849e-08	0.14333687240818127
tabula_muris.ESmuQ2.continuous.190730__Marrow.precursor_B_cell	2.2437427120963655e-08	2.1625642211673507e-08	0.14974258107853206
tabula_muris.ESmuQ2.continuous.190730__Heart.smooth_muscle_cell	1.867120648893595e-08	1.9231650379859715e-08	0.16580943473629456
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	1.7535783034645248e-08	1.8683661231482496e-08	0.1739777173428716
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.large_intestine_goblet_cell	1.4396057076144422e-08	1.5379937250629683e-08	0.17462929920318132
tabula_muris.ESmuQ2.continuous.190730__Heart.endocardial_cell	2.022464308973487e-08	2.3571143105232487e-08	0.19543917690106494
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	1.3816818504803165e-08	1.6337911136225915e-08	0.1988626733760181
tabula_muris.ESmuQ2.continuous.190730__Lung.lung_endothelial_cell	1.861905389642403e-08	2.2028876328249955e-08	0.19899645365358604
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.basal_cell	1.6921908727468445e-08	2.031269435709658e-08	0.20240245322327016
tabula_muris.ESmuQ2.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	1.547904823818564e-08	1.8822505081613544e-08	0.2054334047672795
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.endothelial_cell	1.499237742463345e-08	1.824943999238903e-08	0.20567354771784307
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocytopoietic_cell	1.860469041212265e-08	2.3008276050719786e-08	0.2093701516486785
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_stellate_cell	2.1361234096472348e-08	2.7040156113821514e-08	0.21476916738152424
tabula_muris.ESmuQ2.continuous.190730__Kidney.macrophage	2.728005597102918e-08	3.822718571208845e-08	0.23772808637899462
tabula_muris.ESmuQ2.continuous.190730__Lung.classical_monocyte	1.5101599767044932e-08	2.1515593699621826e-08	0.24137359725730761
tabula_muris.ESmuQ2.continuous.190730__Lung.unknown_cell_type	1.4207613020960775e-08	2.0773451812177487e-08	0.24700928749965662
tabula_muris.ESmuQ2.continuous.190730__Lung.epithelial_cell_of_lung	1.571975649319386e-08	2.363211990476446e-08	0.252965750917609
tabula_muris.ESmuQ2.continuous.190730__Heart.myofibroblast_cell	1.208763427154359e-08	1.9000261002921137e-08	0.262328726564122
tabula_muris.ESmuQ2.continuous.190730__Trachea.epithelial_cell	7.962468286942692e-09	1.357076964581227e-08	0.27869028549814967
tabula_muris.ESmuQ2.continuous.190730__Skin.keratinocyte_stem_cell	9.254593281498261e-09	1.6260439217270746e-08	0.2846279194111486
tabula_muris.ESmuQ2.continuous.190730__Lung.leukocyte	1.5786646092217467e-08	2.8268928254221564e-08	0.2882702220348511
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	6.506477845160683e-09	1.2064747508513538e-08	0.2948410919806668
tabula_muris.ESmuQ2.continuous.190730__Heart.fibroblast	8.00835243839636e-09	1.708065224271363e-08	0.3195865741556648
tabula_muris.ESmuQ2.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	7.69108689560951e-09	1.715385393563996e-08	0.326947019118844
tabula_muris.ESmuQ2.continuous.190730__Liver.hepatocyte	4.966400410154092e-09	1.1255446466985133e-08	0.3295181108526418
tabula_muris.ESmuQ2.continuous.190730__Marrow.basophil	1.865768455011109e-08	4.384414447301579e-08	0.33521947884439535
tabula_muris.ESmuQ2.continuous.190730__Trachea.mesenchymal_cell	5.3479644022413455e-09	1.5381856347851188e-08	0.36404024485303865
tabula_muris.ESmuQ2.continuous.190730__Marrow.monocyte	6.927010891565635e-09	2.1074170631132106e-08	0.37119246458010474
tabula_muris.ESmuQ2.continuous.190730__Lung.monocyte	8.692597972888179e-09	3.166447378803333e-08	0.39184170958187836
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	5.6191453159901256e-09	2.1424310649114468e-08	0.39655320173110326
tabula_muris.ESmuQ2.continuous.190730__Liver.Kupffer_cell	5.338756391566426e-09	2.2015480854909665e-08	0.40419633823416057
tabula_muris.ESmuQ2.continuous.190730__Fat.unknown_cell_type	5.562049392189379e-09	2.5490825716093843e-08	0.4136373879952401
tabula_muris.ESmuQ2.continuous.190730__Skin.epidermal_cell	4.2617077872426985e-09	2.4394010467530105e-08	0.4306564894573574
tabula_muris.ESmuQ2.continuous.190730__Thymus.immature_T_cell	5.654690491743535e-09	3.8124078252382535e-08	0.44104379954929723
tabula_muris.ESmuQ2.continuous.190730__Spleen.macrophage	3.813526559237087e-09	2.7082375914755926e-08	0.44400918708066467
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	1.4555496591654068e-09	1.3255399920780478e-08	0.45628080208617183
tabula_muris.ESmuQ2.continuous.190730__Skin.stem_cell_of_epidermis	1.428050614690263e-09	1.501925831754049e-08	0.46212512537360156
tabula_muris.ESmuQ2.continuous.190730__Lung.myeloid_cell	2.9006742629206883e-09	4.2014285076572887e-08	0.4724788140398204
tabula_muris.ESmuQ2.continuous.190730__Heart.cardiac_muscle_cell	9.97620281114151e-10	1.911288452149077e-08	0.47918617333786234
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.macrophage	1.0950041237291593e-09	2.1949311102342048e-08	0.4801058764343155
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte	-1.7719504105260964e-10	2.297393743533967e-08	0.50307696027641
tabula_muris.ESmuQ2.continuous.190730__Fat.natural_killer_cell	-8.454701025817997e-10	2.8074747670582945e-08	0.5120123179392924
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.T_cell	-1.0069073196268862e-09	3.2160258870611434e-08	0.51248846552045
tabula_muris.ESmuQ2.continuous.190730__Lung.natural_killer_cell	-1.1984450798662115e-09	3.04467450237537e-08	0.5156991159459161
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.lymphocyte	-1.5989288061814287e-09	2.846951959498856e-08	0.5223939543546753
tabula_muris.ESmuQ2.continuous.190730__Lung.ciliated_columnar_cell_of_tracheobronchial_tree	-1.4913497289656765e-09	1.1830508333539956e-08	0.5501576460144053
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	-2.3187213332062802e-09	1.601755781907462e-08	0.5575503022101691
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	-3.462944490258939e-09	1.7128215312436853e-08	0.5801111269902437
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	-4.899236548482578e-09	2.4000855551321507e-08	0.580873098614876
tabula_muris.ESmuQ2.continuous.190730__Fat.endothelial_cell	-5.442271453333289e-09	2.305966312383304e-08	0.593286877803837
tabula_muris.ESmuQ2.continuous.190730__Pancreas.leukocyte	-1.0014595451696303e-08	3.683586964720987e-08	0.6071392981583619
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.macrophage	-6.818233092467633e-09	2.3629302555594863e-08	0.6135370836548979
tabula_muris.ESmuQ2.continuous.190730__Tongue.keratinocyte	-4.530263595957736e-09	1.3516781955923575e-08	0.6312472157778258
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	-7.120160415855573e-09	1.9501535912923695e-08	0.6424844836175935
tabula_muris.ESmuQ2.continuous.190730__Marrow.naive_B_cell	-7.387650422115706e-09	1.9962058777524162e-08	0.644340269735067
tabula_muris.ESmuQ2.continuous.190730__Fat.myeloid_cell	-9.00638490388189e-09	2.367587499406045e-08	0.6481770288427007
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	-8.385614107044891e-09	1.606261620864549e-08	0.6991849568767137
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	-1.0507126186485677e-08	1.9942749776146733e-08	0.7008561438308876
tabula_muris.ESmuQ2.continuous.190730__Liver.B_cell	-1.448736784363727e-08	2.6441862068587244e-08	0.7081180485550529
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	-7.464000739595275e-09	1.2967540325908226e-08	0.7175541993349426
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enteroendocrine_cell	-1.2661976557851365e-08	2.1248721583763035e-08	0.7243768354118696
tabula_muris.ESmuQ2.continuous.190730__Spleen.B_cell	-1.2188916385338372e-08	2.0293390485926437e-08	0.7259583704645062
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_natural_killer_cell	-1.7362157515980642e-08	2.6053442926879296e-08	0.7474240242486805
tabula_muris.ESmuQ2.continuous.190730__Heart.endothelial_cell	-1.1901431146152002e-08	1.684649405496139e-08	0.7600499911802086
tabula_muris.ESmuQ2.continuous.190730__Heart.professional_antigen_presenting_cell	-1.133418674455448e-08	1.4606219558724272e-08	0.7811206635502133
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	-1.716813302053928e-08	2.1275135853913036e-08	0.7901545503078351
tabula_muris.ESmuQ2.continuous.190730__Heart.leukocyte	-1.8158639680713616e-08	1.926370129299944e-08	0.8270661926183123
tabula_muris.ESmuQ2.continuous.190730__Spleen.T_cell	-1.946272745609184e-08	1.929184309534845e-08	0.8434785952281836
tabula_muris.ESmuQ2.continuous.190730__Fat.B_cell	-2.317187202919834e-08	2.139900883856609e-08	0.8605620323557572
tabula_muris.ESmuQ2.continuous.190730__Heart.unknown_cell_type	-2.091297180102248e-08	1.9219711829102153e-08	0.8617245567133095
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.astrocyte	-1.5827825948176058e-08	1.43551222047045e-08	0.8648975504769038
tabula_muris.ESmuQ2.continuous.190730__Skin.leukocyte	-3.369384519942691e-08	2.9849979080023903e-08	0.8705031603434776
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	-1.7181608720455085e-08	1.5094169888672912e-08	0.8725012095566623
tabula_muris.ESmuQ2.continuous.190730__Marrow.mature_natural_killer_cell	-2.435354427826572e-08	2.0736959676317294e-08	0.8798831453031466
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	-2.4416978278567245e-08	2.0201633455616187e-08	0.8866039372660746
tabula_muris.ESmuQ2.continuous.190730__Lung.B_cell	-3.2220278687664535e-08	2.449557702919781e-08	0.9058039963846268
tabula_muris.ESmuQ2.continuous.190730__Liver.natural_killer_cell	-4.076955095975261e-08	3.091098444279297e-08	0.9064044249796599
tabula_muris.ESmuQ2.continuous.190730__Thymus.leukocyte	-3.094294408391006e-08	2.3349326784394888e-08	0.9074505427292214
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.stromal_cell	-1.9937129243612175e-08	1.4543377063971774e-08	0.9147927927918962
tabula_muris.ESmuQ2.continuous.190730__Trachea.endothelial_cell	-2.713771838253263e-08	1.9619706898765533e-08	0.9166961924270206
tabula_muris.ESmuQ2.continuous.190730__Fat.T_cell	-3.2816079036054946e-08	2.160438085824858e-08	0.9356130691403748
tabula_muris.ESmuQ2.continuous.190730__Heart.erythrocyte	-1.5682076809970692e-08	1.0232621221902222e-08	0.9373074968284034
tabula_muris.ESmuQ2.continuous.190730__Lung.T_cell	-4.100692527257416e-08	2.4532867703271868e-08	0.9526894735413428
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_T_cell	-4.5129684792592895e-08	2.688443159624327e-08	0.9533903469414284
tabula_muris.ESmuQ2.continuous.190730__Marrow.regulatory_T_cell	-7.642503401249387e-08	4.310409400292344e-08	0.9618884822847951
tabula_muris.ESmuQ2.continuous.190730__Marrow.pre-natural_killer_cell	-4.075416229753626e-08	2.2618218279221984e-08	0.9642138455542225
tabula_muris.ESmuQ2.continuous.190730__Kidney.leukocyte	-4.308154140823344e-08	2.1749777087971126e-08	0.9761920709728922
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	-3.999824500082766e-08	1.9966681872871542e-08	0.9774247412359052
