Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Fat.T_cell	6.332611305585395e-07	1.8288388979918777e-07	0.00026745146058810247
tabula_muris.ESmuQ2.continuous.190730__Thymus.DN1_thymic_pro-T_cell	7.648875041133648e-07	2.783611260923799e-07	0.002999606151972917
tabula_muris.ESmuQ2.continuous.190730__Lung.T_cell	1.1949286339182824e-06	4.383829340099766e-07	0.0032076377478158103
tabula_muris.ESmuQ2.continuous.190730__Trachea.blood_cell	4.6684697921458825e-07	1.7281980706775924e-07	0.0034529195346114055
tabula_muris.ESmuQ2.continuous.190730__Liver.natural_killer_cell	1.080999509961901e-06	4.113516262043442e-07	0.004295425264547279
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	5.629668049229251e-07	2.3674585800482481e-07	0.008704893123625315
tabula_muris.ESmuQ2.continuous.190730__Fat.natural_killer_cell	5.799344243279255e-07	2.4402977333525783e-07	0.00873910706210593
tabula_muris.ESmuQ2.continuous.190730__Marrow.regulatory_T_cell	1.0154162841767087e-06	4.31281264579894e-07	0.009275873274491567
tabula_muris.ESmuQ2.continuous.190730__Lung.natural_killer_cell	5.870704020040185e-07	2.4950673939532906e-07	0.00931321965251725
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_natural_killer_cell	6.705749714155797e-07	2.861206367865762e-07	0.009547294745228387
tabula_muris.ESmuQ2.continuous.190730__Fat.B_cell	3.650341694090328e-07	1.5807886269498195e-07	0.010466513020208018
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_T_cell	7.041476732045046e-07	3.191414602446075e-07	0.01367866503143105
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.T_cell	6.498732141485646e-07	2.953262466943125e-07	0.01388478309544952
tabula_muris.ESmuQ2.continuous.190730__Marrow.mature_natural_killer_cell	4.285379305065654e-07	1.993285931754884e-07	0.015781287353802832
tabula_muris.ESmuQ2.continuous.190730__Marrow.basophil	7.048817687331863e-07	3.3165245959933543e-07	0.016778179859002915
tabula_muris.ESmuQ2.continuous.190730__Spleen.macrophage	4.843820988664916e-07	2.299163246520639e-07	0.017568518484805607
tabula_muris.ESmuQ2.continuous.190730__Kidney.leukocyte	3.2744499773177314e-07	1.6849110490491667e-07	0.02598414416898853
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_NK_T_cell	5.241823979170115e-07	2.8046432311334203e-07	0.030812752022168752
tabula_muris.ESmuQ2.continuous.190730__Marrow.pre-natural_killer_cell	3.0254259500585194e-07	1.709805223167251e-07	0.038408862759792654
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	2.2720905946889246e-07	1.3853204498970372e-07	0.05049019802544874
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_stellate_cell	1.8631158360830675e-07	1.2562292849909544e-07	0.0690236911463162
tabula_muris.ESmuQ2.continuous.190730__Fat.unknown_cell_type	2.9822995439311957e-07	2.0412713162378586e-07	0.0720075761290339
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.microglial_cell	1.441563829517694e-07	1.0736830490185156e-07	0.0896951878777304
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.lymphocyte	2.2753714140388272e-07	1.702918945242482e-07	0.09074856435470202
tabula_muris.ESmuQ2.continuous.190730__Spleen.B_cell	1.656895965012266e-07	1.2935666247222034e-07	0.10011894857245357
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	1.7855284026384314e-07	1.3942727800810473e-07	0.10016424174489041
tabula_muris.ESmuQ2.continuous.190730__Thymus.immature_T_cell	1.5814920192459447e-07	1.241391508011644e-07	0.10133752669211177
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.B_cell	2.4359259119271037e-07	1.9138905188452908e-07	0.10155136710491508
tabula_muris.ESmuQ2.continuous.190730__Spleen.T_cell	1.6002081130640684e-07	1.29182849513476e-07	0.10772541918935497
tabula_muris.ESmuQ2.continuous.190730__Marrow.precursor_B_cell	1.7929910103777726e-07	1.4942300985536392e-07	0.11508073098775862
tabula_muris.ESmuQ2.continuous.190730__Heart.leukocyte	1.4493103450497582e-07	1.2080517775991615e-07	0.11512622762652586
tabula_muris.ESmuQ2.continuous.190730__Kidney.endothelial_cell	1.4925220230253509e-07	1.2486400806754506e-07	0.11598139561284904
tabula_muris.ESmuQ2.continuous.190730__Lung.myeloid_cell	5.343526918666392e-07	4.512093885112643e-07	0.11815356090265738
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	2.5019926751585915e-07	2.1270100991297253e-07	0.1197383816046127
tabula_muris.ESmuQ2.continuous.190730__Pancreas.leukocyte	2.4796986776639955e-07	2.286775453640037e-07	0.13910155476699032
tabula_muris.ESmuQ2.continuous.190730__Heart.endothelial_cell	9.480209877348177e-08	1.1868220658951441e-07	0.2122062440942526
tabula_muris.ESmuQ2.continuous.190730__Trachea.endothelial_cell	8.208207768822709e-08	1.1316125829906583e-07	0.23411715461349697
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.stromal_cell	6.655087090209708e-08	9.935874380134462e-08	0.2514914138052602
tabula_muris.ESmuQ2.continuous.190730__Pancreas.endothelial_cell	9.053022426549435e-08	1.4078267287634042e-07	0.2600959977792456
tabula_muris.ESmuQ2.continuous.190730__Heart.fibroblast	4.886923036896222e-08	7.613926780868511e-08	0.26048852590278
tabula_muris.ESmuQ2.continuous.190730__Thymus.leukocyte	1.2350288301535596e-07	1.9280896347301757e-07	0.26090906125811153
tabula_muris.ESmuQ2.continuous.190730__Heart.myofibroblast_cell	5.5199744541701124e-08	9.581491341807197e-08	0.2822710696273417
tabula_muris.ESmuQ2.continuous.190730__Heart.smooth_muscle_cell	6.037733466823973e-08	1.0658835535769518e-07	0.2855428065140204
tabula_muris.ESmuQ2.continuous.190730__Liver.B_cell	7.524627196403816e-08	1.4960902424132112e-07	0.3074987421320401
tabula_muris.ESmuQ2.continuous.190730__Kidney.macrophage	1.0786886828843854e-07	2.223637469266617e-07	0.3138023636706248
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	5.1923175578856116e-08	1.0977225156262485e-07	0.3181036630018138
tabula_muris.ESmuQ2.continuous.190730__Heart.erythrocyte	2.3286717201154993e-08	5.3365126292075213e-08	0.3312856661573047
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	2.119734429373005e-08	5.179969584128169e-08	0.34119001042492586
tabula_muris.ESmuQ2.continuous.190730__Fat.myeloid_cell	5.568784412502187e-08	1.370250146275293e-07	0.342222005724077
tabula_muris.ESmuQ2.continuous.190730__Marrow.hematopoietic_precursor_cell	4.1556890398375924e-08	1.0709924299517049e-07	0.34899977999243315
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte	3.652720824667284e-08	1.1889817301692912e-07	0.37934016523965064
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	2.947851726733769e-08	9.762555342230503e-08	0.38134320993760157
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	4.195912626569993e-08	1.4108650675427305e-07	0.3830805741218347
tabula_muris.ESmuQ2.continuous.190730__Lung.ciliated_columnar_cell_of_tracheobronchial_tree	1.8279503208188598e-08	6.204719769205686e-08	0.38414727602609205
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	2.0453405385344915e-08	7.408291290823128e-08	0.3912402275919499
tabula_muris.ESmuQ2.continuous.190730__Lung.monocyte	5.675274048181156e-08	2.1770995689340073e-07	0.3971694523895812
tabula_muris.ESmuQ2.continuous.190730__Heart.professional_antigen_presenting_cell	2.623580573313309e-08	1.0525577834804142e-07	0.401580752186643
tabula_muris.ESmuQ2.continuous.190730__Trachea.mesenchymal_cell	1.5383598499820277e-08	7.693746246922287e-08	0.4207600822926612
tabula_muris.ESmuQ2.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	1.5298624284929565e-08	8.209974409098997e-08	0.4260883162303784
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.endothelial_cell	1.4420200692874599e-08	9.256189706897599e-08	0.43809935006960776
tabula_muris.ESmuQ2.continuous.190730__Heart.cardiac_muscle_cell	8.408557290728413e-09	8.232946108692868e-08	0.45932554210588317
tabula_muris.ESmuQ2.continuous.190730__Lung.stromal_cell	7.765136649195201e-09	7.669072583923972e-08	0.4596749647000239
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	5.7657377632094665e-09	7.773443672392414e-08	0.47043666474455686
tabula_muris.ESmuQ2.continuous.190730__Lung.leukocyte	1.0933477164174878e-08	1.49140574648373e-07	0.4707797661213903
tabula_muris.ESmuQ2.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	7.090514979123905e-09	1.3646099547274235e-07	0.47928027802530443
tabula_muris.ESmuQ2.continuous.190730__Marrow.naive_B_cell	-9.69669662586275e-11	1.0720928262820279e-07	0.5003608289918576
tabula_muris.ESmuQ2.continuous.190730__Lung.epithelial_cell_of_lung	-4.494736505416887e-09	1.1871335749208849e-07	0.5151011827032488
tabula_muris.ESmuQ2.continuous.190730__Skin.leukocyte	-1.2692972412657295e-08	3.096164843051411e-07	0.5163503739856488
tabula_muris.ESmuQ2.continuous.190730__Lung.lung_endothelial_cell	-5.915491104999405e-09	1.131712587437996e-07	0.5208433249539381
tabula_muris.ESmuQ2.continuous.190730__Trachea.epithelial_cell	-4.494417700618838e-09	7.894492933673167e-08	0.5226999398590662
tabula_muris.ESmuQ2.continuous.190730__Lung.B_cell	-9.524747680948321e-09	1.3788145891319126e-07	0.5275367309073463
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	-1.51322704889722e-08	1.6258424842114282e-07	0.537077379452042
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_cell	-2.5979771953397473e-08	8.205253896010444e-08	0.6242353946458432
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.macrophage	-4.2083416124763785e-08	1.3218946648000753e-07	0.624892849937844
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	-4.5499176676818076e-08	1.3923361874146046e-07	0.6280839828712155
tabula_muris.ESmuQ2.continuous.190730__Tongue.basal_cell_of_epidermis	-2.9551871056670714e-08	8.485877104508982e-08	0.6361729127051879
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	-2.3757907282660993e-08	4.394527741574073e-08	0.7056168933948832
