Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	2.1572763128644874e-08	4.572830036380039e-09	1.1932409969232519e-06
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	1.372036051634047e-08	5.24601229814845e-09	0.004456300080785444
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	1.933973020940037e-08	8.376002232491382e-09	0.010473310977722784
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	3.1586951551854735e-08	1.3838125719387436e-08	0.011226872949151794
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.stromal_cell	1.203818630266085e-08	6.892044678769621e-09	0.04034656040848784
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocytopoietic_cell	1.1261544994789843e-08	8.273693301618835e-09	0.08673682406251426
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.macrophage	1.5325733589889314e-08	1.1362018669595065e-08	0.08869151928588698
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_NK_T_cell	9.166709147613774e-09	6.8930552643052106e-09	0.09178433661342306
tabula_muris.ESmuQ2.continuous.190730__Marrow.pre-natural_killer_cell	1.0089448101006388e-08	8.15720504329554e-09	0.10806662994798372
tabula_muris.ESmuQ2.continuous.190730__Marrow.mature_natural_killer_cell	9.847633042389911e-09	8.011123706183077e-09	0.10948999760390293
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	8.441387662938284e-09	6.884562661917494e-09	0.11007436401310172
tabula_muris.ESmuQ2.continuous.190730__Marrow.naive_B_cell	9.912364238865407e-09	8.246878904000117e-09	0.11469078928904569
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte	8.582920131568219e-09	7.237146277905633e-09	0.11782029973335445
tabula_muris.ESmuQ2.continuous.190730__Spleen.macrophage	2.5356802057998708e-08	2.2840088745427884e-08	0.1334589206626136
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	1.2385210747195535e-08	1.1245584381126563e-08	0.13537437650138495
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	7.238566565088665e-09	6.970257230254217e-09	0.1495201886680187
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	5.9877015880733605e-09	6.179110753569268e-09	0.16626681049677233
tabula_muris.ESmuQ2.continuous.190730__Heart.myofibroblast_cell	7.6099037840324e-09	7.89099989720035e-09	0.1674283165272677
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	4.994752016530516e-09	5.445520308247357e-09	0.17951311282352334
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	3.36733821403312e-09	3.763737831534642e-09	0.18547928175534173
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	4.775588918573191e-09	6.167264423622361e-09	0.2193634691245938
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.macrophage	6.0111186800026645e-09	8.587704101453181e-09	0.24197362207980505
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_natural_killer_cell	6.833115585204273e-09	9.97303990831962e-09	0.24662187441948596
tabula_muris.ESmuQ2.continuous.190730__Lung.leukocyte	6.242854919766636e-09	9.274599209357079e-09	0.25043764638318383
tabula_muris.ESmuQ2.continuous.190730__Lung.natural_killer_cell	6.116102150808667e-09	9.355647568116328e-09	0.25664169207156834
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.microglial_cell	5.164142014748745e-09	8.11916520984287e-09	0.2623740446001249
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	3.0513243644450496e-09	5.233298188367722e-09	0.27992661425605814
tabula_muris.ESmuQ2.continuous.190730__Fat.T_cell	4.366965027963089e-09	7.521175438747712e-09	0.2807473921525126
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	4.794095254869084e-09	8.401202325836558e-09	0.28412051104584624
