Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	1.3954689203868019e-08	2.916328121046629e-09	8.548503429156156e-07
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	7.491740335229565e-09	4.072762309783693e-09	0.0329227500860211
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.T_cell	1.4281028409656639e-08	7.870348364684672e-09	0.03479764260840727
tabula_muris.ESmuQ2.continuous.190730__Heart.professional_antigen_presenting_cell	7.738862173860302e-09	5.5458688319742505e-09	0.08144336500071442
tabula_muris.ESmuQ2.continuous.190730__Heart.endothelial_cell	1.0199706064484293e-08	7.884029732815025e-09	0.09788153482788381
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.microglial_cell	8.205243389301489e-09	6.7888352675796775e-09	0.11340100055462426
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	5.770570872488877e-09	4.793947676892511e-09	0.11434890264441827
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	6.8848016812488526e-09	5.79641305379819e-09	0.11746214929872889
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.large_intestine_goblet_cell	4.950279328003382e-09	4.5323580726745406e-09	0.13737076677437549
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.astrocyte	3.8576427182432715e-09	3.575510319189784e-09	0.14031461855257377
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	3.405954054776952e-09	3.359345781569329e-09	0.15532138915044913
tabula_muris.ESmuQ2.continuous.190730__Heart.leukocyte	4.87772419310607e-09	4.85261794292985e-09	0.15740659548203162
tabula_muris.ESmuQ2.continuous.190730__Trachea.endothelial_cell	4.265751557261886e-09	4.302396557368699e-09	0.1607249791129029
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	4.895678159266373e-09	4.974089305053411e-09	0.16249972482607528
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	6.28664971724333e-09	6.431682888834133e-09	0.1641731607440119
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_T_cell	5.909123426091941e-09	8.49103613540526e-09	0.24323793306939168
tabula_muris.ESmuQ2.continuous.190730__Spleen.macrophage	5.043040276244075e-09	8.051983694193091e-09	0.2655557177819824
tabula_muris.ESmuQ2.continuous.190730__Heart.erythrocyte	1.9873702051039926e-09	3.242101346781558e-09	0.269942036748695
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	1.9988758296566314e-09	3.5584536925475475e-09	0.287151370873472
tabula_muris.ESmuQ2.continuous.190730__Lung.lung_endothelial_cell	2.5184647091362713e-09	4.638794335025497e-09	0.2935946326915323
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	2.2566765597268344e-09	4.410738963195586e-09	0.3044541845305933
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.macrophage	2.5281196923916176e-09	4.992115343407225e-09	0.30628003009116916
tabula_muris.ESmuQ2.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	2.2184131862574188e-09	4.918505969735137e-09	0.3259825394292857
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	1.5247311603173559e-09	3.5068076959245584e-09	0.3318567859831608
tabula_muris.ESmuQ2.continuous.190730__Lung.myeloid_cell	2.731056497572563e-09	7.130954535980305e-09	0.3508650336012532
tabula_muris.ESmuQ2.continuous.190730__Lung.natural_killer_cell	2.194800258527353e-09	6.084407509466764e-09	0.3591523720170454
tabula_muris.ESmuQ2.continuous.190730__Tongue.basal_cell_of_epidermis	9.553925081090994e-10	3.4287808280066515e-09	0.3902608899121775
tabula_muris.ESmuQ2.continuous.190730__Marrow.pre-natural_killer_cell	1.4838960203594626e-09	5.336222976308003e-09	0.3904755362936209
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte	1.2539881398493827e-09	4.57690655422047e-09	0.39204938437906406
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.macrophage	1.3263648737292844e-09	6.01646762529426e-09	0.412758116071176
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.stromal_cell	8.248284721914158e-10	4.2605333814602e-09	0.42324554072009685
tabula_muris.ESmuQ2.continuous.190730__Heart.myofibroblast_cell	7.434289902091807e-10	4.387929907228243e-09	0.4327308248829674
tabula_muris.ESmuQ2.continuous.190730__Marrow.mature_natural_killer_cell	8.056334531020041e-10	5.3886082207392935e-09	0.4405768806954917
tabula_muris.ESmuQ2.continuous.190730__Trachea.epithelial_cell	7.143436267716229e-10	5.118961638906604e-09	0.4445083505941969
tabula_muris.ESmuQ2.continuous.190730__Liver.natural_killer_cell	3.07756403964263e-10	6.070271299590019e-09	0.479782705176356
tabula_muris.ESmuQ2.continuous.190730__Liver.hepatocyte	7.164991723036816e-11	3.363543913126183e-09	0.491502409222286
tabula_muris.ESmuQ2.continuous.190730__Spleen.T_cell	-1.220918209318462e-10	4.1613974975034185e-09	0.5117029441666596
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	-2.967655924165269e-10	7.0274326471978574e-09	0.5168421625087761
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	-3.7141008538919466e-10	4.773257759925027e-09	0.5310106457100283
tabula_muris.ESmuQ2.continuous.190730__Lung.unknown_cell_type	-6.081775211894265e-10	6.389805797475792e-09	0.5379138115234556
tabula_muris.ESmuQ2.continuous.190730__Fat.T_cell	-7.756491920015855e-10	5.531170290728892e-09	0.5557618067171338
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_NK_T_cell	-7.876583573157164e-10	5.058278623171927e-09	0.5618718258718879
tabula_muris.ESmuQ2.continuous.190730__Thymus.leukocyte	-1.2417584762483715e-09	6.811642361477263e-09	0.5723261244959222
tabula_muris.ESmuQ2.continuous.190730__Lung.leukocyte	-1.0222052697183931e-09	4.882753815232141e-09	0.5829125495964315
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_natural_killer_cell	-1.164010953033228e-09	5.24921607072329e-09	0.587745546707864
tabula_muris.ESmuQ2.continuous.190730__Lung.T_cell	-1.3732870341914314e-09	6.167397615644842e-09	0.5881033576429104
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.endothelial_cell	-1.294063778234629e-09	4.067630863118928e-09	0.6248094812564982
