Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_stellate_cell	9.288423594570569e-08	3.0319486889329496e-08	0.0010937622031048978
tabula_muris.ESmuQ2.continuous.190730__Heart.smooth_muscle_cell	7.64138059111834e-08	2.4969577026425157e-08	0.001105664258412802
tabula_muris.ESmuQ2.continuous.190730__Heart.myofibroblast_cell	6.98248761545503e-08	2.2969377630521946e-08	0.001183238216273035
tabula_muris.ESmuQ2.continuous.190730__Pancreas.endothelial_cell	8.567138820431814e-08	2.8727541482049167e-08	0.0014309063272902416
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	6.218004422546089e-08	2.091213714216605e-08	0.0014726257366419696
tabula_muris.ESmuQ2.continuous.190730__Kidney.endothelial_cell	8.852700045398599e-08	3.129242177878865e-08	0.0023345126178032226
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	6.932515103762037e-08	2.6349262248186875e-08	0.0042565867366289
tabula_muris.ESmuQ2.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	9.483009582932853e-08	4.4015088675822895e-08	0.015600858269296086
tabula_muris.ESmuQ2.continuous.190730__Fat.endothelial_cell	4.676866247434195e-08	2.1973095710220114e-08	0.016649844945695044
tabula_muris.ESmuQ2.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	5.110707659149056e-08	2.9474717549729584e-08	0.041465313509694124
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.endothelial_cell	2.6909213114099518e-08	1.56261316464602e-08	0.04252887963875805
tabula_muris.ESmuQ2.continuous.190730__Lung.lung_endothelial_cell	4.296296708456674e-08	2.5344598298482798e-08	0.045023217903458874
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.endothelial_cell	6.438228281652604e-08	3.847715993236478e-08	0.047138086704977225
tabula_muris.ESmuQ2.continuous.190730__Heart.cardiac_muscle_cell	2.240038690140201e-08	1.4842282212446364e-08	0.06562027213214254
tabula_muris.ESmuQ2.continuous.190730__Marrow.precursor_B_cell	3.131225541973766e-08	2.1141592384518756e-08	0.06929347418297757
tabula_muris.ESmuQ2.continuous.190730__Heart.endothelial_cell	2.1584822727196715e-08	1.528790971703167e-08	0.07899140866141668
tabula_muris.ESmuQ2.continuous.190730__Heart.endocardial_cell	7.950962489509296e-08	6.141751111207974e-08	0.0977332988455697
tabula_muris.ESmuQ2.continuous.190730__Trachea.epithelial_cell	2.6319107863537874e-08	2.308126210449445e-08	0.12708477675156804
tabula_muris.ESmuQ2.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	1.967134838696171e-08	1.7492628184913718e-08	0.13038972384003256
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	2.2216217595905643e-08	2.371398994543008e-08	0.1744203978365344
