Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	1.944347351118329e-07	6.207158943007949e-08	0.0008668370781470066
tabula_muris.ESmuQ2.continuous.190730__Trachea.mesenchymal_cell	3.492219151413941e-07	1.3120915625494747e-07	0.0038888969851021927
tabula_muris.ESmuQ2.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	1.4767933325696086e-07	5.968521164850946e-08	0.00667481015340033
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	1.1117628083371517e-07	4.6524080612112e-08	0.008432212108314114
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_stellate_cell	1.9090938870961904e-07	8.626818467501762e-08	0.013449663564503778
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	1.4646419962888346e-07	6.913818674967994e-08	0.017069461792693044
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_cell	1.092765298533342e-07	5.1995026494132246e-08	0.017790976501261976
tabula_muris.ESmuQ2.continuous.190730__Lung.stromal_cell	2.0860736880225976e-07	1.0352943729243267e-07	0.02195457514058378
tabula_muris.ESmuQ2.continuous.190730__Heart.endocardial_cell	2.627872519755268e-07	1.330140842076223e-07	0.02409807784488362
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.stromal_cell	1.039266115958362e-07	5.540050990250454e-08	0.030333520835722636
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	8.965195996982476e-08	5.0332002444992224e-08	0.03743892299115529
tabula_muris.ESmuQ2.continuous.190730__Heart.fibroblast	1.0532317213351842e-07	6.316376812433009e-08	0.047711304497184914
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocytopoietic_cell	1.3479375034839577e-07	8.336593892718244e-08	0.0529507581341264
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	9.625083474621976e-08	6.346251701055027e-08	0.06467672453566045
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.endothelial_cell	2.5511179554196584e-07	1.721161848382896e-07	0.06914262653889075
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	1.1229551101762247e-07	8.016310277895739e-08	0.08063127902723022
tabula_muris.ESmuQ2.continuous.190730__Tongue.basal_cell_of_epidermis	6.361496171849597e-08	4.64230359841228e-08	0.08529167784573294
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	6.008446705434329e-08	4.7921140016576045e-08	0.10495378243672226
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	7.093058053807135e-08	5.9143080566425055e-08	0.11520472426181877
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	7.02212882425427e-08	5.868865927387035e-08	0.11574972783807624
tabula_muris.ESmuQ2.continuous.190730__Heart.smooth_muscle_cell	6.71613475154038e-08	6.29593266016464e-08	0.14304421540928985
tabula_muris.ESmuQ2.continuous.190730__Trachea.endothelial_cell	7.933018345666835e-08	8.683822818314568e-08	0.180479337932975
tabula_muris.ESmuQ2.continuous.190730__Heart.myofibroblast_cell	5.0605432471143225e-08	5.548717421434054e-08	0.1808790005363144
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	1.1258471228274549e-07	1.358021612583918e-07	0.2035423688981966
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.endothelial_cell	4.131137636098793e-08	5.7542624621221554e-08	0.23640129685221173
