Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	1.4999223871884076e-07	5.5726111754378506e-08	0.0035555401218115897
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_stellate_cell	1.6712259259177026e-07	7.094917784464725e-08	0.009248265503934722
tabula_muris.ESmuQ2.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	1.1195478924271561e-07	4.8859072272673045e-08	0.01097067047245511
tabula_muris.ESmuQ2.continuous.190730__Trachea.mesenchymal_cell	2.8911272720105695e-07	1.2879643022342927e-07	0.012392856059100699
tabula_muris.ESmuQ2.continuous.190730__Lung.stromal_cell	1.8213309095368391e-07	8.450423117197087e-08	0.015568663971466926
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_cell	8.438822831654474e-08	4.095847100418196e-08	0.019683196648080527
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	1.1176010437310635e-07	5.480928425329515e-08	0.020721396068152292
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	6.968323538633017e-08	3.59468586097401e-08	0.02628070162451593
tabula_muris.ESmuQ2.continuous.190730__Heart.endocardial_cell	2.522253382509063e-07	1.3487356562729344e-07	0.030735849921240465
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.stromal_cell	8.001292697817796e-08	4.588346420122921e-08	0.04059443419501418
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	6.975889416405833e-08	4.05426254777332e-08	0.042658911300460824
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.endothelial_cell	2.3744115574823835e-07	1.3815880526916157e-07	0.0428426708798663
tabula_muris.ESmuQ2.continuous.190730__Heart.fibroblast	9.00963882040479e-08	5.688232417211392e-08	0.05660728851114362
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	6.575320764263968e-08	4.6972042758226955e-08	0.08078105412771919
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	7.249121554071576e-08	5.808805851869007e-08	0.10602398146922998
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocytopoietic_cell	7.341998159230366e-08	6.430442622676989e-08	0.12677767280015922
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	4.3341129914524e-08	3.912564350926892e-08	0.1339865650439937
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	5.153250090008218e-08	4.6987431233753556e-08	0.1363798333043742
tabula_muris.ESmuQ2.continuous.190730__Heart.smooth_muscle_cell	6.195466060565947e-08	5.793489940093123e-08	0.1424483130804759
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	1.34979384743004e-07	1.28584896316013e-07	0.14692120214200283
tabula_muris.ESmuQ2.continuous.190730__Tongue.basal_cell_of_epidermis	3.9994748130321e-08	3.927385126278203e-08	0.15425448651774687
tabula_muris.ESmuQ2.continuous.190730__Trachea.endothelial_cell	7.902750114009539e-08	8.22951233071054e-08	0.16845367115775406
tabula_muris.ESmuQ2.continuous.190730__Heart.myofibroblast_cell	4.7335077871081174e-08	5.03378332817989e-08	0.17351955810350816
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.endothelial_cell	4.1940804466342236e-08	5.113483704009469e-08	0.20605098898002888
tabula_muris.ESmuQ2.continuous.190730__Lung.lung_endothelial_cell	4.479428212855483e-08	6.666982142541058e-08	0.25082927091242024
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	3.131906611201522e-08	4.6752717762744375e-08	0.25146472102284556
tabula_muris.ESmuQ2.continuous.190730__Kidney.endothelial_cell	4.139219688721273e-08	6.279090387517942e-08	0.25488145938731205
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.endothelial_cell	6.160535404606414e-08	9.512166952650495e-08	0.2586063389853871
tabula_muris.ESmuQ2.continuous.190730__Pancreas.endothelial_cell	4.182051300501279e-08	6.484026088946199e-08	0.2594708651744414
tabula_muris.ESmuQ2.continuous.190730__Marrow.pre-natural_killer_cell	6.59712767825634e-08	1.0710893919073226e-07	0.26897138364024775
tabula_muris.ESmuQ2.continuous.190730__Fat.endothelial_cell	2.7294876638853584e-08	4.583853626249037e-08	0.275769021717025
tabula_muris.ESmuQ2.continuous.190730__Kidney.leukocyte	6.382375333881053e-08	1.431867977981739e-07	0.32789336580895934
tabula_muris.ESmuQ2.continuous.190730__Marrow.precursor_B_cell	2.3457217684244384e-08	5.4508495915703665e-08	0.33347395651062683
tabula_muris.ESmuQ2.continuous.190730__Thymus.immature_T_cell	3.049447044917184e-08	7.201800682329781e-08	0.33599135859458973
tabula_muris.ESmuQ2.continuous.190730__Marrow.hematopoietic_precursor_cell	1.6818248664770798e-08	4.5756454528526836e-08	0.35660062181267316
tabula_muris.ESmuQ2.continuous.190730__Spleen.macrophage	3.0764941823380964e-08	9.361294873317207e-08	0.37121397639336573
tabula_muris.ESmuQ2.continuous.190730__Skin.keratinocyte_stem_cell	1.1097554360906185e-08	4.153233740264399e-08	0.3946565332296745
tabula_muris.ESmuQ2.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	1.181209113094142e-08	6.973113224291938e-08	0.4327430570902976
tabula_muris.ESmuQ2.continuous.190730__Skin.leukocyte	1.1976342437467497e-08	1.1386941562243028e-07	0.4581180326257294
tabula_muris.ESmuQ2.continuous.190730__Trachea.epithelial_cell	3.4794430044064216e-09	3.7432221991307065e-08	0.46297038982173333
tabula_muris.ESmuQ2.continuous.190730__Lung.monocyte	2.5228952224481434e-09	6.875024017372106e-08	0.48536348788588096
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.T_cell	1.6812739951256639e-09	9.236274691231731e-08	0.4927384766582327
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.luminal_epithelial_cell_of_mammary_gland	-5.076699171720347e-09	4.995739221917009e-08	0.5404710782252887
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	-6.103813456426526e-09	5.751747897914187e-08	0.5422568325602164
tabula_muris.ESmuQ2.continuous.190730__Heart.endothelial_cell	-5.66099655292357e-09	4.008999717060208e-08	0.5561468738530151
