Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	1.2003995440172053e-08	2.689791861032684e-09	4.044831530243925e-06
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	9.16620692025176e-09	3.431376411578306e-09	0.0037779989711097823
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	9.13964296398926e-09	3.8571073724062496e-09	0.008904659957080285
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	1.2008286088841823e-08	5.2035853309820804e-09	0.01050806260943092
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.luminal_epithelial_cell_of_mammary_gland	8.279991606255146e-09	3.69493612183132e-09	0.012516195523624152
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	5.6440450211436706e-09	2.71030312740198e-09	0.01865112582565407
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	8.931219331445514e-09	4.758538030278153e-09	0.03026706282091395
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	8.496532179338962e-09	4.597211814844932e-09	0.032287253434943174
tabula_muris.ESmuQ2.continuous.190730__Tongue.basal_cell_of_epidermis	6.266250941247707e-09	3.401696032067151e-09	0.03273054822669002
tabula_muris.ESmuQ2.continuous.190730__Heart.myofibroblast_cell	7.688775145791387e-09	4.426798508487928e-09	0.04120502759055184
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	4.723780565300368e-09	2.920724297041954e-09	0.05290332890108502
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.basal_cell	7.316411355371327e-09	4.616249105234121e-09	0.05649162032448864
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.astrocyte	5.739272867779117e-09	3.6402480489808985e-09	0.05744196871025005
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	5.768122260057576e-09	4.136163362257028e-09	0.08157449076177292
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.microglial_cell	9.464649550408797e-09	6.94326733204099e-09	0.08641910275967118
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocytopoietic_cell	7.290040123875263e-09	5.545957673144212e-09	0.09434267496399423
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	4.960835010996524e-09	3.923691414595014e-09	0.10305606617947499
tabula_muris.ESmuQ2.continuous.190730__Skin.stem_cell_of_epidermis	5.563232024707924e-09	4.465490817209993e-09	0.10641383424057205
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_urothelial_cell	4.5454527121594945e-09	3.743366094803367e-09	0.11232254498913347
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	6.680107079478561e-09	5.600782118280746e-09	0.11649154552695695
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	4.910124947786992e-09	4.119224436373541e-09	0.1166301743117577
tabula_muris.ESmuQ2.continuous.190730__Lung.unknown_cell_type	7.682067068137126e-09	6.926258090214177e-09	0.13368872032165668
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	5.577315507330108e-09	5.223547894539791e-09	0.14282216665431396
tabula_muris.ESmuQ2.continuous.190730__Marrow.hematopoietic_precursor_cell	5.286237040360296e-09	4.954403662500904e-09	0.14299100695429884
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.endothelial_cell	4.490043853197267e-09	4.227194826248351e-09	0.1440768785602325
tabula_muris.ESmuQ2.continuous.190730__Thymus.DN1_thymic_pro-T_cell	5.666421807447985e-09	5.449264622069188e-09	0.1492046274751045
tabula_muris.ESmuQ2.continuous.190730__Fat.myeloid_cell	4.55275108082313e-09	4.381631751427173e-09	0.14938986006589167
tabula_muris.ESmuQ2.continuous.190730__Fat.unknown_cell_type	4.316636905670335e-09	4.155331207303034e-09	0.1494444673862888
tabula_muris.ESmuQ2.continuous.190730__Spleen.macrophage	6.387908257230659e-09	6.783645581606184e-09	0.17318259411602244
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte	3.787186562933064e-09	4.083992117961066e-09	0.17687899972090104
tabula_muris.ESmuQ2.continuous.190730__Marrow.pre-natural_killer_cell	5.7924766253091596e-09	6.248151813910618e-09	0.17694499071620234
tabula_muris.ESmuQ2.continuous.190730__Heart.endothelial_cell	5.061104023331481e-09	5.570879768156119e-09	0.181808964463398
tabula_muris.ESmuQ2.continuous.190730__Heart.cardiac_muscle_cell	3.837287783148062e-09	4.406151577161315e-09	0.19190621416702952
tabula_muris.ESmuQ2.continuous.190730__Heart.endocardial_cell	4.112992177453405e-09	5.017748973721541e-09	0.20619679421414616
tabula_muris.ESmuQ2.continuous.190730__Lung.stromal_cell	2.7434142859178166e-09	3.3856179792758814e-09	0.20887981131836503
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	4.584069451439934e-09	5.694789122452299e-09	0.21042178670830286
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.endothelial_cell	3.8497672417071214e-09	4.790903194679892e-09	0.21082622499566844
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	3.253529209250578e-09	4.069277632361936e-09	0.21199017881714438
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.macrophage	3.696273060892743e-09	4.788586150893495e-09	0.22008909160067341
tabula_muris.ESmuQ2.continuous.190730__Lung.epithelial_cell_of_lung	5.55397304762908e-09	7.31746793096112e-09	0.22392566985018836
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	3.818127247424234e-09	5.151013270263543e-09	0.22927454548661585
tabula_muris.ESmuQ2.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	3.0594660967421582e-09	4.581723517531846e-09	0.2521451852637995
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.large_intestine_goblet_cell	1.8484662361789762e-09	2.8459559278763215e-09	0.25800559561656
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_natural_killer_cell	4.562126501974198e-09	8.050550624821043e-09	0.2854640975320073
tabula_muris.ESmuQ2.continuous.190730__Skin.basal_cell_of_epidermis	2.4777831130886023e-09	4.372752392530907e-09	0.2854788760318584
tabula_muris.ESmuQ2.continuous.190730__Trachea.epithelial_cell	2.476366108608582e-09	4.414469380247403e-09	0.2874104443775665
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	3.5579775019802023e-09	6.604042087172813e-09	0.29502708070586586
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	2.5888739677277622e-09	4.8838387131770185e-09	0.298024772839679
tabula_muris.ESmuQ2.continuous.190730__Lung.monocyte	2.607830417667324e-09	6.3935284509566446e-09	0.3416787045882333
tabula_muris.ESmuQ2.continuous.190730__Thymus.leukocyte	2.090710010898913e-09	5.7016004271863616e-09	0.3569257776789393
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	1.2100331516617978e-09	3.3682784088135935e-09	0.35970635459963207
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	1.2785082355498266e-09	3.778183118970725e-09	0.36753377201389337
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_T_cell	2.3700002719814558e-09	7.124310798871568e-09	0.3696940406399426
tabula_muris.ESmuQ2.continuous.190730__Tongue.keratinocyte	1.0305157589472967e-09	3.3698886040046293e-09	0.379878032230103
tabula_muris.ESmuQ2.continuous.190730__Lung.leukocyte	1.3796478643512995e-09	4.848754563127512e-09	0.3879996165135293
tabula_muris.ESmuQ2.continuous.190730__Fat.B_cell	1.457387017405311e-09	5.241898809530299e-09	0.39049599074384284
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_NK_T_cell	1.6703325834745896e-09	6.795604207479257e-09	0.40292006247923956
tabula_muris.ESmuQ2.continuous.190730__Heart.erythrocyte	5.821712715094734e-10	3.0956480433712574e-09	0.4254143399482669
tabula_muris.ESmuQ2.continuous.190730__Heart.fibroblast	6.452670627811758e-10	3.5822188877698643e-09	0.4285250392443032
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	5.90053768381883e-10	4.007167431237068e-09	0.44146750930280654
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_stellate_cell	6.122473685606893e-10	5.395265856876399e-09	0.45482555289915183
tabula_muris.ESmuQ2.continuous.190730__Marrow.precursor_B_cell	3.5474840519147796e-10	3.984380127274781e-09	0.4645271350004471
tabula_muris.ESmuQ2.continuous.190730__Marrow.mature_natural_killer_cell	6.099745938562125e-10	7.044845595940078e-09	0.46550088436989373
tabula_muris.ESmuQ2.continuous.190730__Heart.smooth_muscle_cell	3.208326714228629e-10	4.207794757537485e-09	0.46961120615639695
tabula_muris.ESmuQ2.continuous.190730__Marrow.naive_B_cell	1.409444135782884e-10	4.744194247933319e-09	0.4881496387903195
tabula_muris.ESmuQ2.continuous.190730__Trachea.blood_cell	1.0367453437922764e-10	4.717324680972486e-09	0.4912329914372799
tabula_muris.ESmuQ2.continuous.190730__Thymus.immature_T_cell	6.976278284438511e-12	4.160363636327473e-09	0.4993310365856154
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	-1.2049557327099706e-10	3.436113559309167e-09	0.5139870023149833
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	-2.3028343600092181e-10	2.960532703334566e-09	0.5310002457216743
tabula_muris.ESmuQ2.continuous.190730__Kidney.macrophage	-8.728372521460214e-10	6.878726151398172e-09	0.550486021331781
tabula_muris.ESmuQ2.continuous.190730__Lung.myeloid_cell	-9.173597270402163e-10	6.5404599834932275e-09	0.5557724029023229
tabula_muris.ESmuQ2.continuous.190730__Lung.ciliated_columnar_cell_of_tracheobronchial_tree	-4.727936896976148e-10	3.2224288637163028e-09	0.5583233526960474
tabula_muris.ESmuQ2.continuous.190730__Liver.Kupffer_cell	-1.2481742587801948e-09	6.366077899826976e-09	0.577720920027371
tabula_muris.ESmuQ2.continuous.190730__Marrow.monocyte	-8.250865212564667e-10	4.148983276686449e-09	0.5788157278381112
tabula_muris.ESmuQ2.continuous.190730__Skin.epidermal_cell	-1.101208916985858e-09	4.8115934846385155e-09	0.590513366408476
tabula_muris.ESmuQ2.continuous.190730__Heart.unknown_cell_type	-1.4087334936318153e-09	5.785049973252831e-09	0.5961958997722524
tabula_muris.ESmuQ2.continuous.190730__Pancreas.leukocyte	-1.9236019876169744e-09	7.604419163018624e-09	0.5998498344449419
tabula_muris.ESmuQ2.continuous.190730__Fat.T_cell	-1.2078907190536743e-09	4.255162641244478e-09	0.6117429879971985
tabula_muris.ESmuQ2.continuous.190730__Marrow.regulatory_T_cell	-2.7388632797644743e-09	7.821144884114745e-09	0.6369008196024961
tabula_muris.ESmuQ2.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	-1.2842702205748873e-09	3.5381827976754107e-09	0.6416880427675071
tabula_muris.ESmuQ2.continuous.190730__Fat.endothelial_cell	-1.8616214113837626e-09	5.0755020323107686e-09	0.6431105510960606
tabula_muris.ESmuQ2.continuous.190730__Trachea.endothelial_cell	-1.9622054634795435e-09	5.277201718950903e-09	0.6449891264536008
tabula_muris.ESmuQ2.continuous.190730__Fat.natural_killer_cell	-2.7571213185601695e-09	7.2096527892780194e-09	0.6489253744691135
tabula_muris.ESmuQ2.continuous.190730__Lung.lung_endothelial_cell	-1.7352168297699237e-09	4.368980913116216e-09	0.6543779931751775
tabula_muris.ESmuQ2.continuous.190730__Marrow.basophil	-2.6147641597682816e-09	6.3032950774007565e-09	0.660864978752763
tabula_muris.ESmuQ2.continuous.190730__Trachea.mesenchymal_cell	-1.2449910960439554e-09	2.913529399247652e-09	0.6654245807702704
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	-1.4078556558218835e-09	3.276980679813814e-09	0.6662638699343109
tabula_muris.ESmuQ2.continuous.190730__Skin.leukocyte	-3.882630757680229e-09	8.300040835178838e-09	0.6800306601278947
tabula_muris.ESmuQ2.continuous.190730__Liver.B_cell	-2.846707137190186e-09	5.773323376232183e-09	0.6890217761107652
tabula_muris.ESmuQ2.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	-2.641032558628473e-09	5.334861368216661e-09	0.6897182110361478
tabula_muris.ESmuQ2.continuous.190730__Skin.keratinocyte_stem_cell	-1.8853379845538395e-09	3.3582002366584096e-09	0.7127420606466405
tabula_muris.ESmuQ2.continuous.190730__Spleen.B_cell	-3.0389653877231323e-09	4.812873649017608e-09	0.7361184351207964
tabula_muris.ESmuQ2.continuous.190730__Lung.T_cell	-4.0202455127843264e-09	6.3629391607119675e-09	0.7362484309723683
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.macrophage	-3.6574975881762277e-09	5.30326708333624e-09	0.7547987394055163
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.B_cell	-3.624027518670807e-09	5.03368640993475e-09	0.7642236376444564
tabula_muris.ESmuQ2.continuous.190730__Lung.natural_killer_cell	-5.733266877204613e-09	7.926187851936346e-09	0.7652620919618885
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_cell	-2.552686268398166e-09	3.4781646572459216e-09	0.7685005210720375
tabula_muris.ESmuQ2.continuous.190730__Kidney.leukocyte	-4.220679594284593e-09	5.344397249091402e-09	0.7851599307979809
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.stromal_cell	-3.1606570949404237e-09	3.9203447758750686e-09	0.7899417551948179
tabula_muris.ESmuQ2.continuous.190730__Liver.hepatocyte	-2.6859471227226296e-09	2.9941198038101936e-09	0.8151602926489958
tabula_muris.ESmuQ2.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	-4.558498332480438e-09	4.954285845345288e-09	0.8212429079790456
tabula_muris.ESmuQ2.continuous.190730__Spleen.T_cell	-4.249478985363817e-09	4.408109397042625e-09	0.8324805359011467
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.endothelial_cell	-5.410001628707532e-09	5.4080339134485816e-09	0.8414327711945917
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	-5.525166429540778e-09	5.423000399126961e-09	0.8458603894838136
tabula_muris.ESmuQ2.continuous.190730__Heart.leukocyte	-5.438548384925684e-09	4.88026939956833e-09	0.8674451412236182
tabula_muris.ESmuQ2.continuous.190730__Pancreas.endothelial_cell	-6.048694022069317e-09	5.034975998878452e-09	0.8851894040746469
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enteroendocrine_cell	-5.980913283023641e-09	4.96581493451204e-09	0.885785830472589
tabula_muris.ESmuQ2.continuous.190730__Lung.B_cell	-5.354374156734336e-09	4.418844493546628e-09	0.8871889924745237
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_ductal_cell	-6.322379101882248e-09	4.905225958499622e-09	0.9012847554297676
tabula_muris.ESmuQ2.continuous.190730__Lung.classical_monocyte	-6.228760005096242e-09	4.715375092978465e-09	0.9067404611617531
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.T_cell	-8.437936756694068e-09	5.839813777382256e-09	0.9257567672081966
tabula_muris.ESmuQ2.continuous.190730__Liver.natural_killer_cell	-1.078075391288537e-08	5.57727583239179e-09	0.9733805728179635
tabula_muris.ESmuQ2.continuous.190730__Heart.professional_antigen_presenting_cell	-8.013960973947638e-09	3.7924950173071305e-09	0.9827043436360346
