Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	5.612925652589042e-08	8.085670554708408e-09	1.935423275153994e-12
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	3.3451333338560746e-08	8.638049790048455e-09	5.384991389203692e-05
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.astrocyte	4.0830222681443816e-08	1.0858719784501954e-08	8.49117703371552e-05
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	3.4163326548021116e-08	9.370261756658918e-09	0.00013321280165270503
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	4.1483634353769715e-08	1.2310373213555623e-08	0.00037609841822913573
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	4.2398682995007776e-08	1.3077721045730159e-08	0.0005933568480440531
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	3.287436588729746e-08	1.4356980714325474e-08	0.011016958615165356
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocytopoietic_cell	3.3409022677318116e-08	1.4832155239420218e-08	0.012146212445107343
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	2.3418116383896996e-08	1.0474534142219823e-08	0.01268508748983525
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	2.21431698827471e-08	1.0649224096846616e-08	0.018793865206337277
tabula_muris.ESmuQ2.continuous.190730__Trachea.endothelial_cell	2.8613785041857405e-08	1.5482773996406808e-08	0.03229360997986444
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte	2.02357662153638e-08	1.1049440745351468e-08	0.03352164260041633
tabula_muris.ESmuQ2.continuous.190730__Marrow.monocyte	1.9867190141050202e-08	1.1023656984451317e-08	0.03575443628118861
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	4.8890215328827675e-08	2.725099302902877e-08	0.03640092143721738
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.T_cell	4.333610826380272e-08	2.5371756726190345e-08	0.0438139743842769
tabula_muris.ESmuQ2.continuous.190730__Thymus.leukocyte	4.1679251308661985e-08	2.515968226924691e-08	0.04880130525908936
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	1.668445465984585e-08	1.0912855935639749e-08	0.06314701265019096
tabula_muris.ESmuQ2.continuous.190730__Marrow.regulatory_T_cell	3.443660481582419e-08	2.3424707384503478e-08	0.07076766859821906
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	1.1392715234222115e-08	8.047227104781535e-09	0.07842702350540917
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	3.2597886218427796e-08	2.310612598068217e-08	0.07915330551531913
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_NK_T_cell	2.098542049279984e-08	1.5007516908291497e-08	0.08100740277875029
