Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	4.281282222765478e-08	1.7608600915009426e-08	0.007521160454403732
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocytopoietic_cell	6.021890923851877e-08	2.5028676610110167e-08	0.008064208809256667
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	2.5297296763019915e-08	1.1790879854301503e-08	0.015956567518460158
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	5.2621358797637546e-08	2.7201640732878276e-08	0.026526326915877696
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.astrocyte	2.7043672457081982e-08	1.5060184805061558e-08	0.03627060003306208
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte	3.718915113363184e-08	2.1011032359785598e-08	0.038365061515730436
tabula_muris.ESmuQ2.continuous.190730__Lung.leukocyte	4.310819943954234e-08	2.4715554975685616e-08	0.04056447885496569
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	3.5249422322138424e-08	2.3916761277095935e-08	0.07026265939919855
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	4.523886203545398e-08	3.242313630846712e-08	0.08146799555497825
tabula_muris.ESmuQ2.continuous.190730__Trachea.endothelial_cell	4.022386166370908e-08	2.8962440612293042e-08	0.08244246008270462
tabula_muris.ESmuQ2.continuous.190730__Heart.cardiac_muscle_cell	2.711610311944873e-08	2.1665629665255658e-08	0.10536286682030982
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	2.9091024277887108e-08	2.3982510104573142e-08	0.11256300105067024
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	1.4319652872249406e-08	1.1924956754424498e-08	0.11491171490698315
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.T_cell	4.137430527552783e-08	3.59623233332893e-08	0.12497098716711841
tabula_muris.ESmuQ2.continuous.190730__Pancreas.endothelial_cell	3.653153070808179e-08	3.247619211110796e-08	0.1303218250299541
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	2.4816557419986514e-08	2.3790814954069243e-08	0.14844750276347907
tabula_muris.ESmuQ2.continuous.190730__Spleen.B_cell	2.541707345575525e-08	2.4894950958080167e-08	0.15363360889912353
tabula_muris.ESmuQ2.continuous.190730__Lung.classical_monocyte	2.933337484034995e-08	2.9376353376184704e-08	0.159009523733173
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	1.735214672795763e-08	1.8535452122155242e-08	0.17459543686845413
tabula_muris.ESmuQ2.continuous.190730__Trachea.epithelial_cell	1.9986081199891236e-08	2.141110036537928e-08	0.17529516840797887
tabula_muris.ESmuQ2.continuous.190730__Marrow.hematopoietic_precursor_cell	1.9370833044826825e-08	2.345214627460255e-08	0.20440978352224815
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_NK_T_cell	2.3556012027835934e-08	3.2314311110885074e-08	0.23301143932583912
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	4.9363602372248306e-08	6.94352702525803e-08	0.2385638710978869
tabula_muris.ESmuQ2.continuous.190730__Marrow.monocyte	1.5396415616779366e-08	2.2708050099045984e-08	0.24888085355055983
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	9.140766929527945e-09	1.424263540777005e-08	0.26050509198497573
tabula_muris.ESmuQ2.continuous.190730__Lung.B_cell	1.9709352739005103e-08	3.1089088514275534e-08	0.2630522650086269
tabula_muris.ESmuQ2.continuous.190730__Marrow.naive_B_cell	1.5321354454757678e-08	2.4831621354106774e-08	0.26861412118929995
tabula_muris.ESmuQ2.continuous.190730__Marrow.basophil	1.6190480400704945e-08	2.7509140394213054e-08	0.2780818865706002
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	1.107167731549169e-08	1.8887844496180846e-08	0.2788772689689973
tabula_muris.ESmuQ2.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	1.4525321322097358e-08	2.8050263358095868e-08	0.3022877777599896
tabula_muris.ESmuQ2.continuous.190730__Marrow.precursor_B_cell	8.945309613647697e-09	1.9370574036374776e-08	0.3221127730217595
tabula_muris.ESmuQ2.continuous.190730__Fat.B_cell	1.064591971664893e-08	2.604522386489647e-08	0.3413624916488046
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	7.250089294208738e-09	1.7998740807199404e-08	0.34354366459649793
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	6.742049930925665e-09	1.733350192843937e-08	0.34865263300438176
tabula_muris.ESmuQ2.continuous.190730__Marrow.regulatory_T_cell	1.3067836274213186e-08	3.6863565189696836e-08	0.36148512639465075
tabula_muris.ESmuQ2.continuous.190730__Lung.monocyte	1.0465370521160664e-08	3.097362476259849e-08	0.3677267833121839
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	6.077070983424911e-09	1.936938957926216e-08	0.37685693163298867
tabula_muris.ESmuQ2.continuous.190730__Fat.unknown_cell_type	5.714275149421316e-09	2.1597215664127174e-08	0.39566501923085134
tabula_muris.ESmuQ2.continuous.190730__Lung.T_cell	7.754056433325869e-09	3.236202230766161e-08	0.40531879419884564
tabula_muris.ESmuQ2.continuous.190730__Skin.keratinocyte_stem_cell	4.3614061764327796e-09	1.841132883660322e-08	0.4063721914566273
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.microglial_cell	6.480438686446238e-09	2.7931882206999815e-08	0.40826564207240756
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	3.680134337969751e-09	1.6246183604679712e-08	0.410397334202222
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	3.1389521277872037e-09	2.122262696970757e-08	0.44120850878102696
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.lymphocyte	4.057176256605845e-09	2.8451490758927408e-08	0.4433031365402039
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	2.5424787952956255e-09	2.004554917835078e-08	0.4495354658183015
tabula_muris.ESmuQ2.continuous.190730__Fat.T_cell	2.349705937518726e-09	2.0053353775086264e-08	0.4533615935059502
tabula_muris.ESmuQ2.continuous.190730__Lung.lung_endothelial_cell	2.5646493607651668e-09	2.3153613422098808e-08	0.45590067602936574
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	2.3523156148697563e-09	2.259534837088349e-08	0.4585425395985403
tabula_muris.ESmuQ2.continuous.190730__Thymus.leukocyte	6.107938633413966e-09	5.917697070751774e-08	0.45889625074671186
tabula_muris.ESmuQ2.continuous.190730__Liver.B_cell	3.0231831797491496e-09	3.0139555525173964e-08	0.4600506322642901
tabula_muris.ESmuQ2.continuous.190730__Heart.endothelial_cell	2.0147910868313113e-09	2.0244462614469676e-08	0.46036148547676287
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.endothelial_cell	2.1284528591216255e-09	2.4821929336881824e-08	0.4658330187779351
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	8.023766303487326e-10	1.7172501438275977e-08	0.48136639972918305
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.endothelial_cell	5.943694432950127e-10	2.8068287822650607e-08	0.49155269525288736
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.endothelial_cell	8.563161465925538e-11	2.1042480015527197e-08	0.49837652323721965
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.large_intestine_goblet_cell	-1.413495360038112e-10	1.67643015581359e-08	0.5033636735710771
tabula_muris.ESmuQ2.continuous.190730__Thymus.DN1_thymic_pro-T_cell	-1.3221569062685767e-09	2.7404447980868195e-08	0.5192399326828944
tabula_muris.ESmuQ2.continuous.190730__Liver.Kupffer_cell	-2.84731505659879e-09	2.544707169814467e-08	0.5445453446938028
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	-2.398915131746347e-09	2.0571835504413517e-08	0.5464160867321922
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.macrophage	-3.507735669380521e-09	2.217669255132714e-08	0.5628394351149593
tabula_muris.ESmuQ2.continuous.190730__Thymus.immature_T_cell	-3.63736977350943e-09	2.20508420360036e-08	0.5655098195827223
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_T_cell	-5.893890084412671e-09	3.151992859791328e-08	0.5741654975320764
tabula_muris.ESmuQ2.continuous.190730__Trachea.mesenchymal_cell	-3.6906430201170053e-09	1.8730602277471813e-08	0.5781011540187521
tabula_muris.ESmuQ2.continuous.190730__Fat.endothelial_cell	-4.575069771717943e-09	2.2868354755580726e-08	0.5792836287475155
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.B_cell	-6.238230925500018e-09	2.8817488467683312e-08	0.5856907730303167
tabula_muris.ESmuQ2.continuous.190730__Spleen.T_cell	-5.112679519720134e-09	1.9324503086154573e-08	0.6043295483833768
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enteroendocrine_cell	-5.612625594970508e-09	1.741195797090079e-08	0.6264036310857679
tabula_muris.ESmuQ2.continuous.190730__Heart.leukocyte	-7.280766699655287e-09	2.1193741397826538e-08	0.6344015444674312
tabula_muris.ESmuQ2.continuous.190730__Trachea.blood_cell	-8.575982982151422e-09	2.0496678951481634e-08	0.6621757329805347
tabula_muris.ESmuQ2.continuous.190730__Lung.epithelial_cell_of_lung	-1.2554323769868203e-08	2.9372380872949444e-08	0.6654630398521091
tabula_muris.ESmuQ2.continuous.190730__Tongue.basal_cell_of_epidermis	-7.687688037368283e-09	1.7811457131841485e-08	0.6669892904129805
tabula_muris.ESmuQ2.continuous.190730__Kidney.endothelial_cell	-1.0314594411030711e-08	2.1891171105160304e-08	0.6812424716087552
tabula_muris.ESmuQ2.continuous.190730__Skin.leukocyte	-1.6893941234519293e-08	3.438694493460224e-08	0.688389108850355
tabula_muris.ESmuQ2.continuous.190730__Lung.ciliated_columnar_cell_of_tracheobronchial_tree	-7.669826640152763e-09	1.4355508433617143e-08	0.7034252573796883
tabula_muris.ESmuQ2.continuous.190730__Fat.myeloid_cell	-1.0894466446438272e-08	1.701983645151475e-08	0.7389475257956448
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.luminal_epithelial_cell_of_mammary_gland	-1.2257301967077732e-08	1.809522782759876e-08	0.7509167960387342
tabula_muris.ESmuQ2.continuous.190730__Lung.unknown_cell_type	-1.9171208820485697e-08	2.825795481696682e-08	0.7512522988140014
tabula_muris.ESmuQ2.continuous.190730__Lung.myeloid_cell	-2.6820611100483162e-08	3.931311853990268e-08	0.7524534149470856
