Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	8.836151646717847e-08	4.389391486893508e-08	0.02205364095060581
tabula_muris.ESmuQ2.continuous.190730__Heart.leukocyte	8.174041675282608e-08	4.4521817040141174e-08	0.03318155126736056
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	8.105005333329688e-08	4.6097028692764744e-08	0.039352577929227896
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.macrophage	8.087140285178119e-08	4.7537297903196985e-08	0.0444508400132246
tabula_muris.ESmuQ2.continuous.190730__Trachea.blood_cell	6.255904158469816e-08	4.329945471597314e-08	0.0742570699044105
tabula_muris.ESmuQ2.continuous.190730__Liver.hepatocyte	3.94606890761537e-08	2.8519501915925786e-08	0.083234542551203
tabula_muris.ESmuQ2.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	6.315288324733757e-08	4.900698685316154e-08	0.09875979102602589
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_urothelial_cell	4.344539614747976e-08	3.5496844314158545e-08	0.11049068081267083
tabula_muris.ESmuQ2.continuous.190730__Marrow.precursor_B_cell	7.576665009387488e-08	6.324407611889749e-08	0.11545774857561836
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.basal_cell	5.088252590537177e-08	4.4611688712637197e-08	0.1270255171067235
tabula_muris.ESmuQ2.continuous.190730__Pancreas.endothelial_cell	4.110180210004549e-08	3.658873255867898e-08	0.13064531193804785
tabula_muris.ESmuQ2.continuous.190730__Thymus.immature_T_cell	8.045303032730989e-08	7.257258195460464e-08	0.1338041663983751
tabula_muris.ESmuQ2.continuous.190730__Fat.B_cell	5.175709359547992e-08	4.988966087885355e-08	0.1497674587499065
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_stellate_cell	4.434757257114052e-08	4.3096873478531126e-08	0.15173498668088686
tabula_muris.ESmuQ2.continuous.190730__Skin.epidermal_cell	4.1863686894363536e-08	4.206286884747433e-08	0.15980378029411685
tabula_muris.ESmuQ2.continuous.190730__Heart.endothelial_cell	2.1973838948208823e-08	2.3130164479957097e-08	0.17105411964543127
tabula_muris.ESmuQ2.continuous.190730__Skin.stem_cell_of_epidermis	5.0828248085261374e-08	5.422557404840232e-08	0.17428972018837063
tabula_muris.ESmuQ2.continuous.190730__Heart.professional_antigen_presenting_cell	6.074515358222769e-08	6.501268234943157e-08	0.17505949380497077
tabula_muris.ESmuQ2.continuous.190730__Fat.myeloid_cell	2.9254068413523e-08	3.2752874786202715e-08	0.1858815727412828
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	4.3747673447647914e-08	5.041158777308619e-08	0.19274921286499908
