Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Liver.hepatocyte	7.406194807472234e-08	3.150926867651301e-08	0.009374573849174669
tabula_muris.ESmuQ2.continuous.190730__Lung.leukocyte	9.939700512586729e-08	4.3414083193999024e-08	0.011024850390062
tabula_muris.ESmuQ2.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	6.130962976089638e-08	3.295361226409672e-08	0.031408622822342816
tabula_muris.ESmuQ2.continuous.190730__Liver.Kupffer_cell	1.2744924132621769e-07	7.436128881616369e-08	0.043271782311824616
tabula_muris.ESmuQ2.continuous.190730__Fat.myeloid_cell	4.076874891446847e-08	2.5168217353426996e-08	0.05263219995298062
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	3.988185687138201e-08	2.4881754851813074e-08	0.05448328342749338
tabula_muris.ESmuQ2.continuous.190730__Liver.natural_killer_cell	7.28741233041332e-08	4.6926251047419733e-08	0.06021753569303636
tabula_muris.ESmuQ2.continuous.190730__Heart.leukocyte	6.11901253067944e-08	4.271511843847361e-08	0.0759979850458638
tabula_muris.ESmuQ2.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	5.180179855071754e-08	3.6340440529212297e-08	0.0770123194597566
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.large_intestine_goblet_cell	4.315332026441031e-08	3.076625634134286e-08	0.08036531633342886
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	5.5059720862944205e-08	4.09495890529203e-08	0.08938154798209241
tabula_muris.ESmuQ2.continuous.190730__Liver.B_cell	7.337064612508386e-08	5.6205063424021235e-08	0.09587665484879332
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.macrophage	1.089257396916503e-07	8.458527211688448e-08	0.09891432856704346
tabula_muris.ESmuQ2.continuous.190730__Heart.unknown_cell_type	5.636393044131934e-08	4.432692079775445e-08	0.10176638822086859
tabula_muris.ESmuQ2.continuous.190730__Thymus.immature_T_cell	5.043101892037019e-08	4.621591532378623e-08	0.13759143438364158
