Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Lung.leukocyte	1.2330196769980797e-07	4.912024466481299e-08	0.006033025376657766
tabula_muris.ESmuQ2.continuous.190730__Liver.hepatocyte	1.04286597321577e-07	4.4518670944129813e-08	0.009576588465635172
tabula_muris.ESmuQ2.continuous.190730__Liver.Kupffer_cell	1.6210420110233687e-07	8.940147860893709e-08	0.03489924817419484
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.large_intestine_goblet_cell	5.5668870691257764e-08	3.179117488297382e-08	0.039966119071857764
tabula_muris.ESmuQ2.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	6.485635052182326e-08	3.762049090424787e-08	0.042357222644870456
tabula_muris.ESmuQ2.continuous.190730__Fat.myeloid_cell	6.407649564408451e-08	3.824882416379847e-08	0.046942203391369834
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	5.96677436217641e-08	3.703492166861584e-08	0.05357666547896309
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.macrophage	1.2019284730748963e-07	8.605189998085511e-08	0.0812446330466009
tabula_muris.ESmuQ2.continuous.190730__Thymus.immature_T_cell	9.263368170532375e-08	7.065360158977749e-08	0.09491260079848307
tabula_muris.ESmuQ2.continuous.190730__Heart.leukocyte	5.748594368297653e-08	4.43129471929486e-08	0.097268815023422
tabula_muris.ESmuQ2.continuous.190730__Marrow.basophil	5.815800469565849e-08	4.811676053726955e-08	0.11339195134630142
tabula_muris.ESmuQ2.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	4.494703202619686e-08	3.8980190974151215e-08	0.12444007303250976
tabula_muris.ESmuQ2.continuous.190730__Liver.B_cell	1.27539888065711e-07	1.1106372939476983e-07	0.1254123233688193
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	1.8058148162045565e-07	1.6407728992140721e-07	0.13553802484900368
tabula_muris.ESmuQ2.continuous.190730__Lung.monocyte	6.800620842456701e-08	6.731159561727122e-08	0.15617115353832067
tabula_muris.ESmuQ2.continuous.190730__Kidney.macrophage	5.507485536606648e-08	5.528496942730243e-08	0.15957662668462474
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_NK_T_cell	5.8869811550159407e-08	6.074966286720766e-08	0.16625868114041037
tabula_muris.ESmuQ2.continuous.190730__Trachea.blood_cell	5.340704383046922e-08	5.871100305233293e-08	0.18150095507004188
tabula_muris.ESmuQ2.continuous.190730__Liver.natural_killer_cell	5.7387364562473956e-08	6.695721529113349e-08	0.19570168005963035
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	3.686603915294978e-08	4.402649407538298e-08	0.20119503148187007
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_stellate_cell	3.457809325591247e-08	4.442150308093575e-08	0.2181639974367689
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.endothelial_cell	2.082552129116613e-08	2.741110673294564e-08	0.22370274883609775
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	1.582521381128209e-08	2.1767853638645315e-08	0.23361319997011504
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	3.6792352730167046e-08	5.1251054222076075e-08	0.23641416085680955
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.basal_cell	3.569994152495725e-08	5.114388309601965e-08	0.24257935820276183
tabula_muris.ESmuQ2.continuous.190730__Kidney.leukocyte	3.9912930330347e-08	5.7200363299833585e-08	0.24265924869084576
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	3.607886110021894e-08	5.213637411553211e-08	0.24446571214407076
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	1.5982888456767485e-08	2.4614403545183096e-08	0.25806231569999627
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	1.1352016601828728e-08	1.763950827367666e-08	0.2599315991745368
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.macrophage	2.221417065408307e-08	3.522110303867124e-08	0.2641162981023942
tabula_muris.ESmuQ2.continuous.190730__Marrow.hematopoietic_precursor_cell	2.0366557922138628e-08	3.2627702888084965e-08	0.26624464395253566
