Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Liver.hepatocyte	8.574832924934447e-08	3.935727253606195e-08	0.014676376895218855
tabula_muris.ESmuQ2.continuous.190730__Liver.Kupffer_cell	1.2323317211923502e-07	6.60557317097692e-08	0.0310490997574621
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_stellate_cell	5.720030375148595e-08	3.0896484195194014e-08	0.032059381233889586
tabula_muris.ESmuQ2.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	5.693021494043562e-08	3.523933339414469e-08	0.05309793950951249
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_ductal_cell	4.313151773918174e-08	2.695697994640742e-08	0.05479785227754371
tabula_muris.ESmuQ2.continuous.190730__Fat.myeloid_cell	4.67569508735024e-08	2.9627105310131444e-08	0.05726195420318182
tabula_muris.ESmuQ2.continuous.190730__Heart.leukocyte	4.9049359928966064e-08	3.383330541370878e-08	0.0735660801520451
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	4.0612001225699384e-08	2.8353285466315057e-08	0.07602096856637802
tabula_muris.ESmuQ2.continuous.190730__Heart.fibroblast	4.0003260644311646e-08	2.797700890273912e-08	0.07637832157989291
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	2.7666582759613904e-08	2.007546622866996e-08	0.08408172734869379
tabula_muris.ESmuQ2.continuous.190730__Liver.natural_killer_cell	7.024900373398389e-08	5.1221111815273994e-08	0.08511185587734366
tabula_muris.ESmuQ2.continuous.190730__Heart.endothelial_cell	3.1419979426963596e-08	2.3058742450276506e-08	0.08650336792697172
tabula_muris.ESmuQ2.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	3.697267362311804e-08	2.7795864147468624e-08	0.09173439796030186
tabula_muris.ESmuQ2.continuous.190730__Lung.lung_endothelial_cell	3.012221741184523e-08	2.270080570944273e-08	0.09226710530632365
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_cell	2.9973203903217286e-08	2.281019915163307e-08	0.09441865987882869
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	2.411851565328754e-08	1.904921923323071e-08	0.10273583022008353
tabula_muris.ESmuQ2.continuous.190730__Fat.unknown_cell_type	5.328997324179164e-08	4.3190946794453545e-08	0.10863447793947512
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	5.235305677022917e-08	4.24662385825842e-08	0.10882221734343694
tabula_muris.ESmuQ2.continuous.190730__Heart.smooth_muscle_cell	2.27752935745212e-08	1.8730006331906444e-08	0.11199646898651888
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.basal_cell	5.82931457179462e-08	4.796089666463817e-08	0.11210093440429542
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.macrophage	6.230493678429481e-08	5.1326289143207915e-08	0.11239312613963337
tabula_muris.ESmuQ2.continuous.190730__Liver.B_cell	9.962250237832223e-08	8.474783557308589e-08	0.11989401492492768
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	1.2229104995161459e-08	1.0520163514607998e-08	0.12252750173561971
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	2.0562022674097453e-08	1.8188523716776987e-08	0.12913399613426807
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	4.29060482650555e-08	3.8933077433351085e-08	0.13522080333707587
tabula_muris.ESmuQ2.continuous.190730__Trachea.blood_cell	4.3553106034205097e-08	4.177833045241294e-08	0.1485944185983724
tabula_muris.ESmuQ2.continuous.190730__Skin.keratinocyte_stem_cell	2.763319961607756e-08	2.6508119603957765e-08	0.14860320554290823
tabula_muris.ESmuQ2.continuous.190730__Marrow.pre-natural_killer_cell	5.2671619340753405e-08	5.278358030657403e-08	0.1591690502281643
tabula_muris.ESmuQ2.continuous.190730__Pancreas.leukocyte	4.343070686429395e-08	4.4796184375655286e-08	0.1661434030942448
tabula_muris.ESmuQ2.continuous.190730__Spleen.B_cell	2.2310529243127823e-08	2.3448815118691115e-08	0.17068632712145015
tabula_muris.ESmuQ2.continuous.190730__Heart.cardiac_muscle_cell	4.7522749381998536e-08	5.00176447867958e-08	0.1710257185780809
tabula_muris.ESmuQ2.continuous.190730__Thymus.immature_T_cell	5.89702218851087e-08	6.235312894710126e-08	0.17213907871541723
tabula_muris.ESmuQ2.continuous.190730__Fat.natural_killer_cell	3.799976236769527e-08	4.7053988291707554e-08	0.20966679856361659
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	3.8448066971413994e-08	4.9044405545640293e-08	0.2165364880527727
tabula_muris.ESmuQ2.continuous.190730__Marrow.precursor_B_cell	2.0053835202952653e-08	2.5736742066835232e-08	0.21793363504221402
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	3.2009596501979455e-08	4.209920734965155e-08	0.22352650383356193
tabula_muris.ESmuQ2.continuous.190730__Marrow.hematopoietic_precursor_cell	1.6331643579044887e-08	2.3110331814633046e-08	0.23988221937993198
tabula_muris.ESmuQ2.continuous.190730__Lung.leukocyte	1.943319056517155e-08	2.9332304585298402e-08	0.25381953354060915
tabula_muris.ESmuQ2.continuous.190730__Kidney.leukocyte	1.7689735620854355e-08	2.7373362799960748e-08	0.2590622809044452
tabula_muris.ESmuQ2.continuous.190730__Kidney.macrophage	2.8043783232429907e-08	4.531395713972136e-08	0.2679985693607918
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.stromal_cell	1.1088992949775428e-08	1.8627340381454304e-08	0.27581901632070605
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	9.831777634696162e-09	1.6945576570282566e-08	0.2808907898543811
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.endothelial_cell	1.4806080140785243e-08	2.809268435785475e-08	0.29908152417235856
tabula_muris.ESmuQ2.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	8.650179172534434e-09	1.7485719050491417e-08	0.3104060727371676
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	7.446556848880803e-09	1.511355175469753e-08	0.31110971946650134
tabula_muris.ESmuQ2.continuous.190730__Lung.monocyte	2.5389666515746318e-08	5.301515187590936e-08	0.3160001196592767
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	1.0631345949601514e-08	2.307156570994402e-08	0.3224715411483735
tabula_muris.ESmuQ2.continuous.190730__Heart.endocardial_cell	1.7801244113110937e-08	3.877768564196075e-08	0.3230959127701736
tabula_muris.ESmuQ2.continuous.190730__Lung.classical_monocyte	2.0403652136338225e-08	4.561531443468732e-08	0.32732985080947247
tabula_muris.ESmuQ2.continuous.190730__Skin.epidermal_cell	1.3572366665988004e-08	3.122494926999189e-08	0.33190310460705486
tabula_muris.ESmuQ2.continuous.190730__Pancreas.endothelial_cell	1.244862459559565e-08	2.9648233783541075e-08	0.3372874934348661
tabula_muris.ESmuQ2.continuous.190730__Fat.endothelial_cell	1.0619309543381772e-08	2.562255809576493e-08	0.3392717123948127
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enteroendocrine_cell	8.566220049779016e-09	2.2479442120838138e-08	0.351575999639989
tabula_muris.ESmuQ2.continuous.190730__Tongue.basal_cell_of_epidermis	5.862860128041387e-09	1.5751525748489014e-08	0.354868611493414
tabula_muris.ESmuQ2.continuous.190730__Fat.B_cell	1.070923198970597e-08	2.9264573673312625e-08	0.35720296173397026
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	5.568491947964969e-09	1.771662249630574e-08	0.3766432235109112
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocytopoietic_cell	8.839296442633892e-09	2.895674607508098e-08	0.380084593336915
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.endothelial_cell	6.75144834023384e-09	2.296394078709089e-08	0.3843781239780574
tabula_muris.ESmuQ2.continuous.190730__Trachea.mesenchymal_cell	5.020870206851928e-09	2.2792066711839247e-08	0.41282255425069303
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	8.703665213311949e-09	4.0221366955108016e-08	0.4143402949196042
tabula_muris.ESmuQ2.continuous.190730__Skin.stem_cell_of_epidermis	4.33572973718181e-09	2.025657828828736e-08	0.4152577066143971
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	5.5316252687920025e-09	2.7240947162616067e-08	0.41954294115218194
tabula_muris.ESmuQ2.continuous.190730__Marrow.basophil	7.594285863661564e-09	3.954785505706181e-08	0.4238602319042149
tabula_muris.ESmuQ2.continuous.190730__Trachea.endothelial_cell	5.027324983872818e-09	2.641985281561835e-08	0.42454255820398756
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.macrophage	4.43905585235012e-09	2.404100597654588e-08	0.4267536737229935
tabula_muris.ESmuQ2.continuous.190730__Marrow.mature_natural_killer_cell	2.736663755104614e-09	3.063594387321078e-08	0.4644104115074706
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.lymphocyte	3.012495614530186e-09	3.545480436363582e-08	0.4661437316875934
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	1.976023733774549e-09	2.6015117936927164e-08	0.46972675477894166
tabula_muris.ESmuQ2.continuous.190730__Heart.myofibroblast_cell	9.137329541074644e-10	1.837086618738015e-08	0.4801655261666602
tabula_muris.ESmuQ2.continuous.190730__Fat.T_cell	7.456212434113622e-10	2.9794302611263966e-08	0.49001725944082647
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.microglial_cell	6.231467276557778e-10	3.040138262953366e-08	0.49182332682320945
tabula_muris.ESmuQ2.continuous.190730__Heart.unknown_cell_type	2.355101066957198e-10	2.3182264653571512e-08	0.4959471896156893
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_urothelial_cell	-6.163776707806812e-10	2.2024623610431316e-08	0.5111632790350188
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.large_intestine_goblet_cell	-1.3474591498027879e-09	1.2985261531602982e-08	0.541323407642824
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	-1.4440863485059054e-09	1.222442050195426e-08	0.5470181774398751
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.luminal_epithelial_cell_of_mammary_gland	-6.3966105003945545e-09	3.407884415992704e-08	0.5744442165815489
tabula_muris.ESmuQ2.continuous.190730__Trachea.epithelial_cell	-5.26857992277462e-09	2.5170911065336792e-08	0.5828977536130283
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte	-4.770766251703784e-09	2.2582689550732694e-08	0.5836568918872533
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	-6.499498325105008e-09	2.1419734248064647e-08	0.6192208344551127
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	-4.204077479949675e-09	1.186073461209746e-08	0.6385004320768677
tabula_muris.ESmuQ2.continuous.190730__Marrow.monocyte	-7.562380870423827e-09	2.0151796717763095e-08	0.6462704598205496
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_natural_killer_cell	-1.0625098143212293e-08	2.8129765849063827e-08	0.6471796786010119
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	-6.890227867116399e-09	1.739032955086964e-08	0.6540250570523071
tabula_muris.ESmuQ2.continuous.190730__Skin.leukocyte	-1.719000225494794e-08	4.0426354974685386e-08	0.6646610140063829
tabula_muris.ESmuQ2.continuous.190730__Marrow.naive_B_cell	-9.194968955954706e-09	2.1592345850251527e-08	0.6648892053163595
tabula_muris.ESmuQ2.continuous.190730__Lung.stromal_cell	-6.212472388215694e-09	1.4423560763900155e-08	0.6666629109131244
tabula_muris.ESmuQ2.continuous.190730__Lung.B_cell	-1.5134252673205434e-08	3.003749916683373e-08	0.6928149529013322
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.B_cell	-1.573160993926486e-08	3.0007817314534784e-08	0.699947801493875
tabula_muris.ESmuQ2.continuous.190730__Heart.professional_antigen_presenting_cell	-1.0648949297651337e-08	1.9286478219418933e-08	0.7095757915103384
tabula_muris.ESmuQ2.continuous.190730__Heart.erythrocyte	-7.521988717912832e-09	1.2174940354928251e-08	0.7316548166924317
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	-8.777366352977686e-09	1.4170358293606282e-08	0.7321792861107564
tabula_muris.ESmuQ2.continuous.190730__Lung.natural_killer_cell	-2.1330715652012078e-08	3.307341397977687e-08	0.7405203754497556
tabula_muris.ESmuQ2.continuous.190730__Lung.myeloid_cell	-2.948216425439691e-08	4.112546388724835e-08	0.7632769913305896
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	-1.5874706384360957e-08	1.9770127061116853e-08	0.789002317579836
tabula_muris.ESmuQ2.continuous.190730__Marrow.regulatory_T_cell	-2.995246012449027e-08	3.660528987942819e-08	0.7933941917005534
tabula_muris.ESmuQ2.continuous.190730__Lung.epithelial_cell_of_lung	-2.068942546365953e-08	2.5137396943532234e-08	0.7947612479837103
tabula_muris.ESmuQ2.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	-1.7582557063860087e-08	2.1087769338915252e-08	0.7977974727320299
tabula_muris.ESmuQ2.continuous.190730__Kidney.endothelial_cell	-1.8361585044784775e-08	1.7927121267217707e-08	0.8471378544505329
tabula_muris.ESmuQ2.continuous.190730__Lung.ciliated_columnar_cell_of_tracheobronchial_tree	-1.5325870818486358e-08	1.4130182813787093e-08	0.860954876945019
