Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	1.4256781004831492e-08	5.253099418503666e-09	0.0033240581786796314
tabula_muris.ESmuQ2.continuous.190730__Marrow.mature_natural_killer_cell	2.68536045138374e-08	1.2061597209728752e-08	0.012994631055584595
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_natural_killer_cell	3.2625928365282397e-08	1.6329560400137868e-08	0.022860100497096247
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	2.6288959986650984e-08	1.3953245784235468e-08	0.029777423236032684
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	1.6908011177349193e-08	9.308492655232882e-09	0.03465398144233712
tabula_muris.ESmuQ2.continuous.190730__Marrow.pre-natural_killer_cell	2.7341950377745812e-08	1.5992756010861495e-08	0.04366568254861965
tabula_muris.ESmuQ2.continuous.190730__Lung.natural_killer_cell	2.8479946593859124e-08	1.9164166625425264e-08	0.06862579400812753
tabula_muris.ESmuQ2.continuous.190730__Fat.natural_killer_cell	1.7723297441358767e-08	1.503370884316289e-08	0.11921822952354338
tabula_muris.ESmuQ2.continuous.190730__Spleen.macrophage	1.855294041550291e-08	1.722970819319219e-08	0.14078493413396143
tabula_muris.ESmuQ2.continuous.190730__Heart.professional_antigen_presenting_cell	7.773495754833611e-09	7.771842271123427e-09	0.1586037793805481
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_NK_T_cell	1.2206304579666262e-08	1.2262246884130191e-08	0.1597616806376918
tabula_muris.ESmuQ2.continuous.190730__Heart.endothelial_cell	1.1576024299037637e-08	1.2179649175020558e-08	0.1709443941889368
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.endothelial_cell	1.0773377982623329e-08	1.1523716448187384e-08	0.17492315052134116
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	7.090757937060054e-09	7.654950364369101e-09	0.1771458144031694
tabula_muris.ESmuQ2.continuous.190730__Lung.leukocyte	9.912734943677035e-09	1.1566660597112648e-08	0.19571989056987565
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	7.611281562893606e-09	1.0687031866851376e-08	0.23817112119500738
tabula_muris.ESmuQ2.continuous.190730__Trachea.endothelial_cell	7.795855134729626e-09	1.0972952038613138e-08	0.2387091351513027
tabula_muris.ESmuQ2.continuous.190730__Lung.unknown_cell_type	1.0542332481983409e-08	1.7954419640863587e-08	0.2785440978587654
tabula_muris.ESmuQ2.continuous.190730__Fat.B_cell	6.094516340825626e-09	1.2198235011464528e-08	0.30867035001821697
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enteroendocrine_cell	6.371684172652012e-09	1.4150895544325926e-08	0.3262588917878907
tabula_muris.ESmuQ2.continuous.190730__Trachea.blood_cell	5.271381236760571e-09	1.3218326861704765e-08	0.3450227279398718
tabula_muris.ESmuQ2.continuous.190730__Heart.cardiac_muscle_cell	2.7555843352344417e-09	7.349037329590999e-09	0.35384564915640415
tabula_muris.ESmuQ2.continuous.190730__Lung.B_cell	4.21053240167908e-09	1.2585383801073316e-08	0.36897951869707146
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.basal_cell	3.943527167981968e-09	1.1971140448889167e-08	0.3709193132364088
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_cell	2.2460956858080786e-09	9.151116220447424e-09	0.40305594617631946
tabula_muris.ESmuQ2.continuous.190730__Marrow.monocyte	2.5146425637451112e-09	1.0263876782296431e-08	0.40322848906634556
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_ductal_cell	1.7696026824617273e-09	9.568397416133555e-09	0.4266370947954295
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.astrocyte	1.0189291918129922e-09	5.995610144421967e-09	0.4325263527360128
tabula_muris.ESmuQ2.continuous.190730__Spleen.B_cell	1.8368465604182416e-09	1.0911321891928985e-08	0.4331566552513701
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	9.250569205651643e-10	9.07225483109354e-09	0.4593920331373841
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	5.453139023981239e-10	1.0959606949065158e-08	0.48015813516153066
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	3.157713680809695e-10	7.605329599235406e-09	0.48344077491775117
tabula_muris.ESmuQ2.continuous.190730__Thymus.leukocyte	3.934331156241781e-10	1.1817086000558158e-08	0.48672023608020015
tabula_muris.ESmuQ2.continuous.190730__Kidney.leukocyte	-7.69769025362485e-10	2.0764264038060613e-08	0.5147861288770494
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte	-4.136338979802998e-10	9.774994517913084e-09	0.5168764102192823
tabula_muris.ESmuQ2.continuous.190730__Pancreas.endothelial_cell	-9.224088670451567e-10	1.3681454794237912e-08	0.5268764769852426
