Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	2.6850255026337326e-08	5.024020561128751e-09	4.536452444757174e-08
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	1.694297583015383e-08	5.00511096651611e-09	0.00035571640346117474
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	4.220905031681269e-08	1.5774263263949334e-08	0.0037273608657887028
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	1.213052935290371e-08	6.218890724083483e-09	0.02555269588668588
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	1.8768479089315303e-08	9.879878902121809e-09	0.02873842227850994
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	1.243239780794897e-08	6.5551097696933754e-09	0.02894061086098678
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	1.052818277760877e-08	6.441915244316613e-09	0.05109531927386083
tabula_muris.ESmuQ2.continuous.190730__Lung.unknown_cell_type	1.5394976608417316e-08	1.0052216340933081e-08	0.06282284375936555
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.astrocyte	8.66417333568193e-09	5.7310128485175775e-09	0.06529175060505925
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	9.35613623989529e-09	6.745620420033125e-09	0.08272176928800418
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	1.0468029320405911e-08	7.691908820938928e-09	0.0867703743786945
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	1.1060333934702323e-08	9.665680537764872e-09	0.1262518585510472
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	7.040942715251348e-09	7.502375733094713e-09	0.17399502205349504
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.endothelial_cell	9.618597054565693e-09	1.0449383704216679e-08	0.17865728224821448
tabula_muris.ESmuQ2.continuous.190730__Spleen.macrophage	2.610759966886361e-08	3.15629441680377e-08	0.20407323700720476
tabula_muris.ESmuQ2.continuous.190730__Marrow.naive_B_cell	6.806671556215761e-09	8.728146766953151e-09	0.21773869900804904
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.macrophage	8.10521096850352e-09	1.0590751148768149e-08	0.22204339523701544
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.stromal_cell	4.31182977560639e-09	6.184205479151034e-09	0.24282861459623717
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte	4.745116638996659e-09	6.8788099935460405e-09	0.24515479530352713
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.T_cell	8.266762166968707e-09	1.528323655694568e-08	0.29428691337995094
tabula_muris.ESmuQ2.continuous.190730__Fat.T_cell	4.265703710931993e-09	7.955461803854796e-09	0.2959108142607728
tabula_muris.ESmuQ2.continuous.190730__Liver.Kupffer_cell	6.732481195352037e-09	1.3156668282261166e-08	0.3044247994155058
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocytopoietic_cell	3.6200417376084295e-09	7.680588075506713e-09	0.31870486432448175
