Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	2.329223611566392e-08	5.323231401776619e-09	6.05544191769892e-06
tabula_muris.ESmuQ2.continuous.190730__Heart.myofibroblast_cell	1.5778585819688237e-08	1.0591743403201163e-08	0.06815075180759925
tabula_muris.ESmuQ2.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	2.9351325876535148e-08	2.0450398719243425e-08	0.07560869344236536
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	1.6834958946708467e-08	1.219187772947536e-08	0.08366500777922942
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	1.026507308946293e-08	7.602119616824747e-09	0.08846134192153482
tabula_muris.ESmuQ2.continuous.190730__Liver.Kupffer_cell	2.0586843355955717e-08	1.58388578518501e-08	0.09684021818514771
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.astrocyte	8.009051627616716e-09	6.227084451101684e-09	0.0991929221463046
tabula_muris.ESmuQ2.continuous.190730__Heart.endothelial_cell	1.589636839830334e-08	1.2537105399844917e-08	0.10240867812253363
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	1.0732936225838653e-08	8.512905625768942e-09	0.10369331838971474
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.microglial_cell	2.509854158775614e-08	2.0908646183561068e-08	0.11499384588339229
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enteroendocrine_cell	1.2457788406673842e-08	1.0944539706099708e-08	0.12750488547341515
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_ductal_cell	1.2662786390545726e-08	1.1162307267210262e-08	0.12830842215919908
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	7.257148372194591e-09	7.133065672065035e-09	0.1544826790626712
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	8.376148185460522e-09	8.307751806426215e-09	0.15667134828205065
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.macrophage	9.27006907437899e-09	9.625680696954795e-09	0.16775972289909857
