Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Spleen.B_cell	8.733242237785086e-07	2.631996304320546e-07	0.0004531507212583236
tabula_muris.ESmuQ2.continuous.190730__Fat.T_cell	5.904584056936504e-07	2.009314492013376e-07	0.0016484583342608712
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	5.645436182487686e-07	1.9284841957998963e-07	0.0017090688897962072
tabula_muris.ESmuQ2.continuous.190730__Lung.B_cell	7.794009793750092e-07	2.755275588156448e-07	0.0023364458372344414
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	7.521632670593937e-07	2.692142796996707e-07	0.002603664766700347
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.lymphocyte	9.10201124773704e-07	3.533339139870804e-07	0.004997002106510313
tabula_muris.ESmuQ2.continuous.190730__Kidney.leukocyte	5.057293506752975e-07	2.248970241005238e-07	0.012265311576044581
tabula_muris.ESmuQ2.continuous.190730__Marrow.regulatory_T_cell	1.4647206370840425e-06	6.53310496050194e-07	0.01248076010416266
tabula_muris.ESmuQ2.continuous.190730__Fat.B_cell	7.252375071247438e-07	3.479555993847201e-07	0.018567272999598483
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.T_cell	9.640694068309673e-07	4.827667547423899e-07	0.022914369466025916
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte	2.7857758180886237e-07	1.4199378711045616e-07	0.02488707585832457
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.B_cell	6.389128459925079e-07	3.2633463059715616e-07	0.025124061861645623
tabula_muris.ESmuQ2.continuous.190730__Lung.classical_monocyte	3.851640922808137e-07	1.9858549401828953e-07	0.02621793703994519
tabula_muris.ESmuQ2.continuous.190730__Trachea.blood_cell	5.294801212413055e-07	2.7361735135830516e-07	0.026488298782536755
tabula_muris.ESmuQ2.continuous.190730__Thymus.DN1_thymic_pro-T_cell	4.4172238881277004e-07	2.4426692214487313e-07	0.03527528996451629
tabula_muris.ESmuQ2.continuous.190730__Liver.B_cell	6.92408037251963e-07	3.830076689458954e-07	0.035317440219941536
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_NK_T_cell	3.138393181750497e-07	1.7609637570219603e-07	0.037358145982989865
tabula_muris.ESmuQ2.continuous.190730__Marrow.precursor_B_cell	4.740582863462262e-07	2.6869882396270184e-07	0.03884294919091772
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_T_cell	3.976424358887564e-07	2.2742068394390863e-07	0.04018974317885931
tabula_muris.ESmuQ2.continuous.190730__Lung.T_cell	5.780224995873081e-07	3.3653853171509363e-07	0.04293916160384465
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	3.247651999572099e-07	1.8961832080946054e-07	0.043381008108016546
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.macrophage	2.3497283531747942e-07	1.4055910137682405e-07	0.047291616863187745
tabula_muris.ESmuQ2.continuous.190730__Fat.natural_killer_cell	3.6568825666130876e-07	2.2534321727038938e-07	0.05231547380903357
