Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	1.122642072618237e-07	2.0905388290559617e-08	3.934460147954869e-08
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	9.661596744602519e-08	2.946901861660115e-08	0.0005216895386762469
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.astrocyte	7.517136230477611e-08	2.299090766006671e-08	0.0005384742487360707
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	7.625424199542324e-08	2.653513394980743e-08	0.0020284155321510086
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	6.700591014276329e-08	2.5524669599689237e-08	0.004330627942666044
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	5.795924506730436e-08	2.2962649808427564e-08	0.005800306321248281
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	7.496569919533639e-08	3.227390895125462e-08	0.010095063214015631
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	2.4327717768222888e-08	1.756672923778623e-08	0.08304540188996407
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	2.9834895663068434e-08	2.7999191917926838e-08	0.14331067495786287
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	2.93668460303235e-08	2.995573580971086e-08	0.16345882873578943
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	4.9022162611788835e-08	5.0413929271377774e-08	0.16542748380697603
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	2.471458116579459e-08	4.086684407634222e-08	0.2726696558645926
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	4.254834111447463e-08	7.04678504789777e-08	0.27298900329425735
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.T_cell	2.9513610813819406e-08	5.107896180026383e-08	0.2816983437339396
tabula_muris.ESmuQ2.continuous.190730__Lung.myeloid_cell	3.0663699702162867e-08	5.6113339074640484e-08	0.29237486097699406
tabula_muris.ESmuQ2.continuous.190730__Trachea.blood_cell	2.4611378789729133e-08	4.649404168294448e-08	0.29828314454065374
tabula_muris.ESmuQ2.continuous.190730__Spleen.macrophage	3.8456889912296345e-08	7.505965427864032e-08	0.3042026843838139
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	2.5391898895932616e-08	5.514707542261666e-08	0.322600347967266
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	1.416517710132992e-08	3.221890089551995e-08	0.3300937669082381
tabula_muris.ESmuQ2.continuous.190730__Heart.cardiac_muscle_cell	9.131457037386847e-09	2.6861052523988115e-08	0.36694649896769327
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.endothelial_cell	1.6501488543891274e-08	4.89899139106569e-08	0.36812086750160233
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.B_cell	1.7810025135076546e-08	5.797222252549045e-08	0.3793392815854273
tabula_muris.ESmuQ2.continuous.190730__Trachea.endothelial_cell	1.025554748774893e-08	3.766368799997144e-08	0.3926984824580394
tabula_muris.ESmuQ2.continuous.190730__Marrow.naive_B_cell	1.808890452078794e-08	6.830779872235425e-08	0.3955761325837785
tabula_muris.ESmuQ2.continuous.190730__Marrow.mature_natural_killer_cell	7.928226464816294e-09	3.982504736412603e-08	0.4211014967372947
