Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	1.047627702917893e-07	1.7455171682824518e-08	9.75599417880932e-10
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.astrocyte	8.33845646328295e-08	2.4060536676021314e-08	0.0002645097948388952
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	8.315758002984699e-08	2.7952053895951408e-08	0.0014649052063789492
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	6.821033190478808e-08	2.350688261414925e-08	0.0018556154372807827
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	5.797591291814478e-08	2.4034663555367258e-08	0.007928745058764767
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	5.66749255624704e-08	2.398481046864346e-08	0.009065039726501472
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	6.446658073642346e-08	3.039633674095682e-08	0.016966507600182746
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	2.915901378571828e-08	1.4775514562602857e-08	0.024221100273708194
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	5.377201547795042e-08	4.014884553270489e-08	0.09023381271141889
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	3.8736585935428764e-08	3.4339650611767014e-08	0.12965098165613398
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	2.753542079715314e-08	2.576984373905152e-08	0.142644516910782
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	4.5562033233752395e-08	4.3176164518354096e-08	0.1456534591648796
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.T_cell	5.037159972353634e-08	4.861989707949917e-08	0.15009442007402063
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	3.356864460826843e-08	3.6527712358463703e-08	0.17905009903802277
tabula_muris.ESmuQ2.continuous.190730__Fat.B_cell	3.2412193001127386e-08	4.739762739140912e-08	0.24703943836501968
tabula_muris.ESmuQ2.continuous.190730__Spleen.macrophage	3.8588787713111265e-08	6.391182605702427e-08	0.27299441087582244
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	2.4197047573209582e-08	4.058698417029988e-08	0.27552832074729516
tabula_muris.ESmuQ2.continuous.190730__Heart.cardiac_muscle_cell	1.4272328243524585e-08	2.404100803602846e-08	0.2763677755563682
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	1.4957896049626993e-08	2.5419620033316006e-08	0.27811882999126036
tabula_muris.ESmuQ2.continuous.190730__Marrow.naive_B_cell	2.9881753979788606e-08	5.284240651973668e-08	0.2858708957200478
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.B_cell	2.2630193406900953e-08	4.9537243989123634e-08	0.3238959367386217
tabula_muris.ESmuQ2.continuous.190730__Trachea.blood_cell	1.8481323458465148e-08	4.66251886352827e-08	0.34591211235241415
tabula_muris.ESmuQ2.continuous.190730__Heart.unknown_cell_type	1.3801782395253908e-08	4.4933156034842025e-08	0.3793598279520235
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.endothelial_cell	1.5134006268929795e-08	5.22058841759456e-08	0.38594988462802493
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	1.4117766587253401e-08	4.96203804793154e-08	0.3880076846638652
tabula_muris.ESmuQ2.continuous.190730__Fat.T_cell	1.2493124598376123e-08	5.207159328361475e-08	0.4051953344340444
tabula_muris.ESmuQ2.continuous.190730__Thymus.leukocyte	1.639352628783923e-08	7.084135160149478e-08	0.4084974406620875
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_cell	7.484950632693686e-09	3.4757961844867524e-08	0.41474920363440615
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocytopoietic_cell	5.497293907510808e-09	4.1007814778806726e-08	0.4466796254903614
tabula_muris.ESmuQ2.continuous.190730__Marrow.hematopoietic_precursor_cell	1.2408666494098555e-09	2.463531649488204e-08	0.47991400162890124
tabula_muris.ESmuQ2.continuous.190730__Heart.endocardial_cell	1.6408390691283924e-09	3.362793484485589e-08	0.4805417601386967
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	5.885822499231364e-10	1.99876104878458e-08	0.4882539029010349
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte	9.940387716165604e-10	3.980183965319295e-08	0.4900375742303854
tabula_muris.ESmuQ2.continuous.190730__Trachea.endothelial_cell	-3.4671814792366393e-09	3.6717401139427456e-08	0.5376157451474566
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.lymphocyte	-8.949429461641818e-09	5.480602584509008e-08	0.5648560490270487
tabula_muris.ESmuQ2.continuous.190730__Lung.B_cell	-8.273770657696579e-09	4.39048366856176e-08	0.5747371909804434
tabula_muris.ESmuQ2.continuous.190730__Marrow.precursor_B_cell	-6.901792828735172e-09	2.9416738489205845e-08	0.5927486541427797
tabula_muris.ESmuQ2.continuous.190730__Kidney.leukocyte	-1.2112067609104492e-08	4.8170127890285856e-08	0.5992643967209148
tabula_muris.ESmuQ2.continuous.190730__Pancreas.endothelial_cell	-1.1155005510334902e-08	3.9876219167851205e-08	0.6101618137686888
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	-7.266295200029201e-09	2.447280199815887e-08	0.6167335679225733
tabula_muris.ESmuQ2.continuous.190730__Heart.smooth_muscle_cell	-1.331629151166502e-08	4.1360707978821564e-08	0.6262566509169634
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.macrophage	-1.279912376436815e-08	3.777194661317126e-08	0.6326396275424475
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.endothelial_cell	-1.1776159313288213e-08	3.3684813586994015e-08	0.6366799705698267
tabula_muris.ESmuQ2.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	-1.2401313813007732e-08	3.386542414313666e-08	0.6428898259905664
tabula_muris.ESmuQ2.continuous.190730__Lung.leukocyte	-2.1645672622280787e-08	5.8102633309127546e-08	0.6452553353886864
tabula_muris.ESmuQ2.continuous.190730__Marrow.monocyte	-1.0407288170619002e-08	2.70755041044252e-08	0.6496516698884531
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.endothelial_cell	-1.3714168144592235e-08	3.22235008216759e-08	0.6647985905531791
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_urothelial_cell	-1.6818653842305546e-08	3.7562141339136075e-08	0.6728351540905761
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	-1.3149483063872623e-08	2.870730857883223e-08	0.6765429960660847
tabula_muris.ESmuQ2.continuous.190730__Lung.myeloid_cell	-2.365158553081813e-08	5.082118533281533e-08	0.6791732977721279
