Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	9.371941011372187e-09	4.658900981729274e-09	0.022129975096016448
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	6.021201523034271e-09	3.3713378717360195e-09	0.037049819155376446
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.astrocyte	7.876927523795285e-09	4.4180930288256695e-09	0.0373029597864986
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	1.0966040653737734e-08	6.694844945526632e-09	0.05071264427916863
tabula_muris.ESmuQ2.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	1.012389734373556e-08	6.463546184235828e-09	0.05863838675516398
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.basal_cell	7.539882664587932e-09	5.632492212114085e-09	0.09034385372075843
tabula_muris.ESmuQ2.continuous.190730__Trachea.blood_cell	9.276843527037357e-09	7.46605691851882e-09	0.10701945728666079
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	8.792582136158833e-09	7.557590408122256e-09	0.12233143935358687
tabula_muris.ESmuQ2.continuous.190730__Lung.myeloid_cell	1.4273714169985026e-08	1.2943628468448492e-08	0.13506572768176822
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	1.0243734417157804e-08	9.780851026967978e-09	0.14747474599505944
tabula_muris.ESmuQ2.continuous.190730__Marrow.precursor_B_cell	6.983753773495752e-09	7.516353455414256e-09	0.17640795404396398
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	4.4811978308365495e-09	5.21148409417301e-09	0.19493040637241493
tabula_muris.ESmuQ2.continuous.190730__Heart.professional_antigen_presenting_cell	5.89367944260532e-09	7.093542331853991e-09	0.20302879616423608
tabula_muris.ESmuQ2.continuous.190730__Trachea.epithelial_cell	5.6990021211109745e-09	6.988037827177266e-09	0.20738254979882165
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.stromal_cell	4.439656016872322e-09	5.942800927567807e-09	0.22751229286782654
tabula_muris.ESmuQ2.continuous.190730__Heart.fibroblast	4.178255154588054e-09	5.741444909161419e-09	0.2333876574761734
tabula_muris.ESmuQ2.continuous.190730__Skin.keratinocyte_stem_cell	3.1579600380551953e-09	5.030502833316128e-09	0.2650798325933864
tabula_muris.ESmuQ2.continuous.190730__Thymus.DN1_thymic_pro-T_cell	4.68250045196175e-09	7.678458108343033e-09	0.2709895279358625
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	4.685186323938715e-09	7.956590938865235e-09	0.2779831534767392
tabula_muris.ESmuQ2.continuous.190730__Lung.monocyte	6.1148137298749875e-09	1.2189086939652809e-08	0.30795230323260103
tabula_muris.ESmuQ2.continuous.190730__Heart.unknown_cell_type	3.2077294110975617e-09	6.39820294677758e-09	0.30806294093681635
tabula_muris.ESmuQ2.continuous.190730__Skin.epidermal_cell	2.8029739466376807e-09	5.901245762775587e-09	0.31740060017684385
tabula_muris.ESmuQ2.continuous.190730__Lung.epithelial_cell_of_lung	3.762676671150997e-09	8.332570318921149e-09	0.32579207842357044
tabula_muris.ESmuQ2.continuous.190730__Marrow.naive_B_cell	4.159539970532221e-09	1.0021501374678093e-08	0.3390484201532412
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.T_cell	5.789996517714696e-09	1.5254683721321798e-08	0.35213776241756023
tabula_muris.ESmuQ2.continuous.190730__Tongue.basal_cell_of_epidermis	1.8428486590053365e-09	5.264232338808462e-09	0.36314316470952734
tabula_muris.ESmuQ2.continuous.190730__Trachea.mesenchymal_cell	1.919197239312714e-09	5.840433695847592e-09	0.3712270354873126
tabula_muris.ESmuQ2.continuous.190730__Fat.T_cell	3.275648093962234e-09	1.0205577878894619e-08	0.37411790821768287
tabula_muris.ESmuQ2.continuous.190730__Tongue.keratinocyte	1.1982257671067243e-09	5.42053162367352e-09	0.41252551165015056
tabula_muris.ESmuQ2.continuous.190730__Pancreas.leukocyte	2.272184485935219e-09	1.1642294631806773e-08	0.42263134931562973
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.large_intestine_goblet_cell	9.057764587127688e-10	4.798347457571092e-09	0.4251371627758175
tabula_muris.ESmuQ2.continuous.190730__Skin.stem_cell_of_epidermis	7.417621615517239e-10	4.162127379782473e-09	0.4292762507876012
tabula_muris.ESmuQ2.continuous.190730__Marrow.mature_natural_killer_cell	7.246995646728003e-10	6.3983652684088485e-09	0.454910930955076
tabula_muris.ESmuQ2.continuous.190730__Pancreas.endothelial_cell	9.731597866864992e-10	9.572721823843863e-09	0.45951340558954545
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte	5.743157469062654e-10	6.342873356146058e-09	0.4639270505096628
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	2.9513410312580056e-10	6.690635080874659e-09	0.4824077538580142
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	1.6393591107173592e-10	5.53356504503553e-09	0.48818277185984305
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	4.7332195445959874e-11	6.2721739555512975e-09	0.49698945933253036
tabula_muris.ESmuQ2.continuous.190730__Marrow.hematopoietic_precursor_cell	3.050743638492527e-11	7.503464363903668e-09	0.4983779928684959
tabula_muris.ESmuQ2.continuous.190730__Lung.lung_endothelial_cell	-1.459701517714056e-10	8.54049941621482e-09	0.5068181996508242
tabula_muris.ESmuQ2.continuous.190730__Heart.cardiac_muscle_cell	-9.51028793291507e-11	4.3922626797628236e-09	0.5086373693803395
tabula_muris.ESmuQ2.continuous.190730__Fat.unknown_cell_type	-1.838763516308235e-10	7.135783273299728e-09	0.510278890340994
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	-1.521363698040646e-10	4.567658270384385e-09	0.5132852342631693
tabula_muris.ESmuQ2.continuous.190730__Spleen.macrophage	-6.728812525724361e-10	7.971064652934437e-09	0.5336369502108905
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.macrophage	-7.515532372420606e-10	7.562825798653362e-09	0.5395795989558753
tabula_muris.ESmuQ2.continuous.190730__Heart.leukocyte	-6.712293927872022e-10	6.656353247578863e-09	0.5401614262413976
tabula_muris.ESmuQ2.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	-8.389938624347052e-10	8.163927675004805e-09	0.5409266109771736
tabula_muris.ESmuQ2.continuous.190730__Kidney.macrophage	-1.2132238084300667e-09	1.1162733285071279e-08	0.5432739062602052
tabula_muris.ESmuQ2.continuous.190730__Skin.basal_cell_of_epidermis	-5.633809911029747e-10	4.942865878456776e-09	0.5453726258725748
tabula_muris.ESmuQ2.continuous.190730__Liver.Kupffer_cell	-1.3815455005563388e-09	8.264274358012408e-09	0.5663821772341134
tabula_muris.ESmuQ2.continuous.190730__Fat.myeloid_cell	-1.0631870644885097e-09	5.7097297029173066e-09	0.5738584685055571
tabula_muris.ESmuQ2.continuous.190730__Marrow.monocyte	-1.7516142649671607e-09	7.587615885935757e-09	0.591285004712149
tabula_muris.ESmuQ2.continuous.190730__Thymus.immature_T_cell	-1.459360602130247e-09	5.7637576353295614e-09	0.599941636322708
tabula_muris.ESmuQ2.continuous.190730__Lung.ciliated_columnar_cell_of_tracheobronchial_tree	-1.4166109629236414e-09	4.795228516946126e-09	0.6161638342674182
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	-2.107242868352553e-09	6.715080625935412e-09	0.6231663877079555
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	-1.5246350519732535e-09	4.237739476273684e-09	0.6404925056932155
tabula_muris.ESmuQ2.continuous.190730__Fat.natural_killer_cell	-3.585429119294366e-09	8.096794551728605e-09	0.6710523249047622
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	-2.5938569095376504e-09	5.438871957104248e-09	0.6832871881779139
tabula_muris.ESmuQ2.continuous.190730__Fat.B_cell	-5.067227607150215e-09	9.07820974572947e-09	0.7116374751364267
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_ductal_cell	-3.430876295419443e-09	5.8679407944965186e-09	0.7206190446929197
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enteroendocrine_cell	-4.210398111740673e-09	7.188960856364742e-09	0.7209531932020039
tabula_muris.ESmuQ2.continuous.190730__Kidney.leukocyte	-6.571771492398069e-09	1.090544528487901e-08	0.7266171710003336
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_T_cell	-6.104042685735455e-09	9.878010725710717e-09	0.7316933802602089
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.endothelial_cell	-4.869773706918669e-09	7.872957541533761e-09	0.7318917264044036
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	-2.9675278325875426e-09	4.586888615074846e-09	0.7411706871344658
tabula_muris.ESmuQ2.continuous.190730__Marrow.basophil	-7.761862626242794e-09	1.161959406643153e-08	0.7479324838210841
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	-4.577167424400808e-09	6.826220060619435e-09	0.7487391694807166
tabula_muris.ESmuQ2.continuous.190730__Lung.classical_monocyte	-6.3918995757103125e-09	9.188774454417244e-09	0.7566667273661207
tabula_muris.ESmuQ2.continuous.190730__Heart.erythrocyte	-2.572972815972501e-09	3.6400464110069158e-09	0.7601706637396595
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.B_cell	-5.150022476758582e-09	7.025999100288776e-09	0.7682192720686358
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.luminal_epithelial_cell_of_mammary_gland	-4.591764031871536e-09	6.123950032493197e-09	0.7733137089581155
tabula_muris.ESmuQ2.continuous.190730__Trachea.endothelial_cell	-5.944172490724114e-09	7.840178874563958e-09	0.7758247828730838
tabula_muris.ESmuQ2.continuous.190730__Lung.stromal_cell	-4.088911510743719e-09	5.33136825931878e-09	0.7784454165195609
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	-3.89262471716436e-09	4.613192013663936e-09	0.8006102176600876
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	-6.8513705603824165e-09	8.061974525966392e-09	0.8022923599850063
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_natural_killer_cell	-8.345495186217929e-09	9.192233342857522e-09	0.8180306352530649
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.endothelial_cell	-8.550690792035725e-09	9.06449791803713e-09	0.8272404903125268
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	-7.168127947120048e-09	7.326838142318249e-09	0.836046536540983
