Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Heart.myofibroblast_cell	7.646952146513863e-08	2.395488796566071e-08	0.0007058933642433137
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	6.162079398303797e-08	2.1942910331747043e-08	0.0024907123923918317
tabula_muris.ESmuQ2.continuous.190730__Heart.smooth_muscle_cell	6.487777853074181e-08	2.5841672801016055e-08	0.0060265238050571605
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_stellate_cell	7.554479072731135e-08	3.103412977324841e-08	0.007461368521794186
tabula_muris.ESmuQ2.continuous.190730__Kidney.endothelial_cell	8.971571452158476e-08	3.879758076067395e-08	0.010377691244791858
tabula_muris.ESmuQ2.continuous.190730__Pancreas.endothelial_cell	4.524078841762999e-08	2.2765010194264454e-08	0.023444863838934335
tabula_muris.ESmuQ2.continuous.190730__Fat.endothelial_cell	4.252637907829245e-08	2.1787357722997734e-08	0.02547603238197071
tabula_muris.ESmuQ2.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	5.280764668799785e-08	2.7491012410798858e-08	0.02737178877448798
tabula_muris.ESmuQ2.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	4.961672498895719e-08	2.991683929896796e-08	0.04860948355008701
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	2.876698875512588e-08	1.8592561767087826e-08	0.060903771324884906
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.endothelial_cell	7.666042197458592e-08	5.005391830391698e-08	0.06281591244116996
tabula_muris.ESmuQ2.continuous.190730__Lung.lung_endothelial_cell	4.290227088461018e-08	2.999536607187534e-08	0.07631595140059885
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	3.20274157030049e-08	2.239592393828782e-08	0.07635053575574544
tabula_muris.ESmuQ2.continuous.190730__Marrow.precursor_B_cell	2.778080736685432e-08	1.947198829284954e-08	0.07683229191601207
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	2.397605275862376e-08	2.0957877694460134e-08	0.12630943725194343
tabula_muris.ESmuQ2.continuous.190730__Heart.endocardial_cell	1.0092666646964955e-07	9.381860496256603e-08	0.14101643508624956
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	2.0844806809968066e-08	1.9693901323802523e-08	0.144927516356743
tabula_muris.ESmuQ2.continuous.190730__Heart.cardiac_muscle_cell	1.6745513021717065e-08	1.6131919289395072e-08	0.14962664688707378
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	1.6565835647445874e-08	1.6762478575021864e-08	0.16151049514845794
tabula_muris.ESmuQ2.continuous.190730__Lung.stromal_cell	1.6023630611739155e-08	1.7155906039263827e-08	0.1751517304465513
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.macrophage	4.031360518714149e-08	4.33070304597285e-08	0.17595807937926317
tabula_muris.ESmuQ2.continuous.190730__Fat.unknown_cell_type	2.5547320558530455e-08	3.224288356987854e-08	0.21408127963038998
tabula_muris.ESmuQ2.continuous.190730__Skin.basal_cell_of_epidermis	1.4682046515836408e-08	1.9273245913916355e-08	0.22309452525688267
tabula_muris.ESmuQ2.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	1.0507281904637939e-08	1.492794031511311e-08	0.24075785757757778
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.endothelial_cell	8.516225300456217e-09	1.3122955555790166e-08	0.25818329614502417
tabula_muris.ESmuQ2.continuous.190730__Trachea.epithelial_cell	1.194574063195521e-08	1.887457731488946e-08	0.26339911666851423
tabula_muris.ESmuQ2.continuous.190730__Trachea.endothelial_cell	1.1928214889335675e-08	1.9398936952729854e-08	0.269313640300887
tabula_muris.ESmuQ2.continuous.190730__Spleen.B_cell	1.3517556945494432e-08	2.2978960006046347e-08	0.2781795676384315
tabula_muris.ESmuQ2.continuous.190730__Skin.stem_cell_of_epidermis	9.341639324327e-09	1.6865866878896792e-08	0.2898310350193535
tabula_muris.ESmuQ2.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	5.928351821231595e-09	1.525367596402237e-08	0.34876727863932955
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	1.0827052634597021e-08	2.9726971597875456e-08	0.3578481848719787
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	3.1811507649955067e-09	9.877250376707957e-09	0.3737004177941746
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	4.298589503737194e-09	1.4050928384367109e-08	0.3798292703273627
tabula_muris.ESmuQ2.continuous.190730__Heart.fibroblast	2.9029173812554646e-09	1.393029383419991e-08	0.41746269570346384
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.luminal_epithelial_cell_of_mammary_gland	5.3698101483428695e-09	2.638614212737952e-08	0.41936871331048586
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	2.3771250492109335e-09	1.1896103788495878e-08	0.42080918084133423
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_urothelial_cell	5.691686103333813e-09	2.8640413916033584e-08	0.4212372966733251
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.endothelial_cell	2.7607629787505134e-09	1.6021161582274638e-08	0.43159306886172133
tabula_muris.ESmuQ2.continuous.190730__Heart.endothelial_cell	2.261387115247594e-09	1.3565079862365755e-08	0.43380049167929924
tabula_muris.ESmuQ2.continuous.190730__Lung.epithelial_cell_of_lung	3.3240841785219635e-09	2.2058041279542457e-08	0.4401073067756373
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	2.770187656374448e-09	1.8982240416473515e-08	0.44198605121746337
tabula_muris.ESmuQ2.continuous.190730__Heart.leukocyte	2.6531494387236786e-09	1.8424681927392328e-08	0.4427503367962703
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.stromal_cell	1.2624964218796247e-09	1.4522105726277574e-08	0.46536111977788114
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_cell	8.019584091784124e-10	1.8347506508153244e-08	0.48256802512541314
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.microglial_cell	9.754445697490443e-10	2.714435650651491e-08	0.4856669159641397
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enteroendocrine_cell	4.973672292074011e-10	1.7809714298386358e-08	0.48886029136564224
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.B_cell	3.6029794087024303e-10	2.8375405578892393e-08	0.49493454923757746
tabula_muris.ESmuQ2.continuous.190730__Marrow.pre-natural_killer_cell	-6.129921295438864e-10	1.816453420341565e-08	0.5134604095233934
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	-9.79748480194282e-10	1.3892606541813518e-08	0.5281113080299852
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	-1.2425432334214296e-09	1.494942951789965e-08	0.5331205196685006
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocytopoietic_cell	-2.495773670780532e-09	2.2090087587421302e-08	0.5449774327091186
tabula_muris.ESmuQ2.continuous.190730__Heart.unknown_cell_type	-2.525062389879724e-09	1.880072245313145e-08	0.5534199596679599
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	-2.7024732875049855e-09	1.743761046780032e-08	0.5615812863516756
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	-1.6104332961506249e-09	9.188706709699584e-09	0.5695632086488535
tabula_muris.ESmuQ2.continuous.190730__Fat.B_cell	-4.526903616975143e-09	2.0386537531694966e-08	0.5878639127522383
tabula_muris.ESmuQ2.continuous.190730__Lung.unknown_cell_type	-5.6966069754576415e-09	2.056486011149421e-08	0.6091125741225808
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	-3.5831814050137957e-09	1.2272164630345726e-08	0.6148476333714383
tabula_muris.ESmuQ2.continuous.190730__Lung.B_cell	-7.945735349500887e-09	2.6901556511075006e-08	0.6161418575247263
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.large_intestine_goblet_cell	-3.824438627162775e-09	1.2735226401747433e-08	0.61802733477498
tabula_muris.ESmuQ2.continuous.190730__Skin.keratinocyte_stem_cell	-3.906332200309341e-09	1.1831317367065798e-08	0.6293638008643451
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	-7.4314730666008514e-09	1.8116467834154977e-08	0.6591723626828124
tabula_muris.ESmuQ2.continuous.190730__Lung.leukocyte	-1.2646629929971449e-08	2.698434585423341e-08	0.680345597977432
tabula_muris.ESmuQ2.continuous.190730__Thymus.immature_T_cell	-9.991316499744581e-09	2.0738968082528145e-08	0.6850136815059672
tabula_muris.ESmuQ2.continuous.190730__Kidney.macrophage	-1.498757682566755e-08	2.982872556547204e-08	0.6923260680596709
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	-7.764869703621382e-09	1.413045094460162e-08	0.7086733552084544
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	-1.5267589859796946e-08	2.4312431469190652e-08	0.7349897161349813
tabula_muris.ESmuQ2.continuous.190730__Lung.myeloid_cell	-3.317851129691013e-08	4.87578794429377e-08	0.7518980832872766
tabula_muris.ESmuQ2.continuous.190730__Lung.classical_monocyte	-1.3215377414301148e-08	1.940641510371003e-08	0.7520578759497668
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_ductal_cell	-9.692208221032735e-09	1.3556993978947519e-08	0.7626717202058007
tabula_muris.ESmuQ2.continuous.190730__Liver.hepatocyte	-9.695061446109479e-09	1.1965876297593885e-08	0.7910947880929625
tabula_muris.ESmuQ2.continuous.190730__Lung.T_cell	-2.408445030187528e-08	2.734980344792164e-08	0.81073493288131
tabula_muris.ESmuQ2.continuous.190730__Liver.Kupffer_cell	-2.1768959694432912e-08	2.3969099782311857e-08	0.8181161782138344
tabula_muris.ESmuQ2.continuous.190730__Tongue.basal_cell_of_epidermis	-1.2558885302041136e-08	1.33716375525009e-08	0.8261906357491768
tabula_muris.ESmuQ2.continuous.190730__Trachea.mesenchymal_cell	-1.288618966333641e-08	1.3515804744316723e-08	0.829810427881849
tabula_muris.ESmuQ2.continuous.190730__Lung.monocyte	-2.4379890919619325e-08	2.2819142779300655e-08	0.857329138999037
tabula_muris.ESmuQ2.continuous.190730__Lung.ciliated_columnar_cell_of_tracheobronchial_tree	-1.292181910700881e-08	1.1401710987215277e-08	0.8714606413654954
tabula_muris.ESmuQ2.continuous.190730__Marrow.naive_B_cell	-1.753550250394542e-08	1.5238947880439124e-08	0.8750727717656944
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	-1.5717808041369966e-08	1.356721266212692e-08	0.8766728626403498
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_T_cell	-3.019478146777399e-08	2.5454439082397908e-08	0.8822339658761198
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	-2.2546618809084816e-08	1.8368723287893345e-08	0.8901725264299782
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.macrophage	-1.7271585437591988e-08	1.3421228184586078e-08	0.9009329194287674
tabula_muris.ESmuQ2.continuous.190730__Fat.myeloid_cell	-2.4636104916320136e-08	1.906517555052409e-08	0.9018568265711424
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.basal_cell	-2.439691582161628e-08	1.8629665688309052e-08	0.9048299148003778
tabula_muris.ESmuQ2.continuous.190730__Spleen.T_cell	-1.8769657125205067e-08	1.3867900487801912e-08	0.9120457379580977
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.astrocyte	-1.6416456679698296e-08	1.1877072033278888e-08	0.9165444327382785
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	-1.7363457832994476e-08	1.200940892951747e-08	0.9258863185522949
tabula_muris.ESmuQ2.continuous.190730__Marrow.hematopoietic_precursor_cell	-2.221642580355712e-08	1.482404009227794e-08	0.9330210831335268
tabula_muris.ESmuQ2.continuous.190730__Skin.leukocyte	-3.6973484962709284e-08	2.4553883860520883e-08	0.9339420280410041
tabula_muris.ESmuQ2.continuous.190730__Marrow.basophil	-3.81148680356056e-08	2.430476562248393e-08	0.9415834137401622
tabula_muris.ESmuQ2.continuous.190730__Heart.erythrocyte	-1.480847976932905e-08	8.829832084098697e-09	0.953238185532949
tabula_muris.ESmuQ2.continuous.190730__Liver.natural_killer_cell	-3.464244406943803e-08	2.0455385638999796e-08	0.9548256361895555
tabula_muris.ESmuQ2.continuous.190730__Marrow.monocyte	-2.347248871546774e-08	1.3857515460363494e-08	0.9548526670610408
tabula_muris.ESmuQ2.continuous.190730__Pancreas.leukocyte	-4.1444113103098213e-08	2.3784987809453173e-08	0.9592849903457549
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	-3.127038814696889e-08	1.7334195256666945e-08	0.9643820850913565
