Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	1.9861191542513045e-08	8.657126031905901e-09	0.010889463550944172
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	1.1546537530593146e-08	5.6420350890502585e-09	0.02035261943564812
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	1.0941221529604623e-08	5.737837750006419e-09	0.02826971809335337
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	7.701451202266154e-09	4.102471827319411e-09	0.030240483513806735
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	8.59674589520155e-09	4.7883556705140755e-09	0.036299449855858486
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	1.658156131236152e-08	9.514973098049122e-09	0.04069469013173939
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_ductal_cell	1.2674111659463305e-08	8.202654766503149e-09	0.061158240841935316
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	6.456118006347441e-09	4.974224631494358e-09	0.09715836772761943
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	6.876052333703312e-09	5.8931738105103324e-09	0.12164909899014931
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	7.560487903394473e-09	7.3707610083907e-09	0.15250696508307315
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	8.948799631883488e-09	8.888541548375986e-09	0.1570204222793291
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.B_cell	1.0971236396751816e-08	1.0955224164856689e-08	0.1583018462965412
tabula_muris.ESmuQ2.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	4.46450219957913e-09	4.505534379293018e-09	0.1608689304706215
tabula_muris.ESmuQ2.continuous.190730__Marrow.hematopoietic_precursor_cell	5.75396594634627e-09	5.9476422761613106e-09	0.16666294723059089
tabula_muris.ESmuQ2.continuous.190730__Marrow.pre-natural_killer_cell	1.0917456829808321e-08	1.1464932378253839e-08	0.17048565782396868
tabula_muris.ESmuQ2.continuous.190730__Thymus.immature_T_cell	6.069808932393905e-09	6.5681844958237385e-09	0.17771119641968286
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_urothelial_cell	6.538477030870335e-09	7.1641014708486396e-09	0.18070745591442255
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enteroendocrine_cell	5.753988927049476e-09	6.895893021162973e-09	0.20202552989728217
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.endothelial_cell	6.980136222894246e-09	9.145075503899615e-09	0.22265202796930067
tabula_muris.ESmuQ2.continuous.190730__Pancreas.endothelial_cell	7.815038176103771e-09	1.0308538623986779e-08	0.2241916388986649
tabula_muris.ESmuQ2.continuous.190730__Thymus.leukocyte	5.785743414055041e-09	7.75441332670759e-09	0.22779666428584838
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	5.829343837250892e-09	7.984311524045145e-09	0.232664607473911
tabula_muris.ESmuQ2.continuous.190730__Lung.unknown_cell_type	5.768800126036564e-09	8.246642606738246e-09	0.24210944245494143
tabula_muris.ESmuQ2.continuous.190730__Lung.natural_killer_cell	7.12901761144035e-09	1.0569758100641054e-08	0.25000528809398775
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_T_cell	5.668926284959411e-09	8.628747118031419e-09	0.25559644100115
tabula_muris.ESmuQ2.continuous.190730__Lung.leukocyte	7.326522973692041e-09	1.1548843365431809e-08	0.2629116916527132
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	5.04196121508954e-09	8.214170021503693e-09	0.2696695787051509
tabula_muris.ESmuQ2.continuous.190730__Marrow.precursor_B_cell	4.127640109395373e-09	6.818173374851709e-09	0.27246062262086956
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocytopoietic_cell	3.784110831182728e-09	8.961240487072504e-09	0.33641202950790916
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.large_intestine_goblet_cell	2.0114211450242613e-09	5.062012237355576e-09	0.3455524632568375
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	2.3701805803019423e-09	6.331584265124689e-09	0.3540747876951297
tabula_muris.ESmuQ2.continuous.190730__Liver.hepatocyte	1.0773540445358174e-09	3.4005068251520198e-09	0.3756894832259255
